date_time,price,type
2024-09-13 12:00:00,0.1486,bearish
2024-09-25 04:00:00,0.1638,bearish
2024-10-13 20:00:00,0.1595,bullish
2024-11-05 08:00:00,0.1658,bullish
2024-11-14 12:00:00,0.1765,bullish
2024-11-16 16:00:00,0.1921,bearish
2024-11-21 20:00:00,0.1813,bearish
2024-12-04 00:00:00,0.2279,bullish
2024-12-05 04:00:00,0.2398,bullish
2024-12-08 08:00:00,0.2484,bullish
2024-12-25 12:00:00,0.2339,bearish
2024-12-26 12:00:00,0.2334,bearish
2024-12-30 04:00:00,0.2261,bearish
2025-01-17 04:00:00,0.2051,bullish
2025-01-31 04:00:00,0.1671,bullish
2025-02-14 08:00:00,0.1638,bearish
2025-04-24 00:00:00,0.088,bullish
2025-05-24 04:00:00,0.1098,bearish
2025-05-24 16:00:00,0.1091,bearish
2025-07-18 00:00:00,0.1024,bullish
2025-07-25 08:00:00,0.1136,bearish
2025-07-25 20:00:00,0.1135,bullish
2025-08-09 04:00:00,0.141,bullish
2025-08-22 08:00:00,0.1348,bullish
2025-11-18 20:00:00,0.1204,bullish
2026-01-18 04:00:00,0.1047,bullish
2026-04-07 12:00:00,0.0744,bullish
2026-07-23 08:00:00,0.08,bearish
2026-07-30 20:00:00,0.0533,bullish
