date_time,price,type
2024-10-17 20:00:00,1.107,bullish
2024-11-08 04:00:00,1.143,bullish
2024-11-08 20:00:00,1.169,bearish
2024-11-25 04:00:00,1.543,bullish
2024-11-28 08:00:00,1.639,bearish
2024-12-16 16:00:00,1.826,bearish
2024-12-30 12:00:00,1.425,bullish
2025-01-19 16:00:00,1.392,bearish
2025-01-29 12:00:00,1.112,bearish
2025-03-05 16:00:00,0.903,bearish
2025-03-16 16:00:00,0.75,bearish
2025-03-21 20:00:00,0.761,bullish
2025-03-24 12:00:00,0.745,bullish
2025-04-22 12:00:00,0.736,bearish
2025-06-15 16:00:00,0.624,bearish
2025-06-24 12:00:00,0.568,bearish
2025-07-16 12:00:00,0.725,bearish
2025-07-29 16:00:00,0.69,bullish
2025-08-02 12:00:00,0.604,bearish
2025-09-10 04:00:00,0.735,bearish
2025-09-22 16:00:00,0.639,bullish
2025-09-29 16:00:00,0.644,bullish
2025-10-03 20:00:00,0.694,bullish
2025-12-05 00:00:00,0.416,bullish
2025-12-18 12:00:00,0.306,bearish
2026-03-03 12:00:00,0.172,bullish
2026-07-22 00:00:00,0.1578,bullish
2026-08-14 00:00:00,0.15,bullish
2026-08-22 20:00:00,0.1998,bearish
2026-08-29 12:00:00,0.1994,bullish
