date_time,price,type
2024-09-12 12:00:00,0.472,bullish
2024-09-13 08:00:00,0.477,bullish
2024-10-02 08:00:00,0.506,bearish
2024-11-01 20:00:00,0.525,bearish
2024-11-10 00:00:00,0.57,bullish
2024-11-11 12:00:00,0.669,bearish
2024-11-12 00:00:00,0.669,bearish
2024-11-17 08:00:00,0.668,bullish
2024-11-18 20:00:00,0.671,bullish
2024-11-19 12:00:00,0.692,bearish
2024-11-22 20:00:00,0.669,bullish
2024-12-01 00:00:00,0.773,bullish
2024-12-03 08:00:00,0.876,bearish
2024-12-18 16:00:00,0.788,bearish
2025-01-04 04:00:00,0.85,bearish
2025-01-16 12:00:00,0.736,bearish
2025-02-03 20:00:00,0.592,bearish
2025-02-13 20:00:00,0.582,bullish
2025-03-16 20:00:00,0.456,bullish
2025-05-13 08:00:00,0.691,bullish
2025-05-20 08:00:00,0.749,bullish
2025-05-22 20:00:00,0.757,bullish
2025-06-07 08:00:00,0.643,bearish
2025-07-13 20:00:00,0.702,bullish
2025-07-22 08:00:00,0.817,bullish
2025-08-08 08:00:00,0.755,bearish
2025-09-01 04:00:00,0.764,bearish
2025-10-07 08:00:00,0.731,bearish
2026-03-20 04:00:00,0.5,bullish
