date_time,price,type
2024-10-03 08:00:00,41.45,bearish
2024-10-09 20:00:00,42.83,bullish
2024-10-11 20:00:00,43.57,bullish
2024-12-01 04:00:00,70.1,bullish
2024-12-13 00:00:00,109.59,bearish
2024-12-30 00:00:00,79.04,bearish
2025-01-02 12:00:00,79.09,bullish
2025-01-14 00:00:00,73.55,bearish
2025-01-25 16:00:00,74.47,bullish
2025-01-26 04:00:00,77.28,bearish
2025-02-10 20:00:00,54.69,bullish
2025-03-23 20:00:00,42.94,bullish
2025-04-12 08:00:00,41.28,bullish
2025-05-22 08:00:00,44.73,bullish
2025-07-08 12:00:00,40.66,bullish
2025-08-21 08:00:00,44.87,bullish
2025-09-09 08:00:00,44.59,bearish
2025-09-16 12:00:00,44.43,bearish
2025-09-18 12:00:00,46.39,bullish
2025-10-30 16:00:00,38.85,bearish
2025-11-04 08:00:00,30.96,bullish
2025-11-08 16:00:00,33.77,bearish
2025-12-18 12:00:00,25.29,bearish
2026-01-10 16:00:00,26.43,bearish
2026-01-25 16:00:00,23.38,bullish
2026-02-05 16:00:00,16.25,bullish
2026-04-08 08:00:00,17.68,bullish
2026-04-12 16:00:00,20.04,bullish
2026-04-22 12:00:00,23.38,bearish
2026-08-05 04:00:00,16.04,bullish
2026-09-05 12:00:00,19.8,bullish
