date_time,price,type
2024-09-12 08:00:00,26.38,bullish
2024-10-06 12:00:00,25.61,bearish
2024-12-07 16:00:00,54.01,bearish
2024-12-18 08:00:00,41.19,bearish
2025-02-07 04:00:00,21.07,bullish
2025-02-27 20:00:00,22.05,bearish
2025-04-09 12:00:00,12.95,bullish
2025-04-22 12:00:00,14.49,bearish
2025-05-06 00:00:00,15.69,bullish
2025-08-01 20:00:00,14.0,bearish
2025-08-07 16:00:00,15.35,bearish
2025-09-11 20:00:00,14.05,bullish
2025-10-03 20:00:00,13.97,bullish
2025-10-09 12:00:00,12.82,bullish
2025-10-10 16:00:00,12.45,bearish
2025-11-04 16:00:00,8.04,bearish
2025-11-08 04:00:00,10.36,bullish
2025-11-15 16:00:00,8.62,bearish
2025-12-03 00:00:00,7.34,bullish
2025-12-04 20:00:00,7.19,bullish
2026-02-06 08:00:00,4.02,bullish
2026-02-08 00:00:00,5.04,bearish
2026-03-10 12:00:00,4.25,bearish
2026-03-16 20:00:00,4.43,bearish
2026-04-14 08:00:00,3.9,bearish
2026-05-03 12:00:00,4.01,bearish
2026-06-25 20:00:00,2.5,bullish
2026-07-08 20:00:00,2.79,bullish
2026-07-14 08:00:00,3.36,bullish
2026-07-31 16:00:00,2.65,bearish
2026-08-06 20:00:00,2.76,bearish
2026-09-09 04:00:00,4.99,bearish
