date_time,price,type
2024-10-01 08:00:00,19.02,bearish
2024-10-16 20:00:00,17.44,bullish
2025-02-15 08:00:00,26.8,bearish
2025-03-20 04:00:00,17.46,bearish
2025-03-22 16:00:00,16.8,bearish
2025-03-25 20:00:00,17.91,bearish
2025-05-14 20:00:00,23.59,bearish
2025-06-15 00:00:00,20.34,bearish
2025-06-16 16:00:00,20.86,bearish
2025-06-29 08:00:00,18.69,bearish
2025-07-01 08:00:00,18.34,bearish
2025-07-03 16:00:00,19.33,bullish
2025-07-10 00:00:00,20.3,bullish
2025-07-12 20:00:00,21.39,bullish
2025-07-13 08:00:00,21.74,bullish
2025-08-15 04:00:00,26.83,bearish
2025-08-22 04:00:00,24.44,bearish
2025-08-22 20:00:00,27.56,bearish
2025-09-01 00:00:00,22.13,bullish
2025-09-08 04:00:00,22.72,bullish
2025-09-10 20:00:00,23.29,bullish
2025-09-20 08:00:00,23.29,bullish
2025-10-06 12:00:00,22.06,bullish
2025-10-19 08:00:00,15.25,bullish
2025-10-25 12:00:00,15.47,bullish
2025-10-29 08:00:00,15.48,bullish
2025-11-02 00:00:00,15.01,bullish
2025-11-05 12:00:00,12.84,bullish
2025-11-09 20:00:00,14.33,bullish
2025-11-10 20:00:00,14.55,bullish
2025-11-17 00:00:00,12.65,bullish
2025-11-26 12:00:00,11.51,bullish
2025-12-17 12:00:00,9.79,bearish
2025-12-20 00:00:00,9.55,bullish
2026-01-14 04:00:00,10.99,bearish
2026-01-25 04:00:00,9.19,bearish
2026-01-31 04:00:00,7.99,bearish
2026-02-09 04:00:00,5.8,bearish
2026-03-18 08:00:00,6.59,bearish
