date_time,price,type
2024-09-28 12:00:00,20.37,bullish
2024-10-02 04:00:00,18.6,bearish
2024-10-04 12:00:00,18.44,bullish
2024-10-10 04:00:00,18.05,bearish
2024-11-18 12:00:00,26.16,bearish
2025-01-02 16:00:00,26.76,bullish
2025-01-04 04:00:00,28.35,bearish
2025-01-08 08:00:00,25.16,bullish
2025-01-30 04:00:00,25.99,bullish
2025-04-02 08:00:00,16.44,bullish
2025-04-10 08:00:00,14.87,bearish
2025-04-28 12:00:00,16.84,bullish
2025-05-06 16:00:00,15.74,bullish
2025-06-28 04:00:00,16.12,bearish
2025-09-02 16:00:00,20.55,bullish
2025-12-01 08:00:00,12.87,bearish
2025-12-17 20:00:00,12.0,bullish
2025-12-25 20:00:00,11.76,bullish
2026-01-12 16:00:00,12.21,bullish
2026-01-17 08:00:00,12.89,bullish
2026-02-12 08:00:00,8.29,bearish
2026-02-17 12:00:00,8.67,bullish
2026-03-02 04:00:00,8.47,bullish
2026-03-10 04:00:00,8.28,bullish
2026-03-12 08:00:00,8.17,bullish
2026-04-15 12:00:00,8.46,bullish
2026-04-19 04:00:00,8.47,bearish
2026-04-23 12:00:00,8.45,bearish
2026-04-27 16:00:00,8.3,bullish
2026-05-08 16:00:00,9.65,bullish
2026-07-19 20:00:00,6.96,bullish
2026-07-27 08:00:00,6.97,bearish
2026-08-03 04:00:00,6.52,bullish
2026-08-09 20:00:00,6.4,bullish
2026-08-13 20:00:00,6.26,bullish
