date_time,price,type
2025-11-06 16:00:00,2.371,bullish
2025-11-09 12:00:00,2.46,bearish
2025-11-12 16:00:00,2.28,bullish
2025-12-17 08:00:00,2.7,bearish
2025-12-23 08:00:00,2.511,bearish
2025-12-25 04:00:00,1.518,bullish
2026-01-12 04:00:00,2.177,bullish
2026-03-10 16:00:00,1.687,bullish
2026-03-18 08:00:00,1.62,bearish
2026-03-26 08:00:00,1.609,bearish
2026-03-30 04:00:00,1.535,bullish
2026-04-03 08:00:00,1.627,bullish
2026-04-08 08:00:00,2.099,bearish
2026-04-19 04:00:00,1.264,bullish
2026-04-19 12:00:00,1.29,bullish
2026-04-22 12:00:00,1.762,bearish
2026-04-23 16:00:00,1.81,bullish
2026-05-07 04:00:00,1.605,bearish
2026-05-08 00:00:00,1.749,bearish
2026-05-09 08:00:00,1.661,bearish
2026-05-14 16:00:00,1.75,bullish
2026-05-22 08:00:00,1.579,bullish
2026-08-12 08:00:00,0.928,bearish
