date_time,price,type
2024-10-05 00:00:00,9.86,bullish
2024-10-13 04:00:00,10.48,bearish
2024-10-27 08:00:00,9.41,bullish
2024-11-05 12:00:00,9.1,bullish
2024-11-09 00:00:00,10.27,bullish
2024-11-14 00:00:00,11.25,bullish
2025-01-09 12:00:00,14.64,bearish
2025-01-12 16:00:00,14.81,bearish
2025-02-06 20:00:00,10.43,bullish
2025-02-09 20:00:00,10.57,bullish
2025-02-26 12:00:00,9.28,bearish
2025-04-05 20:00:00,4.76,bullish
2025-04-24 16:00:00,5.92,bullish
2025-06-03 04:00:00,6.15,bearish
2025-06-11 04:00:00,6.4,bearish
2025-06-28 08:00:00,5.34,bullish
2025-07-26 16:00:00,6.69,bearish
2025-08-04 16:00:00,6.08,bullish
2025-08-09 16:00:00,6.59,bearish
2025-08-16 08:00:00,6.27,bullish
2025-09-19 04:00:00,6.71,bearish
2025-10-02 04:00:00,6.14,bearish
2025-10-23 20:00:00,5.12,bullish
2025-10-29 16:00:00,5.23,bearish
2025-11-10 16:00:00,5.31,bullish
2025-11-13 08:00:00,5.37,bullish
2025-11-15 04:00:00,4.88,bullish
2025-11-18 20:00:00,4.6,bullish
2025-11-21 16:00:00,4.17,bearish
2025-11-26 16:00:00,4.1,bullish
2025-11-28 20:00:00,4.37,bullish
2025-11-29 08:00:00,4.55,bearish
2025-12-04 00:00:00,4.39,bearish
2025-12-07 08:00:00,4.03,bearish
2025-12-10 00:00:00,4.37,bearish
2025-12-18 08:00:00,3.64,bullish
2025-12-18 12:00:00,3.64,bearish
2025-12-22 20:00:00,3.51,bullish
2025-12-23 08:00:00,3.51,bearish
2025-12-29 00:00:00,3.67,bullish
2026-01-09 12:00:00,4.02,bearish
2026-01-12 16:00:00,3.73,bullish
2026-01-17 12:00:00,4.14,bearish
2026-01-27 12:00:00,3.5,bearish
2026-01-27 20:00:00,3.49,bullish
2026-01-29 20:00:00,3.38,bearish
2026-02-01 08:00:00,3.15,bearish
2026-02-07 04:00:00,2.71,bullish
2026-02-12 12:00:00,2.61,bullish
2026-02-22 20:00:00,2.63,bearish
2026-02-27 20:00:00,2.68,bullish
2026-03-03 08:00:00,2.52,bearish
2026-03-10 00:00:00,2.53,bearish
2026-03-29 20:00:00,2.51,bullish
2026-04-09 16:00:00,2.84,bearish
2026-04-13 08:00:00,2.78,bullish
2026-04-21 20:00:00,2.76,bullish
2026-04-26 20:00:00,2.95,bearish
2026-04-30 20:00:00,2.82,bearish
2026-05-02 16:00:00,2.82,bullish
2026-05-07 16:00:00,2.84,bullish
2026-05-12 08:00:00,3.18,bearish
2026-05-13 20:00:00,3.09,bullish
2026-05-14 20:00:00,3.09,bearish
2026-05-30 12:00:00,2.7,bullish
2026-05-31 12:00:00,2.65,bullish
2026-06-06 12:00:00,2.12,bullish
2026-06-07 20:00:00,2.11,bullish
2026-06-14 16:00:00,2.21,bullish
2026-06-22 04:00:00,2.09,bullish
2026-06-26 16:00:00,1.93,bearish
2026-07-18 20:00:00,2.03,bullish
2026-07-22 20:00:00,2.0,bullish
2026-07-23 16:00:00,2.06,bullish
2026-08-06 20:00:00,1.83,bullish
2026-08-11 04:00:00,1.8,bearish
2026-08-19 20:00:00,1.79,bullish
2026-08-21 04:00:00,2.07,bullish
2026-08-28 20:00:00,2.06,bullish
2026-08-30 20:00:00,1.99,bullish
2026-09-01 08:00:00,2.06,bullish
2026-09-08 04:00:00,2.2,bearish
