date_time,price,type
2024-09-22 16:00:00,15.0,bullish
2024-10-01 20:00:00,14.3,bullish
2024-10-14 16:00:00,15.57,bullish
2024-11-06 12:00:00,14.81,bullish
2024-12-01 20:00:00,21.56,bearish
2024-12-02 08:00:00,21.0,bullish
2024-12-14 08:00:00,22.28,bearish
2024-12-25 12:00:00,16.32,bearish
2025-01-07 00:00:00,17.06,bearish
2025-01-23 20:00:00,13.05,bearish
2025-01-31 04:00:00,12.84,bullish
2025-03-18 16:00:00,10.44,bearish
2025-03-21 04:00:00,9.95,bearish
2025-03-28 12:00:00,8.65,bearish
2025-03-29 12:00:00,8.52,bearish
2025-04-02 04:00:00,8.0,bearish
2025-04-03 08:00:00,7.4,bearish
2025-04-22 16:00:00,7.93,bullish
2025-04-25 04:00:00,9.35,bearish
2025-05-03 12:00:00,8.93,bearish
2025-05-06 08:00:00,8.39,bearish
2025-05-11 08:00:00,9.71,bearish
2025-06-03 08:00:00,8.26,bullish
2025-06-12 04:00:00,8.22,bearish
2025-07-07 00:00:00,7.56,bearish
2025-07-15 00:00:00,7.88,bullish
2025-07-16 04:00:00,8.31,bullish
2025-07-18 20:00:00,8.96,bearish
2025-07-19 20:00:00,9.12,bearish
2025-07-22 08:00:00,8.93,bullish
2025-07-22 20:00:00,9.27,bullish
2025-07-28 08:00:00,9.33,bearish
2025-08-05 00:00:00,8.49,bearish
2025-08-10 20:00:00,9.13,bullish
2025-09-12 16:00:00,17.63,bearish
2026-02-07 04:00:00,7.92,bullish
2026-03-02 04:00:00,8.62,bullish
2026-05-17 08:00:00,10.99,bullish
2026-05-22 12:00:00,8.9,bearish
2026-07-24 20:00:00,8.98,bullish
