date_time,price,type
2025-11-19 12:00:00,0.0932,bearish
2025-11-20 00:00:00,0.0948,bearish
2025-11-23 04:00:00,0.0691,bullish
2025-11-24 00:00:00,0.0723,bullish
2025-12-29 08:00:00,0.0565,bearish
2026-01-04 04:00:00,0.0766,bullish
2026-01-05 04:00:00,0.0543,bullish
2026-01-05 12:00:00,0.0677,bullish
2026-01-08 12:00:00,0.0621,bearish
2026-01-13 00:00:00,0.055,bearish
2026-01-13 12:00:00,0.0513,bullish
2026-01-21 00:00:00,0.051,bullish
2026-01-26 20:00:00,0.055,bearish
2026-02-05 12:00:00,0.077,bullish
2026-04-07 04:00:00,0.0742,bullish
2026-06-04 04:00:00,0.1125,bearish
2026-06-21 20:00:00,0.0996,bearish
2026-08-26 12:00:00,0.1081,bullish
