date_time,price,type
2024-09-14 20:00:00,0.001668,bullish
2024-09-16 20:00:00,0.001638,bearish
2024-09-20 16:00:00,0.001618,bullish
2024-10-02 16:00:00,0.0014,bearish
2024-10-05 16:00:00,0.00145,bearish
2024-10-12 04:00:00,0.001306,bearish
2024-10-23 08:00:00,0.001121,bearish
2024-11-01 16:00:00,0.001,bearish
2024-11-03 00:00:00,0.000988,bearish
2024-11-03 20:00:00,0.000904,bearish
2024-11-12 08:00:00,0.00101,bullish
2024-11-13 08:00:00,0.000959,bullish
2024-11-13 12:00:00,0.00095,bearish
2024-11-15 04:00:00,0.000995,bullish
2024-11-15 12:00:00,0.001018,bullish
2024-11-27 20:00:00,0.001215,bullish
2024-11-28 08:00:00,0.001215,bearish
2024-11-29 08:00:00,0.001215,bullish
2024-12-04 20:00:00,0.001465,bearish
2024-12-13 16:00:00,0.00128,bullish
2024-12-13 20:00:00,0.00128,bearish
2024-12-14 16:00:00,0.001362,bearish
2024-12-15 16:00:00,0.001261,bearish
2024-12-16 08:00:00,0.001225,bearish
2024-12-16 16:00:00,0.001163,bullish
2024-12-20 08:00:00,0.000963,bullish
2024-12-23 12:00:00,0.00101,bearish
2024-12-24 00:00:00,0.00105,bullish
2024-12-24 16:00:00,0.001033,bearish
2024-12-25 16:00:00,0.001018,bullish
2024-12-26 20:00:00,0.001056,bullish
2025-01-01 00:00:00,0.00101,bullish
2025-01-03 04:00:00,0.001,bearish
2025-01-03 08:00:00,0.001,bullish
2025-01-05 04:00:00,0.00106,bullish
2025-01-06 04:00:00,0.001066,bullish
2025-01-06 16:00:00,0.0011,bearish
2025-01-08 00:00:00,0.00101,bearish
2025-01-09 04:00:00,0.000959,bearish
2025-01-09 16:00:00,0.00093,bearish
2025-01-15 08:00:00,0.000892,bullish
2025-01-16 12:00:00,0.000959,bearish
2025-01-18 04:00:00,0.000981,bearish
2025-01-19 00:00:00,0.000954,bearish
2025-01-21 00:00:00,0.00089,bearish
2025-01-22 04:00:00,0.000853,bearish
2025-01-22 16:00:00,0.000853,bullish
2025-01-23 00:00:00,0.000853,bullish
2025-01-23 08:00:00,0.00084,bullish
2025-01-26 04:00:00,0.000789,bearish
2025-01-28 04:00:00,0.000677,bullish
2025-01-31 04:00:00,0.000751,bearish
2025-02-03 16:00:00,0.00057,bearish
2025-02-06 16:00:00,0.000664,bullish
2025-02-11 12:00:00,0.000627,bearish
2025-02-13 20:00:00,0.000735,bearish
2025-02-14 12:00:00,0.000571,bullish
2025-02-20 08:00:00,0.000546,bearish
2025-03-03 04:00:00,0.000552,bearish
2025-03-09 20:00:00,0.000506,bullish
2025-03-11 00:00:00,0.000501,bearish
2025-03-11 12:00:00,0.000466,bearish
2025-03-19 08:00:00,0.00055,bullish
2025-03-24 08:00:00,0.00047,bearish
2025-04-04 08:00:00,0.000444,bearish
2025-04-07 12:00:00,0.000443,bearish
2025-04-10 08:00:00,0.000233,bullish
2025-04-12 08:00:00,0.000393,bullish
2025-04-12 16:00:00,0.000455,bearish
2025-04-16 04:00:00,0.000388,bearish
2025-04-19 20:00:00,0.000466,bearish
2025-04-23 00:00:00,0.000466,bullish
2025-04-26 08:00:00,0.000468,bullish
2025-04-28 16:00:00,0.00046,bearish
2025-05-06 12:00:00,0.000404,bearish
2025-05-09 00:00:00,0.000512,bearish
2025-05-14 20:00:00,0.000494,bearish
2025-05-21 00:00:00,0.000489,bullish
2025-05-25 04:00:00,0.000506,bearish
2025-05-26 08:00:00,0.000428,bearish
2025-06-13 04:00:00,0.00038,bullish
2025-06-14 12:00:00,0.000381,bullish
2025-06-21 08:00:00,0.000355,bullish
2025-06-21 16:00:00,0.00036,bearish
2025-06-22 08:00:00,0.000333,bearish
2025-07-03 08:00:00,0.000425,bullish
2025-07-05 12:00:00,0.00034,bearish
2025-07-14 00:00:00,0.000348,bearish
2025-07-16 12:00:00,0.0004,bullish
2025-07-19 08:00:00,0.000465,bearish
2025-07-23 00:00:00,0.00039,bearish
2025-07-23 04:00:00,0.00039,bullish
2025-07-28 08:00:00,0.0004,bullish
2025-07-29 12:00:00,0.00037,bullish
2025-08-03 20:00:00,0.00037,bearish
2025-08-07 04:00:00,0.000358,bearish
2025-08-10 00:00:00,0.00041,bearish
2025-08-10 08:00:00,0.00037,bullish
2025-08-14 04:00:00,0.000371,bearish
2025-08-14 12:00:00,0.00039,bearish
2025-08-15 16:00:00,0.00039,bearish
2025-08-21 20:00:00,0.00035,bullish
2025-08-22 08:00:00,0.000323,bullish
2025-08-25 20:00:00,0.00036,bullish
2025-08-26 16:00:00,0.0004,bearish
2025-08-28 08:00:00,0.000323,bullish
2025-08-30 12:00:00,0.000371,bullish
2025-08-31 16:00:00,0.000378,bearish
2025-09-01 16:00:00,0.000333,bearish
2025-09-05 12:00:00,0.000359,bullish
2025-09-09 12:00:00,0.00034,bullish
2025-09-14 08:00:00,0.000332,bullish
2025-09-16 16:00:00,0.00038,bearish
2025-09-18 04:00:00,0.000356,bearish
2025-09-23 00:00:00,0.000371,bearish
2025-09-24 04:00:00,0.00033,bearish
2025-10-07 04:00:00,0.000369,bullish
2025-10-07 08:00:00,0.000369,bearish
2025-10-12 00:00:00,0.000294,bearish
2025-10-14 04:00:00,0.000366,bearish
2025-10-15 12:00:00,0.000249,bearish
2025-10-16 16:00:00,0.000221,bearish
2025-10-27 16:00:00,0.000251,bearish
2025-10-29 08:00:00,0.000241,bearish
2025-10-30 12:00:00,0.000221,bearish
2025-11-09 08:00:00,0.000183,bearish
2025-11-10 16:00:00,0.000159,bullish
2025-11-12 16:00:00,0.000226,bullish
2025-11-21 16:00:00,0.000152,bearish
2025-12-01 12:00:00,0.000147,bearish
2025-12-04 20:00:00,0.000115,bearish
2025-12-05 16:00:00,0.000205,bearish
2025-12-07 04:00:00,0.00019,bearish
2025-12-08 12:00:00,0.000154,bearish
2026-01-06 04:00:00,0.00019,bullish
2026-02-01 12:00:00,0.000106,bearish
2026-02-07 16:00:00,9.9e-05,bullish
2026-02-17 00:00:00,0.00012,bullish
2026-02-25 20:00:00,0.0001,bullish
2026-02-26 00:00:00,0.0001,bearish
2026-03-01 08:00:00,7.6e-05,bearish
2026-03-18 20:00:00,6.5e-05,bullish
2026-03-25 00:00:00,6.3e-05,bullish
2026-03-26 04:00:00,6.5e-05,bullish
2026-03-28 12:00:00,6.2e-05,bullish
2026-04-03 16:00:00,5.9e-05,bullish
2026-04-22 08:00:00,6e-05,bullish
2026-04-22 16:00:00,7e-05,bearish
2026-04-23 00:00:00,5.9e-05,bullish
2026-04-24 08:00:00,4.6e-05,bearish
2026-04-25 12:00:00,4.5e-05,bearish
2026-04-25 20:00:00,4.6e-05,bullish
2026-05-03 00:00:00,4.9e-05,bullish
2026-05-08 16:00:00,4.5e-05,bearish
2026-05-09 20:00:00,4.6e-05,bullish
2026-05-13 20:00:00,6.1e-05,bullish
2026-05-16 12:00:00,5.7e-05,bearish
2026-05-16 20:00:00,4.9e-05,bullish
2026-05-19 12:00:00,5e-05,bearish
2026-05-21 12:00:00,5e-05,bullish
2026-05-24 08:00:00,4.9e-05,bearish
2026-05-26 16:00:00,4.3e-05,bullish
2026-06-02 08:00:00,4.4e-05,bullish
2026-06-07 12:00:00,4e-05,bullish
2026-06-19 16:00:00,3.5e-05,bearish
2026-06-21 00:00:00,3.4e-05,bearish
2026-06-21 20:00:00,3e-05,bearish
2026-06-30 12:00:00,3.6e-05,bullish
2026-07-01 16:00:00,4.2e-05,bullish
2026-07-06 12:00:00,3.5e-05,bearish
2026-07-12 20:00:00,4.5e-05,bearish
2026-07-13 16:00:00,3.4e-05,bearish
2026-07-20 04:00:00,3.3e-05,bullish
2026-07-23 12:00:00,4.1e-05,bullish
2026-07-23 20:00:00,4.5e-05,bearish
2026-07-31 00:00:00,3.8e-05,bullish
2026-08-04 12:00:00,4.3e-05,bullish
2026-08-05 20:00:00,4.4e-05,bullish
2026-08-14 00:00:00,3.7e-05,bullish
2026-08-19 04:00:00,4.4e-05,bullish
2026-08-19 16:00:00,4.8e-05,bearish
2026-08-21 12:00:00,4.5e-05,bearish
2026-09-05 20:00:00,4.2e-05,bullish
2026-09-07 12:00:00,5e-05,bearish
2026-09-09 00:00:00,4.8e-05,bearish
