date_time,price,type
2024-09-13 04:00:00,0.257,bullish
2024-09-26 08:00:00,0.2817,bullish
2024-12-29 08:00:00,0.5696,bearish
2025-01-16 04:00:00,0.6027,bearish
2025-01-22 20:00:00,0.5585,bearish
2025-01-24 16:00:00,0.569,bearish
2025-02-15 16:00:00,0.4002,bearish
2025-02-18 20:00:00,0.3479,bullish
2025-02-23 12:00:00,0.35,bullish
2025-02-24 04:00:00,0.3324,bearish
2025-02-26 04:00:00,0.3122,bearish
2025-03-17 16:00:00,0.2797,bullish
2025-04-01 04:00:00,0.2747,bullish
2025-04-26 16:00:00,0.3107,bullish
2025-06-13 04:00:00,0.2588,bearish
2025-06-24 16:00:00,0.2526,bearish
2025-07-12 00:00:00,0.285,bullish
2025-07-17 16:00:00,0.3139,bullish
2025-07-25 00:00:00,0.2928,bullish
2025-08-08 00:00:00,0.2806,bullish
2025-08-13 08:00:00,0.3086,bearish
2025-08-14 16:00:00,0.2829,bearish
2025-08-17 04:00:00,0.2982,bullish
2025-08-22 20:00:00,0.3011,bearish
2025-09-02 00:00:00,0.2726,bearish
2025-09-07 20:00:00,0.2879,bullish
2025-09-11 16:00:00,0.3008,bullish
2025-09-14 16:00:00,0.3085,bullish
2025-09-16 00:00:00,0.2931,bullish
2025-10-23 08:00:00,0.2069,bearish
2025-10-27 00:00:00,0.2211,bullish
2025-11-04 16:00:00,0.17,bearish
2025-11-21 08:00:00,0.1632,bearish
2026-01-14 08:00:00,0.1294,bullish
2026-02-10 20:00:00,0.0858,bullish
2026-03-26 08:00:00,0.0859,bearish
2026-04-19 16:00:00,0.0785,bearish
2026-05-10 00:00:00,0.0798,bullish
2026-06-23 00:00:00,0.0543,bearish
2026-07-01 12:00:00,0.046,bullish
2026-07-05 20:00:00,0.0502,bearish
