date_time,price,type
2024-09-25 00:00:00,2.888,bearish
2024-10-13 04:00:00,3.501,bullish
2024-10-13 12:00:00,3.827,bullish
2024-10-13 16:00:00,3.827,bearish
2024-10-21 08:00:00,3.45,bullish
2024-10-23 08:00:00,3.423,bearish
2024-11-01 04:00:00,4.6,bullish
2024-11-03 16:00:00,4.087,bullish
2024-11-05 20:00:00,4.435,bearish
2024-11-13 00:00:00,4.336,bearish
2024-11-29 04:00:00,4.15,bullish
2024-12-15 16:00:00,3.998,bearish
2024-12-16 04:00:00,3.796,bearish
2025-01-13 04:00:00,3.023,bearish
2025-01-18 00:00:00,3.113,bearish
2025-01-19 16:00:00,2.732,bearish
2025-01-30 04:00:00,3.301,bearish
2025-02-07 16:00:00,2.349,bearish
2025-03-03 04:00:00,3.046,bearish
2025-03-04 04:00:00,2.114,bullish
2025-05-09 12:00:00,2.143,bearish
2025-05-11 00:00:00,2.689,bullish
2025-06-03 08:00:00,2.229,bullish
2025-06-22 08:00:00,2.0,bearish
2025-08-20 04:00:00,2.38,bullish
2025-08-22 20:00:00,2.161,bearish
2025-09-02 00:00:00,2.355,bearish
2025-10-17 00:00:00,1.546,bearish
2025-10-18 00:00:00,1.541,bullish
2025-11-26 08:00:00,1.958,bullish
2025-11-30 20:00:00,1.913,bullish
2025-12-15 12:00:00,1.527,bearish
2025-12-31 16:00:00,1.8,bearish
2026-02-26 08:00:00,1.406,bearish
2026-03-12 08:00:00,1.578,bullish
2026-03-24 20:00:00,1.0,bearish
