date_time,price,type
2024-09-15 00:00:00,1.295,bullish
2024-10-08 00:00:00,1.311,bearish
2024-10-19 04:00:00,1.312,bearish
2024-10-29 00:00:00,1.195,bearish
2024-10-29 08:00:00,1.185,bullish
2024-10-31 16:00:00,1.137,bullish
2024-12-04 12:00:00,3.025,bearish
2025-06-07 08:00:00,0.774,bearish
2025-06-20 08:00:00,0.691,bearish
2025-06-27 04:00:00,0.658,bullish
2025-08-17 08:00:00,0.859,bearish
2025-09-10 12:00:00,0.824,bearish
2025-09-11 04:00:00,0.828,bearish
2025-09-26 08:00:00,0.691,bullish
2025-09-30 08:00:00,0.684,bearish
2025-10-26 20:00:00,0.565,bullish
2025-11-15 16:00:00,0.424,bearish
2025-11-20 04:00:00,0.403,bearish
2025-11-25 16:00:00,0.366,bearish
2025-11-26 12:00:00,0.383,bearish
2025-11-26 20:00:00,0.382,bearish
2025-12-03 08:00:00,0.356,bearish
2025-12-14 20:00:00,0.338,bullish
2025-12-23 08:00:00,0.273,bearish
2025-12-26 08:00:00,0.268,bearish
2025-12-31 20:00:00,0.261,bullish
2026-01-03 00:00:00,0.294,bearish
2026-01-08 08:00:00,0.302,bearish
2026-01-24 20:00:00,0.293,bearish
2026-02-03 12:00:00,0.222,bearish
2026-02-10 00:00:00,0.204,bearish
2026-02-13 20:00:00,0.218,bullish
2026-02-22 04:00:00,0.196,bullish
2026-02-27 04:00:00,0.195,bearish
2026-02-27 12:00:00,0.19,bearish
2026-03-01 08:00:00,0.192,bearish
2026-03-05 08:00:00,0.198,bearish
2026-03-07 00:00:00,0.187,bearish
2026-03-09 20:00:00,0.179,bullish
2026-03-19 16:00:00,0.174,bearish
2026-03-20 20:00:00,0.171,bearish
2026-03-22 08:00:00,0.161,bullish
2026-03-26 20:00:00,0.16,bullish
2026-03-29 12:00:00,0.15,bullish
2026-03-29 16:00:00,0.15,bearish
2026-04-02 12:00:00,0.145,bearish
2026-04-03 08:00:00,0.15,bearish
2026-04-08 08:00:00,0.164,bearish
2026-04-09 04:00:00,0.16,bullish
2026-04-14 20:00:00,0.176,bullish
2026-04-15 12:00:00,0.177,bullish
2026-04-24 20:00:00,0.216,bullish
2026-04-30 08:00:00,0.199,bearish
2026-05-02 08:00:00,0.198,bullish
2026-05-30 08:00:00,0.188,bearish
2026-06-01 04:00:00,0.191,bullish
2026-06-14 04:00:00,0.159,bullish
2026-06-14 08:00:00,0.159,bearish
2026-06-17 04:00:00,0.164,bullish
2026-06-21 16:00:00,0.158,bearish
2026-06-22 04:00:00,0.153,bullish
2026-06-24 08:00:00,0.146,bearish
2026-07-02 04:00:00,0.133,bullish
2026-07-05 00:00:00,0.141,bullish
2026-07-06 04:00:00,0.14,bullish
2026-07-09 08:00:00,0.138,bullish
2026-07-11 04:00:00,0.149,bullish
2026-07-13 12:00:00,0.149,bearish
2026-07-16 00:00:00,0.15,bullish
2026-07-21 04:00:00,0.138,bullish
2026-07-21 12:00:00,0.139,bullish
2026-07-23 00:00:00,0.139,bullish
2026-07-28 20:00:00,0.129,bearish
2026-07-30 08:00:00,0.127,bearish
2026-08-10 00:00:00,0.141,bullish
2026-08-12 04:00:00,0.135,bullish
2026-08-13 08:00:00,0.135,bullish
2026-08-14 08:00:00,0.132,bullish
2026-08-17 20:00:00,0.137,bearish
2026-08-21 00:00:00,0.164,bullish
2026-08-24 20:00:00,0.186,bullish
2026-08-27 20:00:00,0.18,bearish
2026-09-01 12:00:00,0.171,bearish
2026-09-06 04:00:00,0.179,bullish
2026-09-07 20:00:00,0.188,bearish
