ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,0.1057,0.1107,0.1035,0.1094,14196.30000000,1773705599999,1526.81037000,33,6953.70000000,750.41714000,0
2026-03-17,0.1083,0.1095,0.1073,0.1095,223.10000000,1773791999999,24.23771000,4,90.90000000,9.95355000,0
2026-03-18,0.109,0.1103,0.1011,0.1011,6481.50000000,1773878399999,661.50950000,24,2667.80000000,272.29410000,0
2026-03-19,0.1036,0.1036,0.0975,0.0999,61314.40000000,1773964799999,6014.40435000,27,11548.30000000,1154.68915000,0
2026-03-20,0.1008,0.102,0.0986,0.1005,942.50000000,1774051199999,95.38005000,6,859.60000000,87.20611000,0
2026-03-21,0.1006,0.1009,0.0971,0.0971,1376.70000000,1774137599999,137.44693000,10,1181.30000000,118.30910000,0
2026-03-22,0.0956,0.0976,0.0926,0.0938,2850.30000000,1774223999999,270.02706000,15,2453.70000000,232.70715000,0
2026-03-23,0.0946,0.0976,0.0876,0.0974,7077.70000000,1774310399999,674.77412000,29,4535.30000000,436.97629000,0
2026-03-24,0.0977,0.0991,0.0943,0.0991,14646.70000000,1774396799999,1411.92835000,22,6640.10000000,651.26701000,0
2026-03-25,0.0991,0.1419,0.0978,0.0988,16634.00000000,1774483199999,1732.81191000,102,12614.50000000,1309.53640000,0
2026-03-26,0.1,0.1,0.0932,0.0952,4252.10000000,1774569599999,401.49453000,20,754.80000000,71.96150000,0
2026-03-27,0.0938,0.0954,0.0898,0.0906,2527.30000000,1774655999999,232.60420000,18,162.30000000,14.95494000,0
2026-03-28,0.0913,0.0923,0.0898,0.0898,672.30000000,1774742399999,61.57779000,6,573.20000000,52.67861000,0
2026-03-29,0.0908,0.0908,0.087,0.0883,2871.40000000,1774828799999,254.58985000,23,1253.50000000,112.20667000,0
2026-03-30,0.0885,0.0946,0.0885,0.0921,7342.60000000,1774915199999,687.37081000,17,7061.60000000,661.70721000,0
2026-03-31,0.0927,0.0944,0.0912,0.0943,2676.50000000,1775001599999,248.48705000,10,2577.40000000,239.44913000,0
2026-04-01,0.0947,0.0976,0.0933,0.0961,7584.20000000,1775087999999,726.74829000,16,7132.10000000,684.48808000,0
