ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17,0.1074,0.1105,0.1064,0.1076,5754.00000000,1773791999999,622.08250000,46,2931.00000000,319.31860000,0
2026-03-18,0.1064,0.1088,0.0997,0.1012,13371.00000000,1773878399999,1384.27590000,76,5547.00000000,565.17890000,0
2026-03-19,0.1025,0.1025,0.0963,0.0989,4886.00000000,1773964799999,486.69080000,39,2472.00000000,251.00100000,0
2026-03-20,0.0972,0.0993,0.0965,0.0972,4426.00000000,1774051199999,433.76790000,39,1584.00000000,156.71370000,0
2026-03-21,0.0978,0.0992,0.0939,0.0939,4126.00000000,1774137599999,398.86760000,39,2754.00000000,266.86200000,0
2026-03-22,0.0937,0.0959,0.0917,0.0917,568.00000000,1774223999999,52.57490000,13,87.00000000,8.30060000,0
2026-03-23,0.0911,0.0945,0.0911,0.0945,3441.00000000,1774310399999,319.83720000,20,2302.00000000,216.07430000,0
2026-03-24,0.099,0.115,0.0983,0.1082,104551.00000000,1774396799999,11573.58470000,125,99431.00000000,11013.44740000,0
2026-03-25,0.1098,0.1125,0.1069,0.1082,19625.00000000,1774483199999,2129.63120000,101,7613.00000000,829.31670000,0
2026-03-26,0.1089,0.1132,0.1005,0.1005,10466.00000000,1774569599999,1123.59700000,84,4390.00000000,482.54130000,0
2026-03-27,0.1021,0.103,0.0948,0.0949,63541.00000000,1774655999999,6130.36090000,43,61373.00000000,5916.68410000,0
2026-03-28,0.0924,0.0953,0.0912,0.0941,39442.00000000,1774742399999,3725.20940000,27,4364.00000000,412.57370000,0
2026-03-29,0.0922,0.093,0.0891,0.0891,8115.00000000,1774828799999,749.97580000,24,0.00000000,0.00000000,0
2026-03-30,0.0906,0.096,0.0893,0.0954,5497.00000000,1774915199999,518.36080000,29,654.00000000,62.14300000,0
2026-03-31,0.0932,0.095,0.0893,0.0937,1277.00000000,1775001599999,119.79960000,47,0.00000000,0.00000000,0
2026-04-01,0.0981,0.1036,0.0946,0.0998,11984.00000000,1775087999999,1188.57970000,58,7796.00000000,772.17030000,0
2026-04-02,0.0991,0.101,0.093,0.0939,8065.00000000,1775174399999,782.11210000,53,2687.00000000,259.31420000,0
2026-04-03,0.0965,0.0967,0.0936,0.0955,40028.00000000,1775260799999,3769.25190000,38,2485.00000000,234.80370000,0
2026-04-04,0.0938,0.099,0.0938,0.0952,51325.00000000,1775347199999,4869.76220000,41,42572.00000000,4034.41990000,0
2026-04-05,0.0949,0.0981,0.0938,0.0941,3710.00000000,1775433599999,350.88820000,31,1865.00000000,175.98120000,0
2026-04-06,0.0947,0.1004,0.0936,0.0989,2528.00000000,1775519999999,245.93800000,27,83.00000000,8.30790000,0
2026-04-07,0.0996,0.1027,0.0959,0.1027,5511.00000000,1775606399999,540.68950000,48,2284.00000000,224.06680000,0
