ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2024-09-11 20:00:00,0.1657,0.1666,0.1657,0.1666,60.00000000,1726099199999,9.95280000,2,12.00000000,1.99920000,0
2024-09-12 00:00:00,0.1673,0.1704,0.1649,0.1704,1088.00000000,1726113599999,182.67620000,37,739.00000000,124.70670000,0
2024-09-12 04:00:00,0.1704,0.1704,0.1704,0.1704,0.00000000,1726127999999,0.00000000,0,0.00000000,0.00000000,0
2024-09-12 08:00:00,0.1704,0.1704,0.1704,0.1704,0.00000000,1726142399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-12 12:00:00,0.1702,0.1706,0.1699,0.1699,324.00000000,1726156799999,55.14950000,4,197.00000000,33.57220000,0
2024-09-12 16:00:00,0.1688,0.1721,0.1688,0.1721,197.00000000,1726171199999,33.32290000,2,21.00000000,3.61410000,0
2024-09-12 20:00:00,0.1721,0.173,0.1721,0.173,383.00000000,1726185599999,66.01160000,5,383.00000000,66.01160000,0
2024-09-13 00:00:00,0.1711,0.1717,0.1699,0.1715,760.00000000,1726199999999,129.89670000,58,75.00000000,12.86250000,0
2024-09-13 04:00:00,0.17,0.17,0.17,0.17,25.00000000,1726214399999,4.25000000,1,0.00000000,0.00000000,0
2024-09-13 08:00:00,0.1702,0.171,0.17,0.171,1136.00000000,1726228799999,193.78160000,3,603.00000000,103.11300000,0
2024-09-13 12:00:00,0.1704,0.174,0.1704,0.174,2559.00000000,1726243199999,437.02220000,7,1294.00000000,220.90620000,0
2024-09-13 16:00:00,0.1723,0.1751,0.172,0.1751,5589.00000000,1726257599999,974.07090000,15,3978.00000000,696.13370000,0
2024-09-13 20:00:00,0.1728,0.1755,0.1701,0.1755,297.00000000,1726271999999,50.97490000,7,76.00000000,13.31910000,0
2024-09-14 00:00:00,0.1734,0.1749,0.1707,0.1749,830.00000000,1726286399999,143.35550000,60,141.00000000,24.63700000,0
2024-09-14 04:00:00,0.1749,0.1749,0.1749,0.1749,0.00000000,1726300799999,0.00000000,0,0.00000000,0.00000000,0
2024-09-14 08:00:00,0.1704,0.1725,0.1699,0.1718,1470.00000000,1726315199999,252.25530000,7,1161.00000000,199.50420000,0
2024-09-14 12:00:00,0.1714,0.1737,0.1714,0.1737,907.00000000,1726329599999,156.33730000,7,69.00000000,11.97450000,0
2024-09-14 16:00:00,0.1716,0.1716,0.1712,0.1716,1467.00000000,1726343999999,251.57040000,5,739.00000000,126.65160000,0
2024-09-14 20:00:00,0.1716,0.1716,0.1716,0.1716,0.00000000,1726358399999,0.00000000,0,0.00000000,0.00000000,0
2024-09-15 00:00:00,0.1722,0.1737,0.1701,0.1737,1359.00000000,1726372799999,234.59660000,84,564.00000000,97.76960000,0
2024-09-15 04:00:00,0.1743,0.1747,0.1743,0.1747,503.00000000,1726387199999,87.70570000,2,503.00000000,87.70570000,0
2024-09-15 08:00:00,0.1748,0.1748,0.1748,0.1748,11.00000000,1726401599999,1.92280000,1,11.00000000,1.92280000,0
2024-09-15 12:00:00,0.1728,0.1757,0.1726,0.1733,1082.00000000,1726415999999,187.13610000,5,20.00000000,3.51400000,0
2024-09-15 16:00:00,0.1723,0.1723,0.1723,0.1723,100.00000000,1726430399999,17.23000000,1,0.00000000,0.00000000,0
2024-09-15 20:00:00,0.1725,0.1729,0.171,0.171,2629.00000000,1726444799999,452.18360000,7,1235.00000000,212.34400000,0
2024-09-16 00:00:00,0.1707,0.171,0.1689,0.1689,3491.00000000,1726459199999,594.86160000,95,990.00000000,169.14900000,0
