ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-12-10 12:00:00,2.6,2.6,2.327,2.6,396.81000000,1765382399999,933.30741000,53,107.97000000,254.23429000,0
2025-12-10 16:00:00,2.6,2.6,2.351,2.36,285.70000000,1765396799999,677.52597000,8,7.85000000,19.45840000,0
2025-12-10 20:00:00,2.36,2.36,2.36,2.36,0.00000000,1765411199999,0.00000000,0,0.00000000,0.00000000,0
2025-12-11 00:00:00,2.361,2.361,2.361,2.361,1.42000000,1765425599999,3.35262000,2,1.42000000,3.35262000,0
2025-12-11 04:00:00,2.361,2.361,2.361,2.361,2.14000000,1765439999999,5.05254000,2,2.14000000,5.05254000,0
2025-12-11 08:00:00,2.361,2.75,2.361,2.75,49.10000000,1765454399999,134.30924000,5,10.90000000,29.97500000,0
2025-12-11 12:00:00,2.75,2.75,2.75,2.75,26.65000000,1765468799999,73.28750000,4,26.65000000,73.28750000,0
2025-12-11 16:00:00,2.576,2.576,2.361,2.361,25.15000000,1765483199999,59.67155000,5,0.00000000,0.00000000,0
2025-12-11 20:00:00,2.361,2.361,2.244,2.267,200.25000000,1765497599999,450.46381000,4,19.19000000,44.06773000,0
2025-12-12 00:00:00,2.268,2.268,2.268,2.268,2.50000000,1765511999999,5.67000000,1,2.50000000,5.67000000,0
2025-12-12 04:00:00,2.268,2.268,2.268,2.268,0.00000000,1765526399999,0.00000000,0,0.00000000,0.00000000,0
2025-12-12 08:00:00,2.268,2.268,2.268,2.268,0.00000000,1765540799999,0.00000000,0,0.00000000,0.00000000,0
2025-12-12 12:00:00,2.268,2.268,2.268,2.268,0.00000000,1765555199999,0.00000000,0,0.00000000,0.00000000,0
2025-12-12 16:00:00,2.268,2.268,2.268,2.268,0.00000000,1765569599999,0.00000000,0,0.00000000,0.00000000,0
2025-12-12 20:00:00,2.223,2.223,2.223,2.223,13.45000000,1765583999999,29.89935000,1,13.45000000,29.89935000,0
2025-12-13 00:00:00,2.222,2.222,2.222,2.222,1.18000000,1765598399999,2.62196000,1,1.18000000,2.62196000,0
2025-12-13 04:00:00,2.222,2.222,2.222,2.222,0.00000000,1765612799999,0.00000000,0,0.00000000,0.00000000,0
2025-12-13 08:00:00,2.204,2.232,2.204,2.219,5.93000000,1765627199999,13.16139000,3,1.34000000,2.99088000,0
2025-12-13 12:00:00,2.227,2.227,2.227,2.227,2.69000000,1765641599999,5.99063000,1,0.00000000,0.00000000,0
2025-12-13 16:00:00,2.261,2.261,2.26,2.26,5.92000000,1765655999999,13.38420000,2,5.92000000,13.38420000,0
2025-12-13 20:00:00,2.258,2.258,2.258,2.258,2.50000000,1765670399999,5.64500000,1,2.50000000,5.64500000,0
2025-12-14 00:00:00,2.255,2.255,2.255,2.255,0.85000000,1765684799999,1.91675000,1,0.00000000,0.00000000,0
2025-12-14 04:00:00,2.269,2.269,2.269,2.269,1.32000000,1765699199999,2.99508000,1,1.32000000,2.99508000,0
2025-12-14 08:00:00,2.225,2.225,2.225,2.225,1.52000000,1765713599999,3.38200000,1,0.00000000,0.00000000,0
