ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2024-09-11 20:00:00,0.10185,0.10199,0.10078,0.10142,105072.00000000,1726099199999,10665.23119000,65,36156.00000000,3678.90331000,0
2024-09-12 00:00:00,0.10143,0.10254,0.10123,0.10234,688917.00000000,1726113599999,70283.82276000,157,98337.00000000,10033.44764000,0
2024-09-12 04:00:00,0.10228,0.10302,0.10201,0.10248,75976.00000000,1726127999999,7791.78770000,80,59143.00000000,6066.31265000,0
2024-09-12 08:00:00,0.10261,0.10261,0.10164,0.10175,45729.00000000,1726142399999,4666.06200000,39,6496.00000000,663.60770000,0
2024-09-12 12:00:00,0.10199,0.1027,0.10057,0.10066,83989.00000000,1726156799999,8532.68822000,131,51232.00000000,5207.65231000,0
2024-09-12 16:00:00,0.10088,0.10249,0.10076,0.1024,68865.00000000,1726171199999,7010.89248000,77,30774.00000000,3134.63166000,0
2024-09-12 20:00:00,0.10238,0.10325,0.10178,0.10279,175415.00000000,1726185599999,18021.13335000,97,128526.00000000,13221.76971000,0
2024-09-13 00:00:00,0.10275,0.10275,0.10187,0.10197,113844.00000000,1726199999999,11625.65892000,72,88322.00000000,9017.00752000,0
2024-09-13 04:00:00,0.10201,0.10384,0.10196,0.10346,62357.00000000,1726214399999,6423.29988000,97,51019.00000000,5252.49323000,0
2024-09-13 08:00:00,0.10354,0.10654,0.10354,0.10441,830889.00000000,1726228799999,87261.33600000,524,385851.00000000,40337.00772000,0
2024-09-13 12:00:00,0.1045,0.10835,0.10395,0.10783,1061832.00000000,1726243199999,113625.85296000,325,692543.00000000,73992.35188000,0
2024-09-13 16:00:00,0.10768,0.10768,0.10632,0.10644,246219.00000000,1726257599999,26378.56266000,165,188560.00000000,20216.01592000,0
2024-09-13 20:00:00,0.10646,0.1078,0.10632,0.10695,316516.00000000,1726271999999,33878.90748000,113,189546.00000000,20331.30150000,0
2024-09-14 00:00:00,0.10682,0.10743,0.10662,0.10703,129197.00000000,1726286399999,13825.38555000,124,86248.00000000,9233.97873000,0
2024-09-14 04:00:00,0.10702,0.1072,0.10634,0.10671,89126.00000000,1726300799999,9512.24439000,80,30427.00000000,3247.65686000,0
2024-09-14 08:00:00,0.10648,0.10664,0.10495,0.10495,77740.00000000,1726315199999,8245.42333000,117,12474.00000000,1322.58352000,0
2024-09-14 12:00:00,0.10515,0.10626,0.10493,0.10556,87203.00000000,1726329599999,9225.64309000,72,18931.00000000,1995.30951000,0
2024-09-14 16:00:00,0.10549,0.10566,0.10441,0.10506,133753.00000000,1726343999999,14063.02186000,92,54648.00000000,5755.44249000,0
2024-09-14 20:00:00,0.105,0.10555,0.105,0.10533,21135.00000000,1726358399999,2224.54623000,27,10735.00000000,1131.16754000,0
2024-09-15 00:00:00,0.10544,0.10615,0.10544,0.10576,292770.00000000,1726372799999,31002.37390000,83,1744.00000000,184.61524000,0
2024-09-15 04:00:00,0.10587,0.10587,0.10509,0.10571,145184.00000000,1726387199999,15305.62034000,48,81317.00000000,8575.07739000,0
2024-09-15 08:00:00,0.10547,0.10589,0.10448,0.10475,50409.00000000,1726401599999,5297.85602000,43,6195.00000000,652.98437000,0
2024-09-15 12:00:00,0.10479,0.10628,0.10479,0.10604,76598.00000000,1726415999999,8094.42172000,89,48013.00000000,5073.26843000,0
