ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,4.29,4.45,4.29,4.45,12.88000000,1773705599999,56.25960000,12,8.35000000,36.68230000,0
2026-03-17,4.45,4.45,4.34,4.34,8.86000000,1773791999999,38.79130000,12,3.93000000,17.29720000,0
2026-03-18,4.32,4.39,4.1,4.1,18.73000000,1773878399999,79.66940000,27,2.47000000,10.81870000,0
2026-03-19,4.1,4.11,3.26,4.03,103.86000000,1773964799999,389.53780000,15,13.68000000,55.30680000,0
2026-03-20,4.25,4.25,4.05,4.06,10.44000000,1774051199999,42.66020000,4,1.48000000,6.29000000,0
2026-03-21,4.06,4.16,4.04,4.04,2.65000000,1774137599999,10.80080000,4,0.72000000,2.99520000,0
2026-03-22,3.96,3.96,3.89,3.89,15.16000000,1774223999999,59.76340000,6,9.77000000,38.68920000,0
2026-03-23,3.89,3.89,3.89,3.89,0.00000000,1774310399999,0.00000000,0,0.00000000,0.00000000,0
2026-03-24,4.15,4.15,4.0,4.13,17.63000000,1774396799999,71.67770000,5,8.51000000,35.15020000,0
2026-03-25,4.14,4.17,4.14,4.17,51.84000000,1774483199999,215.34830000,7,51.84000000,215.34830000,0
2026-03-26,4.04,4.04,3.54,3.54,49.40000000,1774569599999,187.25100000,2,24.75000000,99.99000000,0
2026-03-27,3.96,3.96,3.76,3.76,38.18000000,1774655999999,144.93440000,12,10.46000000,40.70720000,0
2026-03-28,3.71,3.84,3.71,3.76,3.90000000,1774742399999,14.82990000,3,2.33000000,8.94720000,0
2026-03-29,3.69,3.75,3.69,3.75,7.57000000,1774828799999,28.19330000,3,0.00000000,0.00000000,0
2026-03-30,3.86,3.86,3.78,3.78,36.73000000,1774915199999,140.28340000,10,20.97000000,80.60580000,0
2026-03-31,3.87,3.87,3.44,3.44,30.84000000,1775001599999,114.04990000,9,8.66000000,32.83250000,0
2026-04-01,3.51,3.96,3.51,3.8,27.10000000,1775087999999,104.27910000,9,13.68000000,53.75050000,0
2026-04-02,3.78,3.78,3.57,3.69,53.88000000,1775174399999,197.98990000,5,26.60000000,100.41390000,0
2026-04-03,3.76,3.76,3.76,3.76,0.64000000,1775260799999,2.40640000,1,0.00000000,0.00000000,0
2026-04-04,3.65,3.65,3.63,3.63,2.87000000,1775347199999,10.46450000,2,0.00000000,0.00000000,0
2026-04-05,3.75,3.82,3.61,3.82,42.00000000,1775433599999,155.59130000,10,14.18000000,52.77690000,0
2026-04-06,3.78,3.78,3.78,3.78,0.53000000,1775519999999,2.00340000,1,0.53000000,2.00340000,0
2026-04-07,3.74,3.9,3.74,3.9,15.96000000,1775606399999,61.86160000,8,12.85000000,49.91920000,0
