ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,0.002025,0.002308,0.002025,0.002308,307604.00000000,1773705599999,641.54984400,47,264185.00000000,548.34622900,0
2026-03-17,0.002258,0.002271,0.002109,0.002212,3618463.00000000,1773791999999,7897.81263400,479,3196602.00000000,6954.59333400,0
2026-03-18,0.002247,0.002296,0.002156,0.002156,1734722.00000000,1773878399999,3848.06813900,390,1060630.00000000,2356.34408100,0
2026-03-19,0.002116,0.002116,0.001994,0.002025,807227.00000000,1773964799999,1660.16075600,183,782441.00000000,1609.85926100,0
2026-03-20,0.002007,0.002075,0.002,0.002075,142174.00000000,1774051199999,286.78501200,7,29529.00000000,60.39574300,0
2026-03-21,0.002071,0.002095,0.00204,0.00205,70979.00000000,1774137599999,146.59815700,15,51521.00000000,106.60271300,0
2026-03-22,0.00201,0.002033,0.001974,0.001986,200570.00000000,1774223999999,398.13232000,43,190324.00000000,377.42067500,0
2026-03-23,0.00197,0.002059,0.001918,0.002059,161019.00000000,1774310399999,313.57822100,33,97030.00000000,187.21240200,0
2026-03-24,0.002002,0.002031,0.002002,0.002031,52866.00000000,1774396799999,107.04134800,12,11362.00000000,22.74672400,0
2026-03-25,0.002022,0.002022,0.00199,0.001991,91881.00000000,1774483199999,184.74927000,21,0.00000000,0.00000000,0
2026-03-26,0.001953,0.00197,0.001829,0.001829,50202.00000000,1774569599999,96.53950900,6,50202.00000000,96.53950900,0
2026-03-27,0.00178,0.001818,0.001655,0.001782,1517106.00000000,1774655999999,2599.48399600,182,1193376.00000000,2036.03193700,0
2026-03-28,0.001818,0.002268,0.001733,0.00215,2649621.00000000,1774742399999,5537.96638200,470,2046282.00000000,4324.95097500,0
2026-03-29,0.002104,0.002223,0.002058,0.002099,1299754.00000000,1774828799999,2787.72403100,284,128452.00000000,278.38910700,0
2026-03-30,0.002116,0.00222,0.00194,0.001963,1302615.00000000,1774915199999,2689.39502900,259,622210.00000000,1222.61976300,0
2026-03-31,0.001935,0.001943,0.001821,0.001886,1464008.00000000,1775001599999,2723.39841600,288,1185988.00000000,2200.15941700,0
2026-04-01,0.001879,0.001956,0.001828,0.001936,648095.00000000,1775087999999,1235.54136000,75,555829.00000000,1055.26686000,0
2026-04-02,0.001677,0.001829,0.001677,0.001803,595741.00000000,1775174399999,1047.00421600,77,321340.00000000,574.88414100,0
2026-04-03,0.001785,0.001804,0.001785,0.001794,1228379.00000000,1775260799999,2207.95894700,232,1228379.00000000,2207.95894700,0
2026-04-04,0.001802,0.001818,0.001775,0.001777,354207.00000000,1775347199999,633.25838800,67,316876.00000000,566.19190900,0
2026-04-05,0.001779,0.001785,0.001731,0.001751,937775.00000000,1775433599999,1643.91143000,177,321843.00000000,568.59053700,0
2026-04-06,0.001791,0.001836,0.00172,0.001725,444609.00000000,1775519999999,798.73946300,78,63256.00000000,115.87310100,0
2026-04-07,0.001715,0.001849,0.001708,0.001849,907501.00000000,1775606399999,1575.20401500,180,894924.00000000,1553.19575400,0
2026-04-08,0.001825,0.001836,0.001764,0.001765,1163488.00000000,1775692799999,2072.33346900,197,6709.00000000,12.29656400,0
2026-04-09,0.001749,0.001771,0.001749,0.00176,30519.00000000,1775779199999,53.56026500,7,11500.00000000,20.11350000,0
2026-04-10,0.00176,0.00176,0.00176,0.00176,0.00000000,1775865599999,0.00000000,0,0.00000000,0.00000000,0
2026-04-11,0.001809,0.002074,0.001724,0.001999,2434576.00000000,1775951999999,4346.50201800,51,18832.00000000,37.48325100,0
2026-04-12,0.002017,0.002017,0.001836,0.001836,601412.00000000,1776038399999,1140.62732200,46,4198.00000000,7.99988600,0
2026-04-13,0.001831,0.001978,0.00182,0.001978,726758.00000000,1776124799999,1365.87791000,110,719303.00000000,1351.47983200,0
2026-04-14,0.001941,0.002013,0.00186,0.001861,748280.00000000,1776211199999,1451.11970600,153,231317.00000000,437.04991200,0
2026-04-15,0.001877,0.001886,0.001876,0.001886,43462.00000000,1776297599999,81.71915800,9,43462.00000000,81.71915800,0
2026-04-16,0.001953,0.002177,0.001953,0.002177,426193.00000000,1776383999999,858.02927700,86,213768.00000000,419.07479700,0
2026-04-17,0.0021,0.002133,0.002019,0.002052,147877.00000000,1776470399999,308.51885900,37,77477.00000000,159.47183500,0
2026-04-18,0.002002,0.002005,0.001961,0.001969,86995.00000000,1776556799999,172.42690600,22,85995.00000000,170.42690600,0
2026-04-19,0.001921,0.002021,0.001911,0.002017,144240.00000000,1776643199999,279.91726900,31,143299.00000000,278.10960800,0
2026-04-20,0.001976,0.001976,0.001888,0.001888,358806.00000000,1776729599999,697.01667200,75,104263.00000000,204.13464700,0
2026-04-21,0.001898,0.00196,0.001898,0.00196,47196.00000000,1776815999999,90.80095900,12,5128.00000000,10.05088000,0
2026-04-22,0.001831,0.001916,0.001829,0.001896,60843.00000000,1776902399999,112.41744000,13,7648.00000000,14.43745400,0
2026-04-23,0.001862,0.001888,0.001832,0.00187,221463.00000000,1776988799999,412.45516900,42,31445.00000000,58.54963000,0
2026-04-24,0.00188,0.00188,0.001848,0.001873,374384.00000000,1777075199999,700.44140900,79,16850.00000000,31.14442300,0
2026-04-25,0.001836,0.001836,0.001786,0.001798,293216.00000000,1777161599999,524.64704400,53,291190.00000000,521.00429600,0
