ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-06-06 08:00:00,34.37,34.8,34.37,34.77,75.83400000,1749211199999,2637.56058000,7,66.97000000,2329.44690000,0
2025-06-06 12:00:00,34.77,36.99,34.02,35.35,715.44300000,1749225599999,25109.56548000,76,385.66400000,13598.33234000,0
2025-06-06 16:00:00,34.63,35.41,33.85,34.32,49.57600000,1749239999999,1712.65447000,16,34.54300000,1197.55557000,0
2025-06-06 20:00:00,34.42,35.36,33.61,33.61,183.26500000,1749254399999,6269.79702000,27,107.89700000,3690.15702000,0
2025-06-07 00:00:00,33.68,34.51,33.2,34.46,40.08000000,1749268799999,1340.00423000,16,10.71600000,363.78029000,0
2025-06-07 04:00:00,33.61,34.59,32.24,34.59,28.45400000,1749283199999,941.37546000,3,0.17300000,5.98407000,0
2025-06-07 08:00:00,34.02,35.66,34.02,34.34,59.16500000,1749297599999,2039.28809000,7,59.16500000,2039.28809000,0
2025-06-07 12:00:00,33.8,35.31,33.75,34.53,82.41500000,1749311999999,2859.79330000,52,66.47500000,2319.40714000,0
2025-06-07 16:00:00,36.59,36.59,34.13,34.78,25.73900000,1749326399999,906.27969000,14,25.60500000,901.70627000,0
2025-06-07 20:00:00,34.78,34.95,34.09,34.15,2.10100000,1749340799999,72.51010000,4,0.42900000,14.99355000,0
2025-06-08 00:00:00,35.0,35.55,34.9,35.53,98.95000000,1749355199999,3494.32416000,12,55.01300000,1945.10554000,0
2025-06-08 04:00:00,35.59,35.71,35.47,35.47,15.82900000,1749369599999,565.01431000,3,15.82900000,565.01431000,0
2025-06-08 08:00:00,35.09,35.67,34.99,34.99,1.23200000,1749383999999,43.47539000,5,0.46900000,16.72202000,0
2025-06-08 12:00:00,35.5,45.0,35.1,35.53,296.54600000,1749398399999,10619.28806000,29,65.99000000,2438.52486000,0
2025-06-08 16:00:00,35.66,44.98,35.62,35.62,48.76200000,1749412799999,1981.25392000,12,36.45300000,1542.80734000,0
2025-06-08 20:00:00,36.36,41.0,35.49,36.25,19.09100000,1749427199999,731.49476000,14,18.31400000,703.91189000,0
2025-06-09 00:00:00,36.25,36.25,36.25,36.25,0.00000000,1749441599999,0.00000000,0,0.00000000,0.00000000,0
2025-06-09 04:00:00,36.5,36.5,36.25,36.25,253.74200000,1749455999999,9260.13525000,6,0.00000000,0.00000000,0
2025-06-09 08:00:00,36.32,40.98,36.32,40.98,36.54000000,1749470399999,1492.28624000,10,35.92700000,1470.02208000,0
2025-06-09 12:00:00,40.98,40.98,36.25,40.98,257.76900000,1749484799999,10040.98977000,113,93.24000000,3788.22501000,0
2025-06-09 16:00:00,40.98,43.0,37.5,37.5,36.31600000,1749499199999,1482.49181000,14,34.88900000,1428.97931000,0
2025-06-09 20:00:00,39.44,50.0,37.62,47.0,203.09500000,1749513599999,9332.50281000,50,160.47400000,7655.47334000,0
2025-06-10 00:00:00,47.0,47.0,38.7,39.24,40.92600000,1749527999999,1897.46364000,30,37.60700000,1766.48064000,0
2025-06-10 04:00:00,39.3,46.96,38.32,39.24,793.62000000,1749542399999,30771.12964000,153,583.20300000,22471.73655000,0
2025-06-10 08:00:00,39.55,41.79,39.55,41.5,1004.01800000,1749556799999,40584.92237000,216,120.47000000,4891.00502000,0
2025-06-10 12:00:00,41.71,46.96,39.62,40.17,211.24500000,1749571199999,8764.37006000,47,126.38100000,5209.99042000,0
2025-06-10 16:00:00,40.45,48.88,39.9,48.88,1055.60300000,1749585599999,44810.10710000,111,103.85800000,4297.27423000,0
2025-06-10 20:00:00,44.7,47.49,41.2,47.49,194.34800000,1749599999999,8885.74687000,79,63.21900000,2940.79935000,0
2025-06-11 00:00:00,47.49,47.49,41.05,44.09,60.66600000,1749614399999,2659.45199000,97,12.91200000,596.81403000,0
2025-06-11 04:00:00,44.09,47.43,41.77,44.09,179.18900000,1749628799999,7770.54170000,96,144.74300000,6287.48939000,0
2025-06-11 08:00:00,44.09,47.99,41.02,41.02,981.78900000,1749643199999,41939.48442000,112,144.73900000,6726.93779000,0
2025-06-11 12:00:00,41.36,47.49,41.36,43.87,396.55600000,1749657599999,17420.21655000,106,370.21000000,16250.10491000,0
2025-06-11 16:00:00,43.79,43.79,42.43,42.56,1108.80500000,1749671999999,47947.86952000,116,386.35400000,16654.00998000,0
2025-06-11 20:00:00,42.27,42.63,41.16,41.98,908.12700000,1749686399999,38221.79995000,138,859.00700000,36165.21771000,0
