ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17,0.179,0.1922,0.179,0.1829,6440.65000000,1773791999999,1182.72502900,17,477.49000000,91.38434700,0
2026-03-18,0.1792,0.1792,0.1697,0.1697,5835.26000000,1773878399999,1003.27194900,15,928.07000000,158.10554300,0
2026-03-19,0.1735,0.1735,0.1495,0.15,1525.75000000,1773964799999,229.09891400,15,5.37000000,0.93169500,0
2026-03-20,0.1635,0.1666,0.1595,0.1598,812.90000000,1774051199999,133.04430800,6,21.13000000,3.45475500,0
2026-03-21,0.1663,0.1663,0.147,0.147,2764.15000000,1774137599999,439.04072500,9,1448.15000000,240.65572900,0
2026-03-22,0.1514,0.1671,0.1512,0.1576,1303.23000000,1774223999999,206.54640400,7,801.56000000,130.60680100,0
2026-03-23,0.1576,0.1576,0.1576,0.1576,0.00000000,1774310399999,0.00000000,0,0.00000000,0.00000000,0
2026-03-24,0.1641,0.1743,0.1475,0.1492,1311.54000000,1774396799999,200.16600300,13,333.37000000,52.33185300,0
2026-03-25,0.1481,0.157,0.1481,0.1569,240.23000000,1774483199999,36.71280200,3,128.50000000,20.16558900,0
2026-03-26,0.1569,0.1569,0.147,0.147,4733.53000000,1774569599999,708.92901100,8,1272.91000000,199.71957900,0
2026-03-27,0.1503,0.1632,0.1432,0.1432,6668.57000000,1774655999999,1012.89380900,24,2481.09000000,383.58320300,0
2026-03-28,0.1424,0.1428,0.05,0.05,2317.30000000,1774742399999,183.19883600,41,0.00000000,0.00000000,0
2026-03-29,0.0974,0.1435,0.0974,0.1413,1080.82000000,1774828799999,143.26270300,40,665.32000000,85.38387200,0
2026-03-30,0.1435,0.1512,0.1403,0.1404,2230.08000000,1774915199999,321.19845500,16,1411.47000000,205.25330700,0
2026-03-31,0.1403,0.1429,0.1342,0.1345,1001.57000000,1775001599999,136.44295100,13,112.36000000,16.02070800,0
2026-04-01,0.1392,0.1451,0.1392,0.1436,1050.45000000,1775087999999,151.49875400,11,1020.14000000,147.22168500,0
2026-04-02,0.1437,0.145,0.1301,0.1301,750.88000000,1775174399999,102.90746800,14,252.21000000,36.26641300,0
2026-04-03,0.1349,0.1365,0.1349,0.1365,146.20000000,1775260799999,19.92076400,2,146.20000000,19.92076400,0
2026-04-04,0.1365,0.1365,0.1365,0.1365,0.00000000,1775347199999,0.00000000,0,0.00000000,0.00000000,0
2026-04-05,0.1367,0.1395,0.134,0.134,5940.75000000,1775433599999,825.98197300,14,937.72000000,128.51606600,0
2026-04-06,0.137,0.1427,0.1345,0.1345,404.19000000,1775519999999,56.03050000,9,214.00000000,30.27281800,0
2026-04-07,0.1345,0.145,0.1345,0.145,1677.57000000,1775606399999,239.31281700,10,1654.95000000,236.23423500,0
2026-04-08,0.1403,0.1405,0.1403,0.1405,97.30000000,1775692799999,13.66689200,2,0.00000000,0.00000000,0
2026-04-09,0.1403,0.1457,0.1398,0.1457,53.99000000,1775779199999,7.76293800,4,44.42000000,6.42313200,0
2026-04-10,0.148,0.148,0.1435,0.148,112.68000000,1775865599999,16.40957400,5,54.38000000,8.01636800,0
2026-04-11,0.148,0.148,0.148,0.148,0.00000000,1775951999999,0.00000000,0,0.00000000,0.00000000,0
2026-04-12,0.1447,0.1447,0.1403,0.1403,270.19000000,1776038399999,38.05692700,4,202.33000000,28.38689900,0
2026-04-13,0.1435,0.1877,0.1403,0.1478,8311.97000000,1776124799999,1242.48677200,27,6959.45000000,1043.06559100,0
2026-04-14,0.1526,0.153,0.1469,0.1469,503.89000000,1776211199999,75.88989800,9,435.95000000,65.85727900,0
2026-04-15,0.1502,0.1665,0.1472,0.1665,435.09000000,1776297599999,66.09345800,11,403.54000000,61.39957800,0
2026-04-16,0.1669,0.1845,0.1518,0.1845,3722.86000000,1776383999999,575.21996800,21,354.71000000,58.06807500,0
2026-04-17,0.1625,0.1762,0.1625,0.1743,1674.72000000,1776470399999,283.23491700,16,1041.01000000,179.84706600,0
2026-04-18,0.1743,0.1743,0.1743,0.1743,0.00000000,1776556799999,0.00000000,0,0.00000000,0.00000000,0
2026-04-19,0.1743,0.1743,0.1743,0.1743,0.00000000,1776643199999,0.00000000,0,0.00000000,0.00000000,0
2026-04-20,0.1743,0.1743,0.1743,0.1743,0.00000000,1776729599999,0.00000000,0,0.00000000,0.00000000,0
