ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-04-24,0.006256,0.006256,0.00389,0.004489,304093.00000000,1777075199999,1464.27608200,35,235519.00000000,1137.02535800,0
2026-04-25,0.004531,0.004541,0.004209,0.004209,22095.00000000,1777161599999,97.22208300,7,19175.00000000,84.53906300,0
2026-04-26,0.004294,0.004294,0.004246,0.004246,23522.00000000,1777247999999,100.99209200,2,23285.00000000,99.98579000,0
2026-04-27,0.003957,0.003975,0.003685,0.003685,34073.00000000,1777334399999,133.40605700,4,24018.00000000,95.05186200,0
2026-04-28,0.003637,0.004381,0.003564,0.004381,64614.00000000,1777420799999,253.00228400,16,62643.00000000,244.84599300,0
2026-04-29,0.004381,0.004456,0.003719,0.003719,42433.00000000,1777507199999,167.30594100,12,39447.00000000,154.64491500,0
2026-04-30,0.003743,0.003999,0.003005,0.003973,124644.00000000,1777593599999,464.09035700,13,99777.00000000,373.03241300,0
2026-05-01,0.003999,0.004283,0.003879,0.003879,33647.00000000,1777679999999,135.05471900,12,32457.00000000,130.22807900,0
2026-05-02,0.00394,0.004369,0.003841,0.004369,33238.00000000,1777766399999,132.05201900,10,15856.00000000,64.30234500,0
2026-05-03,0.004396,0.004396,0.004396,0.004396,3412.00000000,1777852799999,14.99915200,1,3412.00000000,14.99915200,0
2026-05-04,0.004237,0.004281,0.004014,0.00408,34431.00000000,1777939199999,144.03158000,13,27000.00000000,113.91752200,0
2026-05-05,0.004098,0.004575,0.004073,0.004575,67978.00000000,1778025599999,284.95723700,20,51315.00000000,213.26337400,0
2026-05-06,0.004525,0.005044,0.004523,0.004869,59122.00000000,1778111999999,281.07303700,25,12946.00000000,60.45955400,0
2026-05-07,0.004775,0.005297,0.004711,0.005136,38119.00000000,1778198399999,190.60564000,15,31589.00000000,157.26360600,0
2026-05-08,0.004814,0.005292,0.004647,0.005183,78110.00000000,1778284799999,389.74537700,41,55336.00000000,275.01004400,0
2026-05-09,0.005335,0.005672,0.005335,0.005374,27571.00000000,1778371199999,149.85943600,11,13391.00000000,73.70770000,0
2026-05-10,0.005831,0.007329,0.005405,0.007329,393310.00000000,1778457599999,2603.56621200,22,390466.00000000,2584.99033400,0
2026-05-11,0.007029,0.007208,0.00678,0.007191,95333.00000000,1778543999999,657.84104900,17,52571.00000000,366.84475800,0
2026-05-12,0.007167,0.007167,0.006218,0.006272,44425.00000000,1778630399999,294.51669800,17,37100.00000000,243.02133200,0
2026-05-13,0.006465,0.006465,0.005988,0.005988,300641.00000000,1778716799999,1815.26599400,15,18712.00000000,115.14758000,0
2026-05-14,0.005995,0.006046,0.005724,0.006046,75682.00000000,1778803199999,450.33810200,12,24054.00000000,140.32948100,0
2026-05-15,0.005646,0.005646,0.005432,0.005434,6987.00000000,1778889599999,38.13428600,4,5493.00000000,29.84896200,0
2026-05-16,0.005434,0.005434,0.005434,0.005434,0.00000000,1778975999999,0.00000000,0,0.00000000,0.00000000,0
2026-05-17,0.005434,0.005434,0.005434,0.005434,548.00000000,1779062399999,2.97783200,1,0.00000000,0.00000000,0
2026-05-18,0.005434,0.005434,0.004665,0.004667,6408.00000000,1779148799999,32.43832500,5,2709.00000000,12.64175900,0
2026-05-19,0.004846,0.004846,0.004846,0.004846,572.00000000,1779235199999,2.77191200,1,0.00000000,0.00000000,0
2026-05-20,0.004451,0.004451,0.004451,0.004451,1122.00000000,1779321599999,4.99402200,1,1122.00000000,4.99402200,0
2026-05-21,0.004943,0.004943,0.004943,0.004943,562.00000000,1779407999999,2.77796600,1,0.00000000,0.00000000,0
2026-05-22,0.005,0.005,0.004849,0.004878,44420.00000000,1779494399999,216.58815100,8,43720.00000000,213.08815100,0
2026-05-23,0.004737,0.005289,0.004416,0.004873,1505893.00000000,1779580799999,7297.40056800,38,236978.00000000,1142.51566000,0
2026-05-24,0.004783,0.004783,0.00468,0.004727,6855.00000000,1779667199999,32.43281700,5,5687.00000000,26.94864600,0
2026-05-25,0.004718,0.004872,0.004683,0.004787,12495.00000000,1779753599999,59.32289100,5,4827.00000000,23.22892200,0
2026-05-26,0.004773,0.004943,0.004584,0.004623,55852.00000000,1779839999999,266.73452200,17,28287.00000000,133.63036700,0
2026-05-27,0.004653,0.004653,0.004474,0.004474,17771.00000000,1779926399999,81.41880300,3,17771.00000000,81.41880300,0
2026-05-28,0.004321,0.004321,0.004048,0.004216,171988.00000000,1780012799999,714.19511500,19,112395.00000000,466.02627500,0
2026-05-29,0.004092,0.004092,0.004,0.004058,2034.00000000,1780099199999,8.23684600,4,861.00000000,3.52321200,0
2026-05-30,0.004058,0.004058,0.004058,0.004058,0.00000000,1780185599999,0.00000000,0,0.00000000,0.00000000,0
2026-05-31,0.004018,0.004018,0.00382,0.003828,69532.00000000,1780271999999,274.24903900,13,42305.00000000,168.89527400,0
2026-06-01,0.003828,0.003854,0.003514,0.003514,77726.00000000,1780358399999,293.87400000,9,16702.00000000,63.98292800,0
2026-06-02,0.003662,0.003662,0.003654,0.003659,23270.00000000,1780444799999,85.13921300,4,0.00000000,0.00000000,0
2026-06-03,0.003659,0.003659,0.003483,0.003483,22607.00000000,1780531199999,79.98840200,5,8409.00000000,29.93604000,0
2026-06-04,0.003228,0.003228,0.00321,0.00321,1761.00000000,1780617599999,5.66830800,3,0.00000000,0.00000000,0
2026-06-05,0.003051,0.00313,0.003,0.003084,415311.00000000,1780703999999,1259.50536800,25,313681.00000000,949.64215700,0
2026-06-06,0.003253,0.003279,0.003189,0.003189,32723.00000000,1780790399999,104.47105200,4,337.00000000,1.10502300,0
2026-06-07,0.003398,0.0036,0.003398,0.00347,7713.00000000,1780876799999,26.83333900,5,7085.00000000,24.65487200,0
2026-06-08,0.003541,0.003663,0.003541,0.003609,1691.00000000,1780963199999,6.11246100,3,817.00000000,2.99267100,0
2026-06-09,0.003609,0.003609,0.003609,0.003609,0.00000000,1781049599999,0.00000000,0,0.00000000,0.00000000,0
2026-06-10,0.003583,0.003583,0.003583,0.003583,3577.00000000,1781135999999,12.81639100,1,3577.00000000,12.81639100,0
2026-06-11,0.003583,0.003583,0.003583,0.003583,0.00000000,1781222399999,0.00000000,0,0.00000000,0.00000000,0
2026-06-12,0.003583,0.003583,0.003583,0.003583,0.00000000,1781308799999,0.00000000,0,0.00000000,0.00000000,0
2026-06-13,0.004043,0.004059,0.003915,0.003915,100212.00000000,1781395199999,403.99447700,13,86460.00000000,350.09500600,0
2026-06-14,0.00398,0.00398,0.00398,0.00398,75910.00000000,1781481599999,302.12180000,1,75910.00000000,302.12180000,0
2026-06-15,0.00398,0.00398,0.00398,0.00398,0.00000000,1781567999999,0.00000000,0,0.00000000,0.00000000,0
2026-06-16,0.004221,0.004221,0.004207,0.004207,4640.00000000,1781654399999,19.55227400,2,0.00000000,0.00000000,0
2026-06-17,0.004232,0.004234,0.004132,0.004132,124959.00000000,1781740799999,528.43778000,19,1134.00000000,4.68568800,0
2026-06-18,0.004068,0.004073,0.003671,0.003683,155212.00000000,1781827199999,599.01789600,14,77320.00000000,283.87224800,0
2026-06-19,0.003683,0.003683,0.003683,0.003683,0.00000000,1781913599999,0.00000000,0,0.00000000,0.00000000,0
2026-06-20,0.003625,0.003625,0.003588,0.003588,14291.00000000,1781999999999,51.58169100,2,8259.00000000,29.93887500,0
2026-06-21,0.003623,0.003623,0.003571,0.003618,548805.00000000,1782086399999,1970.31085400,4,0.00000000,0.00000000,0
2026-06-22,0.003673,0.003673,0.003673,0.003673,29365.00000000,1782172799999,107.85764500,1,0.00000000,0.00000000,0
2026-06-23,0.003619,0.003619,0.003619,0.003619,2749.00000000,1782259199999,9.94863100,1,2749.00000000,9.94863100,0
2026-06-24,0.0036,0.0036,0.003432,0.003435,32635.00000000,1782345599999,112.22781500,6,0.00000000,0.00000000,0
2026-06-25,0.003435,0.003435,0.003435,0.003435,0.00000000,1782431999999,0.00000000,0,0.00000000,0.00000000,0
2026-06-26,0.00356,0.00356,0.00356,0.00356,1090.00000000,1782518399999,3.88040000,1,0.00000000,0.00000000,0
2026-06-27,0.003709,0.003709,0.003709,0.003709,2945.00000000,1782604799999,10.92300500,1,2945.00000000,10.92300500,0
2026-06-28,0.003709,0.003709,0.003709,0.003709,0.00000000,1782691199999,0.00000000,0,0.00000000,0.00000000,0
2026-06-29,0.003709,0.003709,0.003709,0.003709,0.00000000,1782777599999,0.00000000,0,0.00000000,0.00000000,0
2026-06-30,0.003709,0.003709,0.003709,0.003709,0.00000000,1782863999999,0.00000000,0,0.00000000,0.00000000,0
2026-07-01,0.003702,0.003702,0.003702,0.003702,2695.00000000,1782950399999,9.97689000,1,2695.00000000,9.97689000,0
2026-07-02,0.003702,0.003702,0.003702,0.003702,0.00000000,1783036799999,0.00000000,0,0.00000000,0.00000000,0
2026-07-03,0.003702,0.003702,0.003702,0.003702,0.00000000,1783123199999,0.00000000,0,0.00000000,0.00000000,0
2026-07-04,0.004512,0.004512,0.004512,0.004512,1227.00000000,1783209599999,5.53622400,1,1227.00000000,5.53622400,0
2026-07-05,0.004512,0.004512,0.004512,0.004512,0.00000000,1783295999999,0.00000000,0,0.00000000,0.00000000,0
2026-07-06,0.004257,0.004257,0.004257,0.004257,7050.00000000,1783382399999,30.01185000,1,7050.00000000,30.01185000,0
2026-07-07,0.004257,0.004257,0.004257,0.004257,0.00000000,1783468799999,0.00000000,0,0.00000000,0.00000000,0
2026-07-08,0.003724,0.003724,0.003663,0.003665,12853.00000000,1783555199999,47.38204700,3,4878.00000000,18.16567200,0
2026-07-09,0.003773,0.003773,0.003773,0.003773,371.00000000,1783641599999,1.39978300,1,0.00000000,0.00000000,0
2026-07-10,0.003773,0.003773,0.003773,0.003773,0.00000000,1783727999999,0.00000000,0,0.00000000,0.00000000,0
2026-07-11,0.003773,0.003773,0.003773,0.003773,0.00000000,1783814399999,0.00000000,0,0.00000000,0.00000000,0
2026-07-12,0.003773,0.003773,0.003773,0.003773,0.00000000,1783900799999,0.00000000,0,0.00000000,0.00000000,0
2026-07-13,0.003773,0.003773,0.003773,0.003773,0.00000000,1783987199999,0.00000000,0,0.00000000,0.00000000,0
2026-07-14,0.003875,0.003875,0.003875,0.003875,1962.00000000,1784073599999,7.60275000,1,0.00000000,0.00000000,0
2026-07-15,0.003875,0.003875,0.003875,0.003875,12903.00000000,1784159999999,49.99912500,1,0.00000000,0.00000000,0
2026-07-16,0.003211,0.003211,0.003211,0.003211,3408.00000000,1784246399999,10.94308800,1,0.00000000,0.00000000,0
2026-07-17,0.003211,0.003211,0.003211,0.003211,0.00000000,1784332799999,0.00000000,0,0.00000000,0.00000000,0
2026-07-18,0.003538,0.003538,0.003538,0.003538,7266.00000000,1784419199999,25.70710800,1,0.00000000,0.00000000,0
2026-07-19,0.003538,0.003538,0.003538,0.003538,0.00000000,1784505599999,0.00000000,0,0.00000000,0.00000000,0
2026-07-20,0.003652,0.003653,0.003608,0.003608,13196.00000000,1784591999999,47.97658000,3,8196.00000000,29.93658000,0
2026-07-21,0.003608,0.003608,0.003608,0.003608,0.00000000,1784678399999,0.00000000,0,0.00000000,0.00000000,0
2026-07-22,0.003608,0.003608,0.003608,0.003608,0.00000000,1784764799999,0.00000000,0,0.00000000,0.00000000,0
2026-07-23,0.003707,0.003707,0.003707,0.003707,281.00000000,1784851199999,1.04166700,1,0.00000000,0.00000000,0
2026-07-24,0.003545,0.003545,0.003545,0.003545,844.00000000,1784937599999,2.99198000,1,844.00000000,2.99198000,0
2026-07-25,0.003545,0.003545,0.003545,0.003545,0.00000000,1785023999999,0.00000000,0,0.00000000,0.00000000,0
2026-07-26,0.003545,0.003545,0.003545,0.003545,0.00000000,1785110399999,0.00000000,0,0.00000000,0.00000000,0
2026-07-27,0.003545,0.003545,0.003545,0.003545,0.00000000,1785196799999,0.00000000,0,0.00000000,0.00000000,0
2026-07-28,0.003545,0.003545,0.003545,0.003545,0.00000000,1785283199999,0.00000000,0,0.00000000,0.00000000,0
2026-07-29,0.003545,0.003545,0.003545,0.003545,0.00000000,1785369599999,0.00000000,0,0.00000000,0.00000000,0
2026-07-30,0.003545,0.003545,0.003545,0.003545,0.00000000,1785455999999,0.00000000,0,0.00000000,0.00000000,0
