ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2024-09-11 16:00:00,11.401,11.659,11.401,11.565,130.07000000,1726084799999,1508.50636000,27,110.81000000,1285.78239000,0
2024-09-11 20:00:00,11.629,11.642,11.507,11.507,20.83000000,1726099199999,241.71474000,7,14.84000000,172.76336000,0
2024-09-12 00:00:00,11.561,11.998,11.561,11.998,77.86000000,1726113599999,924.39091000,62,69.74000000,828.42371000,0
2024-09-12 04:00:00,12.006,12.124,11.997,12.071,65.59000000,1726127999999,792.46547000,29,46.60000000,563.97039000,0
2024-09-12 08:00:00,12.069,12.069,11.892,11.933,32.07000000,1726142399999,383.48971000,20,7.89000000,94.48580000,0
2024-09-12 12:00:00,11.933,11.933,11.644,11.843,134.03000000,1726156799999,1587.31110000,52,113.02000000,1340.50441000,0
2024-09-12 16:00:00,11.902,12.792,11.902,12.484,166.04000000,1726171199999,2043.90394000,109,113.84000000,1399.88212000,0
2024-09-12 20:00:00,12.475,12.51,12.358,12.503,55.04000000,1726185599999,684.03447000,29,11.35000000,141.25811000,0
2024-09-13 00:00:00,12.503,12.645,12.503,12.573,9.55000000,1726199999999,119.93170000,19,6.88000000,86.50912000,0
2024-09-13 04:00:00,12.571,12.671,12.484,12.484,36.26000000,1726214399999,455.79010000,27,26.40000000,332.36079000,0
2024-09-13 08:00:00,12.539,12.567,12.199,12.199,84.83000000,1726228799999,1045.76800000,34,3.09000000,38.40291000,0
2024-09-13 12:00:00,12.198,12.608,12.17,12.608,119.83000000,1726243199999,1485.98630000,36,102.15000000,1270.19602000,0
2024-09-13 16:00:00,12.608,12.966,12.576,12.86,472.88000000,1726257599999,5986.57912000,68,359.09000000,4538.26096000,0
2024-09-13 20:00:00,12.861,13.05,12.76,12.76,396.00000000,1726271999999,5126.28600000,59,208.37000000,2712.07495000,0
2024-09-14 00:00:00,12.759,12.977,12.732,12.958,55.89000000,1726286399999,719.85630000,25,44.38000000,572.93106000,0
