ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2024-09-11 20:00:00,0.2667,0.2667,0.2664,0.2667,1932.00000000,1726099199999,515.20890000,5,0.00000000,0.00000000,0
2024-09-12 00:00:00,0.2697,0.2701,0.2692,0.2701,1689.00000000,1726113599999,455.59020000,8,1348.00000000,363.57700000,0
2024-09-12 04:00:00,0.2709,0.2714,0.2709,0.2714,669.00000000,1726127999999,181.51610000,2,568.00000000,154.15520000,0
2024-09-12 08:00:00,0.2718,0.2719,0.2714,0.2719,463.00000000,1726142399999,125.68860000,3,46.00000000,12.50280000,0
2024-09-12 12:00:00,0.2724,0.2751,0.2702,0.2702,780.00000000,1726156799999,212.83180000,14,501.00000000,137.26300000,0
2024-09-12 16:00:00,0.2726,0.2738,0.2726,0.2738,958.00000000,1726171199999,261.88640000,3,0.00000000,0.00000000,0
2024-09-12 20:00:00,0.2738,0.276,0.2734,0.276,3150.00000000,1726185599999,867.79630000,34,3114.00000000,857.94580000,0
2024-09-13 00:00:00,0.2765,0.2773,0.2742,0.2742,6227.00000000,1726199999999,1716.68150000,77,3675.00000000,1016.26010000,0
2024-09-13 04:00:00,0.2738,0.275,0.2738,0.2739,753.00000000,1726214399999,207.03830000,3,721.00000000,198.27500000,0
2024-09-13 08:00:00,0.2761,0.2785,0.2761,0.2785,469.00000000,1726228799999,130.06270000,4,239.00000000,66.51870000,0
2024-09-13 12:00:00,0.2759,0.2802,0.2744,0.2802,673.00000000,1726243199999,187.65990000,10,667.00000000,186.00930000,0
2024-09-13 16:00:00,0.281,0.2817,0.2785,0.2787,2648.00000000,1726257599999,742.47530000,14,1848.00000000,519.30810000,0
2024-09-13 20:00:00,0.2792,0.281,0.2792,0.2798,585.00000000,1726271999999,163.79660000,5,182.00000000,51.05100000,0
2024-09-14 00:00:00,0.2794,0.2803,0.2789,0.2798,324.00000000,1726286399999,90.60220000,6,0.00000000,0.00000000,0
2024-09-14 04:00:00,0.2792,0.2792,0.2763,0.2768,2873.00000000,1726300799999,795.44290000,6,2530.00000000,699.94200000,0
2024-09-14 08:00:00,0.2739,0.2739,0.2717,0.2717,2175.00000000,1726315199999,592.18740000,7,9.00000000,2.46420000,0
2024-09-14 12:00:00,0.2731,0.2731,0.2731,0.2731,8.00000000,1726329599999,2.18480000,1,0.00000000,0.00000000,0
