ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,8.399e-05,8.399e-05,8.399e-05,8.399e-05,0.00,1773705599999,0.00000000,0,0.00,0.00000000,0
2026-03-17,8.399e-05,8.399e-05,8.399e-05,8.399e-05,0.00,1773791999999,0.00000000,0,0.00,0.00000000,0
2026-03-18,8.399e-05,8.399e-05,8.399e-05,8.399e-05,0.00,1773878399999,0.00000000,0,0.00,0.00000000,0
2026-03-19,9.899e-05,9.899e-05,9.899e-05,9.899e-05,363235.00,1773964799999,35.95663265,2,363235.00,35.95663265,0
2026-03-20,9.899e-05,9.899e-05,9.899e-05,9.899e-05,201035.00,1774051199999,19.90045465,1,201035.00,19.90045465,0
2026-03-21,6.5e-05,6.5e-05,6.5e-05,6.5e-05,73433.00,1774137599999,4.77314500,1,0.00,0.00000000,0
2026-03-22,6.5e-05,6.5e-05,6.5e-05,6.5e-05,291968.00,1774223999999,18.97792000,1,0.00,0.00000000,0
2026-03-23,6.03e-05,6.193e-05,6e-05,6.193e-05,649366.00,1774310399999,39.23139216,7,82788.00,5.12706084,0
2026-03-24,6.255e-05,6.255e-05,6.255e-05,6.255e-05,1342273.00,1774396799999,83.95917615,2,0.00,0.00000000,0
2026-03-25,6.255e-05,6.255e-05,6.255e-05,6.255e-05,1336903.00,1774483199999,83.62328265,2,1336903.00,83.62328265,0
2026-03-26,6.065e-05,6.065e-05,6e-05,6e-05,414883.00,1774569599999,24.98349380,5,0.00,0.00000000,0
2026-03-27,5.763e-05,5.763e-05,5.763e-05,5.763e-05,69408.00,1774655999999,3.99998304,1,0.00,0.00000000,0
2026-03-28,5.763e-05,5.763e-05,5.763e-05,5.763e-05,0.00,1774742399999,0.00000000,0,0.00,0.00000000,0
2026-03-29,5.432e-05,5.432e-05,5.432e-05,5.432e-05,70000.00,1774828799999,3.80240000,2,0.00,0.00000000,0
2026-03-30,5.432e-05,5.432e-05,5.432e-05,5.432e-05,0.00,1774915199999,0.00000000,0,0.00,0.00000000,0
2026-03-31,5.432e-05,5.432e-05,5.432e-05,5.432e-05,0.00,1775001599999,0.00000000,0,0.00,0.00000000,0
2026-04-01,5.432e-05,5.432e-05,5.432e-05,5.432e-05,0.00,1775087999999,0.00000000,0,0.00,0.00000000,0
2026-04-02,5e-05,5e-05,5e-05,5e-05,453012.00,1775174399999,22.65060000,5,0.00,0.00000000,0
2026-04-03,5e-05,5e-05,5e-05,5e-05,0.00,1775260799999,0.00000000,0,0.00,0.00000000,0
2026-04-04,5e-05,5e-05,5e-05,5e-05,0.00,1775347199999,0.00000000,0,0.00,0.00000000,0
2026-04-05,5e-05,5e-05,5e-05,5e-05,0.00,1775433599999,0.00000000,0,0.00,0.00000000,0
2026-04-06,5e-05,5e-05,5e-05,5e-05,0.00,1775519999999,0.00000000,0,0.00,0.00000000,0
2026-04-07,5e-05,5e-05,5e-05,5e-05,0.00,1775606399999,0.00000000,0,0.00,0.00000000,0
2026-04-08,7.695e-05,7.695e-05,6e-05,6e-05,17485028.00,1775692799999,1342.79429696,10,2237879.00,172.09942791,0
2026-04-09,6e-05,6e-05,6e-05,6e-05,0.00,1775779199999,0.00000000,0,0.00,0.00000000,0
2026-04-10,7.569e-05,7.569e-05,5e-05,7.422e-05,7052568.00,1775865599999,434.61052719,10,4707105.00,317.33737719,0
2026-04-11,7.422e-05,7.422e-05,7.422e-05,7.422e-05,231076.00,1775951999999,17.15046072,3,231076.00,17.15046072,0
2026-04-12,7.422e-05,7.422e-05,7.422e-05,7.422e-05,26947.00,1776038399999,2.00000634,1,26947.00,2.00000634,0
2026-04-13,7.401e-05,7.401e-05,7.401e-05,7.401e-05,612080.00,1776124799999,45.30004080,3,612080.00,45.30004080,0
2026-04-14,7.401e-05,7.401e-05,7.401e-05,7.401e-05,0.00,1776211199999,0.00000000,0,0.00,0.00000000,0
2026-04-15,7.399e-05,9.111e-05,6.6e-05,9.111e-05,8148611.00,1776297599999,637.11181955,18,8147596.00,637.03559305,0
2026-04-16,9.111e-05,0.00015,9e-05,0.00015,12215998.00,1776383999999,1463.13578652,39,12001854.00,1442.06393422,0
2026-04-17,0.00015,0.00015,0.0001,0.000141,3979950.00,1776470399999,480.81808330,16,1759690.00,258.79208330,0
2026-04-18,0.00010005,0.00010005,7.006e-05,7.006e-05,10039851.00,1776556799999,905.07411160,21,971519.00,97.17175063,0
2026-04-19,7.006e-05,8.432e-05,7.006e-05,7.006e-05,1156805.00,1776643199999,84.28499994,8,263122.00,21.67356896,0
2026-04-20,7.222e-05,9.999e-05,7.222e-05,9.898e-05,2958716.00,1776729599999,264.52178432,5,1834535.00,183.33343250,0
2026-04-21,9.87e-05,9.87e-05,9.87e-05,9.87e-05,98680.00,1776815999999,9.73971600,1,98680.00,9.73971600,0
2026-04-22,9.87e-05,0.00012999,9.5e-05,9.5e-05,16843360.00,1776902399999,1752.75864449,15,15264579.00,1602.75866168,0
2026-04-23,9.3e-05,9.97e-05,9.3e-05,9.97e-05,1055212.00,1776988799999,104.81018730,5,996339.00,99.33499830,0
2026-04-24,9.97e-05,9.97e-05,9.97e-05,9.97e-05,0.00,1777075199999,0.00000000,0,0.00,0.00000000,0
2026-04-25,9.97e-05,9.97e-05,9.97e-05,9.97e-05,209581.00,1777161599999,20.89522570,1,209581.00,20.89522570,0
2026-04-26,9.97e-05,9.97e-05,9.97e-05,9.97e-05,0.00,1777247999999,0.00000000,0,0.00,0.00000000,0
2026-04-27,9.97e-05,0.00011369,9.97e-05,0.00011369,962761.00,1777334399999,96.19001478,3,387353.00,38.82183718,0
2026-04-28,9.999e-05,9.999e-05,9.999e-05,9.999e-05,9674.00,1777420799999,0.96730326,1,9674.00,0.96730326,0
2026-04-29,9.99e-05,9.99e-05,9.989e-05,9.989e-05,149665.00,1777507199999,14.95053530,2,149665.00,14.95053530,0
2026-04-30,7.289e-05,9.989e-05,7.289e-05,8.797e-05,24045442.00,1777593599999,2311.28415371,22,4445516.00,435.72696601,0
2026-05-01,9.2e-05,9.955e-05,9.2e-05,9.955e-05,253728.00,1777679999999,24.92354585,4,253728.00,24.92354585,0
2026-05-02,8.797e-05,9.996e-05,8.797e-05,9.71e-05,4946389.00,1777766399999,484.43675420,10,4049338.00,400.86280575,0
2026-05-03,0.0001025,0.0001025,0.0001025,0.0001025,214815.00,1777852799999,22.01853750,4,214815.00,22.01853750,0
2026-05-04,0.0001025,0.0001025,0.0001025,0.0001025,48590.00,1777939199999,4.98047500,1,48590.00,4.98047500,0
2026-05-05,0.0001,0.0001025,0.0001,0.0001025,1949893.00,1778025599999,197.21676750,5,1949893.00,197.21676750,0
2026-05-06,0.0001025,0.0001025,0.0001025,0.0001025,0.00,1778111999999,0.00000000,0,0.00,0.00000000,0
2026-05-07,9e-05,9e-05,9e-05,9e-05,101237.00,1778198399999,9.11133000,2,0.00,0.00000000,0
2026-05-08,9e-05,9e-05,9e-05,9e-05,0.00,1778284799999,0.00000000,0,0.00,0.00000000,0
2026-05-09,9e-05,9e-05,9e-05,9e-05,29916952.00,1778371199999,2692.52568000,4,29323745.00,2639.13705000,0
