ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-07-23 08:00:00,99.9999,99.9999,1.074,1.074,425.40000000,1753271999999,486.69330000,6,32.40000000,64.60584000,0
2025-07-23 12:00:00,1.074,1.0741,1.0347,1.037,6813.80000000,1753286399999,7225.70492000,22,869.00000000,912.75865000,0
2025-07-23 16:00:00,1.0358,1.0358,1.0,1.0294,4659.60000000,1753300799999,4780.49483000,19,3040.10000000,3116.96250000,0
2025-07-23 20:00:00,1.0107,1.0414,1.0,1.0398,935.00000000,1753315199999,947.06453000,14,348.90000000,355.01980000,0
2025-07-24 00:00:00,1.0386,1.0422,1.0333,1.0333,1841.40000000,1753329599999,1913.05085000,14,1778.80000000,1848.36001000,0
2025-07-24 04:00:00,1.0135,1.0141,0.9599,0.9599,1582.50000000,1753343999999,1584.03137000,9,755.00000000,764.73998000,0
2025-07-24 08:00:00,1.0049,1.0049,0.9941,0.9941,558.60000000,1753358399999,558.84154000,4,22.00000000,22.06220000,0
2025-07-24 12:00:00,1.0554,1.0554,1.0554,1.0554,284.30000000,1753372799999,300.05022000,1,284.30000000,300.05022000,0
2025-07-24 16:00:00,1.04,1.0801,1.04,1.059,4251.30000000,1753387199999,4554.36594000,10,3150.30000000,3378.67568000,0
2025-07-24 20:00:00,1.0586,1.0586,1.0272,1.0272,1932.90000000,1753401599999,2003.70534000,7,1838.50000000,1906.73766000,0
2025-07-25 00:00:00,1.0174,1.0177,0.9941,1.0023,662.70000000,1753415999999,666.62564000,17,292.10000000,296.32157000,0
2025-07-25 04:00:00,0.9888,1.002,0.9888,1.002,95.50000000,1753430399999,94.50300000,2,95.50000000,94.50300000,0
2025-07-25 08:00:00,1.0117,1.0246,1.0117,1.0239,236.00000000,1753444799999,241.09001000,4,190.80000000,195.36117000,0
2025-07-25 12:00:00,1.0361,1.0361,1.0239,1.0277,504.40000000,1753459199999,518.03776000,5,407.50000000,418.82185000,0
2025-07-25 16:00:00,1.0085,1.0232,1.0071,1.0195,2117.10000000,1753473599999,2157.54144000,8,2117.10000000,2157.54144000,0
2025-07-25 20:00:00,1.0154,1.0334,1.0154,1.0334,433.00000000,1753487999999,445.43840000,4,249.10000000,255.39614000,0
2025-07-26 00:00:00,1.044,1.044,1.044,1.044,926.60000000,1753502399999,967.37040000,1,0.00000000,0.00000000,0
2025-07-26 04:00:00,1.0473,1.0473,1.0466,1.0466,41.00000000,1753516799999,42.92390000,2,41.00000000,42.92390000,0
