ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17,0.137,0.138,0.134,0.136,1972.80000000,1773791999999,267.90275000,21,822.47000000,112.04650000,0
2026-03-18,0.137,0.137,0.126,0.127,3087.58000000,1773878399999,399.77524000,39,607.33000000,79.08703000,0
2026-03-19,0.126,0.127,0.119,0.121,1217.04000000,1773964799999,147.75471000,31,648.31000000,78.81736000,0
2026-03-20,0.122,0.126,0.122,0.123,82698.15000000,1774051199999,10254.08999000,22,82262.07000000,10200.65677000,0
2026-03-21,0.123,0.124,0.117,0.117,1897.53000000,1774137599999,230.60543000,54,720.84000000,89.02269000,0
2026-03-22,0.117,0.119,0.113,0.115,12342.96000000,1774223999999,1441.85381000,57,8951.06000000,1046.16583000,0
2026-03-23,0.116,0.12,0.113,0.113,412760.39000000,1774310399999,48685.61122000,91,6291.38000000,733.69559000,0
2026-03-24,0.114,0.117,0.11,0.114,1009420.10000000,1774396799999,113856.63525000,178,92782.27000000,10356.62813000,0
2026-03-25,0.114,0.115,0.113,0.114,2655.70000000,1774483199999,301.81238000,16,1172.59000000,134.14535000,0
2026-03-26,0.113,0.113,0.105,0.109,72818.71000000,1774569599999,7951.47528000,89,26673.64000000,2958.37316000,0
2026-03-27,0.11,0.11,0.103,0.104,123558.90000000,1774655999999,13038.38309000,105,2246.93000000,236.56077000,0
2026-03-28,0.104,0.106,0.103,0.103,43342.94000000,1774742399999,4503.85224000,25,580.70000000,61.23833000,0
2026-03-29,0.102,0.104,0.1,0.102,23785.35000000,1774828799999,2404.89584000,51,895.82000000,92.29072000,0
2026-03-30,0.103,0.109,0.103,0.106,4175.42000000,1774915199999,445.37640000,44,3197.38000000,341.23559000,0
2026-03-31,0.106,0.113,0.106,0.111,5871.74000000,1775001599999,644.29207000,48,3284.24000000,362.55704000,0
2026-04-01,0.11,0.113,0.109,0.11,9031.40000000,1775087999999,998.73613000,29,3989.38000000,448.08195000,0
2026-04-02,0.111,0.111,0.104,0.106,2777.43000000,1775174399999,295.81678000,37,564.82000000,60.89527000,0
2026-04-03,0.107,0.111,0.107,0.11,2061.19000000,1775260799999,227.64083000,16,1904.49000000,210.40383000,0
2026-04-04,0.111,0.111,0.109,0.111,1543.96000000,1775347199999,170.25478000,17,1302.52000000,143.85947000,0
2026-04-05,0.11,0.11,0.106,0.11,1668.09000000,1775433599999,179.17886000,22,664.15000000,71.95384000,0
2026-04-06,0.111,0.114,0.109,0.109,6667.10000000,1775519999999,742.47672000,30,4773.63000000,534.34123000,0
2026-04-07,0.11,0.119,0.107,0.119,23680.15000000,1775606399999,2684.41955000,50,20711.01000000,2362.88342000,0
2026-04-08,0.118,0.12,0.114,0.115,2394.08000000,1775692799999,277.09017000,29,458.28000000,54.01990000,0
2026-04-09,0.114,0.116,0.112,0.114,89117.21000000,1775779199999,10246.57425000,39,3172.53000000,364.53318000,0
2026-04-10,0.115,0.116,0.114,0.115,6049.97000000,1775865599999,695.54789000,27,1911.46000000,219.96778000,0
2026-04-11,0.114,0.116,0.11,0.115,2150.15000000,1775951999999,241.43867000,24,536.02000000,60.86448000,0
2026-04-12,0.115,0.115,0.106,0.106,4617.86000000,1776038399999,502.98092000,41,1154.71000000,128.56783000,0
2026-04-13,0.107,0.117,0.105,0.116,58527.95000000,1776124799999,6355.37590000,71,20370.43000000,2195.43392000,0
2026-04-14,0.115,0.116,0.111,0.111,4359.09000000,1776211199999,497.77378000,33,2701.27000000,311.34029000,0
