ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,0.0981,0.1031,0.0957,0.1017,45124.30000000,1773705599999,4557.42460000,83,17255.40000000,1750.87023000,0
2026-03-17,0.1015,0.1015,0.0986,0.0996,79560.80000000,1773791999999,7878.40070000,45,6431.50000000,644.07095000,0
2026-03-18,0.1017,0.1018,0.0962,0.0969,20743.90000000,1773878399999,2031.21992000,72,12027.20000000,1178.01002000,0
2026-03-19,0.0969,0.0977,0.0949,0.0977,56567.10000000,1773964799999,5381.06677000,35,3104.90000000,297.20794000,0
2026-03-20,0.0961,0.1009,0.0959,0.0987,66886.60000000,1774051199999,6553.42203000,164,28188.30000000,2785.04566000,0
2026-03-21,0.0981,0.0997,0.0951,0.0951,40695.20000000,1774137599999,3921.75614000,152,10709.60000000,1033.62124000,0
2026-03-22,0.0931,0.0966,0.0923,0.0923,28666.30000000,1774223999999,2706.61771000,66,13838.30000000,1319.35079000,0
2026-03-23,0.0922,0.0969,0.0909,0.0965,27396.00000000,1774310399999,2576.78833000,50,17956.40000000,1685.87790000,0
2026-03-24,0.0958,0.096,0.0931,0.0942,16724.30000000,1774396799999,1586.55276000,26,5991.40000000,571.42410000,0
2026-03-25,0.0967,0.0986,0.0943,0.0975,21709.00000000,1774483199999,2112.59741000,26,5876.50000000,574.28097000,0
2026-03-26,0.0989,0.0989,0.0922,0.0959,15954.40000000,1774569599999,1511.24856000,18,10175.00000000,961.00432000,0
2026-03-27,0.0948,0.0969,0.09,0.0909,40959.80000000,1774655999999,3815.69420000,50,13541.60000000,1258.81836000,0
2026-03-28,0.0897,0.0939,0.0889,0.091,20989.60000000,1774742399999,1946.65844000,27,11441.90000000,1063.23649000,0
2026-03-29,0.0924,0.0937,0.0906,0.0914,16764.90000000,1774828799999,1532.22216000,32,7382.00000000,677.60020000,0
2026-03-30,0.091,0.0948,0.0906,0.0913,38580.80000000,1774915199999,3561.37814000,45,21322.40000000,1967.45280000,0
2026-03-31,0.0914,0.092,0.0883,0.0903,40382.70000000,1775001599999,3647.83459000,36,5787.80000000,524.07334000,0
2026-04-01,0.0902,0.095,0.0901,0.0933,53106.00000000,1775087999999,4950.21178000,45,22560.70000000,2112.22454000,0
2026-04-02,0.0924,0.0924,0.0901,0.0912,36721.40000000,1775174399999,3345.23512000,34,17309.20000000,1578.68556000,0
