ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-01-16 12:00:00,0.4778,0.491,0.4686,0.4788,28172.50000000,1737043199999,13479.66983000,36,28144.80000000,13466.65810000,0
2025-01-16 16:00:00,0.4765,0.484,0.4664,0.4788,6457.40000000,1737057599999,3100.44232000,24,4232.00000000,2034.87361000,0
2025-01-16 20:00:00,0.4772,0.4772,0.4662,0.4681,2495.60000000,1737071999999,1178.02765000,12,1580.90000000,750.90600000,0
2025-01-17 00:00:00,0.476,0.4892,0.4697,0.4811,30673.80000000,1737086399999,14631.98338000,44,16612.90000000,7951.38754000,0
2025-01-17 04:00:00,0.4815,0.498,0.4812,0.498,48564.10000000,1737100799999,23687.58611000,143,43022.10000000,21020.77571000,0
2025-01-17 08:00:00,0.4996,0.5128,0.4996,0.5125,8070.20000000,1737115199999,4070.02331000,30,7894.70000000,3980.23751000,0
2025-01-17 12:00:00,0.51,0.51,0.5019,0.502,5063.20000000,1737129599999,2563.81590000,27,720.30000000,364.98313000,0
2025-01-17 16:00:00,0.5038,0.5038,0.4957,0.5026,12436.20000000,1737143999999,6253.59913000,15,0.00000000,0.00000000,0
2025-01-17 20:00:00,0.5049,0.513,0.4965,0.5053,13550.50000000,1737158399999,6842.86952000,94,8961.10000000,4536.24868000,0
2025-01-18 00:00:00,0.5085,0.511,0.4932,0.4932,14897.60000000,1737172799999,7504.20640000,50,5971.90000000,3040.06158000,0
2025-01-18 04:00:00,0.5005,0.5005,0.4752,0.4752,4476.60000000,1737187199999,2171.43022000,41,371.50000000,181.54733000,0
2025-01-18 08:00:00,0.4761,0.4878,0.4727,0.4878,2290.20000000,1737201599999,1088.66574000,16,732.40000000,351.56768000,0
2025-01-18 12:00:00,0.4878,0.4886,0.476,0.4795,13810.10000000,1737215999999,6679.48723000,16,9116.60000000,4423.59637000,0
2025-01-18 16:00:00,0.4821,0.4821,0.4707,0.473,34534.90000000,1737230399999,16405.63983000,77,19434.50000000,9243.85782000,0
