ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17,0.0548,0.064,0.052,0.052,406091.70000000,1773791999999,24050.55196000,62,359950.00000000,21311.66795000,0
2026-03-18,0.05,0.0519,0.0492,0.0519,1521.00000000,1773878399999,76.65290000,14,374.60000000,19.44174000,0
2026-03-19,0.0519,0.0519,0.0519,0.0519,383.80000000,1773964799999,19.91922000,1,383.80000000,19.91922000,0
2026-03-20,0.0519,0.0519,0.0519,0.0519,0.00000000,1774051199999,0.00000000,0,0.00000000,0.00000000,0
2026-03-21,0.0519,0.0519,0.0519,0.0519,0.00000000,1774137599999,0.00000000,0,0.00000000,0.00000000,0
2026-03-22,0.0519,0.0519,0.0519,0.0519,0.00000000,1774223999999,0.00000000,0,0.00000000,0.00000000,0
2026-03-23,0.0368,0.0517,0.0368,0.0371,20253.20000000,1774310399999,895.15135000,10,10448.00000000,468.61526000,0
2026-03-24,0.0371,0.0371,0.0371,0.0371,0.00000000,1774396799999,0.00000000,0,0.00000000,0.00000000,0
2026-03-25,0.0371,0.0371,0.0371,0.0371,0.00000000,1774483199999,0.00000000,0,0.00000000,0.00000000,0
2026-03-26,0.0374,0.0374,0.0374,0.0374,227.10000000,1774569599999,8.49354000,1,0.00000000,0.00000000,0
2026-03-27,0.0441,0.0441,0.044,0.044,1967.20000000,1774655999999,86.71943000,2,0.00000000,0.00000000,0
2026-03-28,0.044,0.044,0.044,0.044,0.00000000,1774742399999,0.00000000,0,0.00000000,0.00000000,0
2026-03-29,0.044,0.044,0.044,0.044,0.00000000,1774828799999,0.00000000,0,0.00000000,0.00000000,0
2026-03-30,0.044,0.044,0.044,0.044,9060.00000000,1774915199999,398.64000000,1,9060.00000000,398.64000000,0
2026-03-31,0.0474,0.0477,0.0474,0.0477,5311.40000000,1775001599999,252.10167000,2,5311.40000000,252.10167000,0
2026-04-01,0.0477,0.0477,0.0477,0.0477,0.00000000,1775087999999,0.00000000,0,0.00000000,0.00000000,0
2026-04-02,0.0446,0.0516,0.0374,0.0516,4328.40000000,1775174399999,178.53656000,3,2219.00000000,99.64500000,0
2026-04-03,0.0517,0.0518,0.0517,0.0518,17384.30000000,1775260799999,898.94117000,7,17384.30000000,898.94117000,0
2026-04-04,0.0518,0.0563,0.0488,0.0563,6314.90000000,1775347199999,330.09196000,11,5727.60000000,297.02697000,0
2026-04-05,0.0856,0.0856,0.0377,0.0377,1305.80000000,1775433599999,54.37040000,6,106.50000000,9.11640000,0
2026-04-06,0.046,0.0505,0.0402,0.0402,17142.30000000,1775519999999,810.79913000,13,15874.90000000,754.49550000,0
2026-04-07,0.047,0.0503,0.0402,0.0503,23802.30000000,1775606399999,1160.97171000,11,17280.70000000,842.02523000,0
2026-04-08,0.0503,0.0505,0.0459,0.0494,15931.90000000,1775692799999,767.85917000,10,3291.50000000,162.80899000,0
2026-04-09,0.0494,0.0545,0.0473,0.0473,18201.20000000,1775779199999,881.42734000,24,13923.70000000,676.01282000,0
2026-04-10,0.0507,0.0558,0.038,0.0513,5614.10000000,1775865599999,284.01160000,10,228.30000000,12.73914000,0
2026-04-11,0.0513,0.0513,0.0513,0.0513,100.00000000,1775951999999,5.13000000,1,0.00000000,0.00000000,0
2026-04-12,0.0504,0.0504,0.0491,0.0491,131.90000000,1776038399999,6.56387000,3,0.00000000,0.00000000,0
2026-04-13,0.0481,0.0481,0.0481,0.0481,7946.90000000,1776124799999,382.24589000,1,0.00000000,0.00000000,0
2026-04-14,0.0481,0.0481,0.0481,0.0481,0.00000000,1776211199999,0.00000000,0,0.00000000,0.00000000,0
2026-04-15,0.0517,0.0521,0.051,0.0521,17370.50000000,1776297599999,890.69785000,3,11600.00000000,591.60000000,0
2026-04-16,0.0558,0.0558,0.0558,0.0558,35.90000000,1776383999999,2.00322000,1,35.90000000,2.00322000,0
