ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17,64.68,71.97,64.66,71.97,23.84800000,1773791999999,1624.84490000,37,13.84200000,967.35268000,0
2026-03-18,71.81,78.47,67.09,75.89,9.31600000,1773878399999,664.36598000,28,5.86400000,431.70644000,0
2026-03-19,75.8,78.3,69.87,76.1,14.39000000,1773964799999,1054.72336000,35,5.86600000,450.65120000,0
2026-03-20,70.04,82.92,70.04,75.69,17.23900000,1774051199999,1343.16147000,22,10.28800000,815.32979000,0
2026-03-21,74.06,91.67,74.05,74.83,12.78000000,1774137599999,1014.30882000,24,3.18900000,289.95271000,0
2026-03-22,74.04,75.22,70.03,70.08,9.59300000,1774223999999,711.23040000,12,3.90300000,292.52037000,0
2026-03-23,70.0,70.0,66.52,68.06,15.13500000,1774310399999,1016.99225000,11,12.50600000,838.27718000,0
2026-03-24,76.18,77.58,68.15,68.15,6.30000000,1774396799999,459.32377000,7,3.20000000,248.02556000,0
2026-03-25,70.83,88.69,70.83,71.71,14.83800000,1774483199999,1160.83800000,9,8.86700000,729.25793000,0
2026-03-26,77.55,80.21,70.91,73.36,17.61600000,1774569599999,1337.81217000,14,13.59400000,1049.74745000,0
2026-03-27,71.87,71.87,65.12,65.12,10.34900000,1774655999999,676.07506000,5,0.00000000,0.00000000,0
2026-03-28,66.54,68.78,66.54,68.78,3.80000000,1774742399999,257.10800000,2,0.00000000,0.00000000,0
2026-03-29,73.58,73.58,65.58,65.74,2.15000000,1774828799999,149.60215000,5,1.32600000,95.48663000,0
2026-03-30,78.59,78.59,73.65,73.65,0.35400000,1774915199999,27.22806000,3,0.35400000,27.22806000,0
2026-03-31,73.73,73.73,65.25,70.76,9.11700000,1775001599999,634.74854000,8,5.53400000,398.84211000,0
2026-04-01,68.91,72.71,68.91,72.51,7.06800000,1775087999999,513.23761000,5,6.89400000,501.24354000,0
2026-04-02,71.6,75.99,68.19,75.99,5.57300000,1775174399999,394.20972000,8,3.24500000,235.42488000,0
2026-04-03,71.66,78.59,71.66,78.59,2.51900000,1775260799999,186.96221000,4,0.93200000,73.20584000,0
2026-04-04,77.02,77.02,73.87,73.87,0.79600000,1775347199999,60.03822000,3,0.00000000,0.00000000,0
2026-04-05,73.87,73.87,73.87,73.87,0.00000000,1775433599999,0.00000000,0,0.00000000,0.00000000,0
2026-04-06,76.94,78.56,74.61,74.61,18.71200000,1775519999999,1423.93931000,24,18.71200000,1423.93931000,0
2026-04-07,69.83,72.55,69.83,72.17,7.23000000,1775606399999,517.98798000,8,0.00000000,0.00000000,0
2026-04-08,69.87,78.11,68.47,78.11,3.86000000,1775692799999,272.62073000,12,0.51800000,39.00646000,0
2026-04-09,74.14,75.29,68.72,74.5,10.49700000,1775779199999,775.26523000,19,4.90300000,367.39649000,0
2026-04-10,75.47,78.59,74.07,74.22,14.66900000,1775865599999,1106.31000000,12,3.86800000,301.30318000,0
2026-04-11,74.97,79.32,68.0,78.08,3.62400000,1775951999999,270.63110000,6,2.06800000,163.01787000,0
2026-04-12,79.41,79.41,73.48,74.54,3.54600000,1776038399999,263.62179000,11,0.10100000,7.99799000,0
2026-04-13,75.02,76.61,75.02,76.57,3.84300000,1776124799999,291.16181000,4,3.84300000,291.16181000,0
2026-04-14,76.57,76.94,73.8,73.8,18.11500000,1776211199999,1346.47170000,5,0.39800000,30.56070000,0
2026-04-15,73.45,75.83,73.45,75.83,2.76100000,1776297599999,209.22357000,3,2.72300000,206.43247000,0
2026-04-16,75.95,75.99,72.13,75.99,0.73100000,1776383999999,54.41807000,5,0.39300000,29.84311000,0
2026-04-17,76.0,80.2,76.0,76.64,8.13900000,1776470399999,625.44565000,8,5.51700000,424.49557000,0
2026-04-18,76.64,81.36,74.9,75.93,124.98400000,1776556799999,9660.12742000,28,74.75200000,5893.40121000,0
2026-04-19,76.07,77.82,71.98,77.82,3.22600000,1776643199999,239.01714000,6,1.02700000,79.87389000,0
2026-04-20,77.82,77.82,77.82,77.82,0.00000000,1776729599999,0.00000000,0,0.00000000,0.00000000,0
2026-04-21,76.83,81.39,72.27,73.95,15.02500000,1776815999999,1164.75460000,14,13.72300000,1070.49560000,0
2026-04-22,74.43,76.13,74.43,76.13,0.31300000,1776902399999,23.51929000,2,0.31300000,23.51929000,0
2026-04-23,72.28,73.83,68.86,71.75,10.99300000,1776988799999,796.83201000,13,5.88700000,428.74615000,0
2026-04-24,73.01,73.1,69.19,72.66,7.20800000,1777075199999,518.72362000,6,5.10500000,372.75285000,0
2026-04-25,72.95,72.95,69.15,70.44,0.95200000,1777161599999,66.59263000,3,0.13700000,9.99415000,0
2026-04-26,69.02,69.33,69.02,69.33,36.56900000,1777247999999,2524.04043000,4,0.00000000,0.00000000,0
2026-04-27,68.82,71.73,68.82,70.77,9.41000000,1777334399999,670.95989000,6,9.27700000,661.80683000,0
2026-04-28,70.7,70.7,68.76,69.25,11.92500000,1777420799999,824.83844000,12,2.61800000,183.88442000,0
2026-04-29,69.24,70.42,67.2,70.39,6.85400000,1777507199999,466.16523000,8,1.78900000,125.06528000,0
2026-04-30,67.24,71.33,67.24,71.33,0.54500000,1777593599999,38.37644000,5,0.49200000,34.81272000,0
2026-05-01,75.68,75.68,75.68,75.68,0.09200000,1777679999999,6.96256000,1,0.09200000,6.96256000,0
2026-05-02,71.21,71.76,71.21,71.75,3.40600000,1777766399999,244.37050000,3,3.40600000,244.37050000,0
2026-05-03,68.42,71.67,67.52,67.56,30.49000000,1777852799999,2059.85167000,8,0.02000000,1.43340000,0
2026-05-04,70.07,71.64,67.2,71.64,5.54200000,1777939199999,390.52871000,4,4.58200000,325.43319000,0
2026-05-05,67.23,68.79,67.19,68.79,0.62600000,1778025599999,42.64906000,3,0.36200000,24.90198000,0
2026-05-06,69.18,71.66,67.61,67.81,44.68900000,1778111999999,3151.32997000,19,30.22200000,2134.56817000,0
2026-05-07,67.74,71.75,67.74,71.75,10.40700000,1778198399999,742.96224000,10,7.49600000,536.32530000,0
2026-05-08,73.07,74.8,72.75,74.8,10.11700000,1778284799999,741.51880000,11,7.61200000,558.37555000,0
2026-05-09,74.79,74.86,72.18,73.62,8.01900000,1778371199999,598.55573000,7,7.36200000,550.66344000,0
2026-05-10,73.62,73.62,73.62,73.62,0.00000000,1778457599999,0.00000000,0,0.00000000,0.00000000,0
2026-05-11,73.62,73.62,73.62,73.62,0.64500000,1778543999999,47.48490000,1,0.00000000,0.00000000,0
2026-05-12,82.07,82.07,70.04,74.08,21.16900000,1778630399999,1582.53323000,17,8.52600000,679.60464000,0
2026-05-13,73.54,77.0,70.93,71.54,32.63700000,1778716799999,2378.86732000,27,13.00300000,964.96847000,0
2026-05-14,78.27,79.6,75.76,75.76,3.27100000,1778803199999,251.21294000,5,1.55800000,121.43606000,0
2026-05-15,74.68,79.78,74.36,79.68,7.68800000,1778889599999,596.35724000,13,4.69000000,368.01675000,0
2026-05-16,80.08,85.43,78.79,80.68,30.22000000,1778975999999,2456.21185000,18,11.91300000,984.23099000,0
2026-05-17,80.68,85.37,74.95,75.09,14.47000000,1779062399999,1130.84705000,13,7.59400000,603.94117000,0
2026-05-18,75.09,82.24,75.09,82.24,17.04800000,1779148799999,1312.71955000,12,11.87200000,921.76852000,0
2026-05-19,82.15,82.22,71.02,71.56,4.03200000,1779235199999,290.03142000,4,0.32800000,26.94688000,0
2026-05-20,70.61,70.61,70.61,70.61,1.38100000,1779321599999,97.51241000,1,0.00000000,0.00000000,0
2026-05-21,71.38,71.38,70.29,70.43,0.97700000,1779407999999,69.52051000,3,0.00000000,0.00000000,0
2026-05-22,71.07,80.75,70.58,77.63,21.99800000,1779494399999,1712.64762000,21,4.99900000,387.08259000,0
2026-05-23,83.9,83.9,73.61,73.61,6.19300000,1779580799999,476.98190000,9,5.12200000,398.12167000,0
2026-05-24,82.5,82.5,82.14,82.14,20.06800000,1779667199999,1655.56344000,9,20.06800000,1655.56344000,0
2026-05-25,78.21,78.21,77.56,77.56,4.87800000,1779753599999,381.44923000,4,4.15100000,324.64971000,0
2026-05-26,82.24,82.24,77.01,78.03,13.52000000,1779839999999,1074.54761000,12,13.44800000,1069.00289000,0
2026-05-27,76.81,77.92,74.25,75.5,113.93500000,1779926399999,8600.98191000,39,6.33500000,479.84577000,0
2026-05-28,76.62,76.62,68.82,73.68,21.82200000,1780012799999,1565.11765000,16,6.08600000,464.63155000,0
2026-05-29,68.74,75.61,68.73,75.61,13.18000000,1780099199999,915.06665000,3,1.32100000,99.88081000,0
2026-05-30,74.77,81.5,71.29,71.29,1.64700000,1780185599999,124.42619000,10,1.42000000,108.10812000,0
2026-05-31,74.17,74.17,69.69,71.89,1.44500000,1780271999999,105.92197000,4,1.30600000,96.16834000,0
2026-06-01,69.3,72.19,69.3,72.19,0.72300000,1780358399999,50.39965000,3,0.09700000,7.00243000,0
2026-06-02,72.26,77.88,72.26,74.09,11.48100000,1780444799999,840.28316000,19,10.08300000,738.01644000,0
2026-06-03,72.43,75.93,72.19,73.89,1.84600000,1780531199999,134.94620000,5,0.39700000,30.00549000,0
2026-06-04,70.39,71.4,68.0,70.69,27.51300000,1780617599999,1890.15991000,23,3.98700000,281.82563000,0
2026-06-05,68.34,68.34,63.79,67.5,27.50400000,1780703999999,1808.11847000,29,5.36000000,356.71167000,0
2026-06-06,67.6,69.96,63.03,67.59,23.09000000,1780790399999,1550.76869000,21,21.67900000,1458.61948000,0
2026-06-07,70.08,70.09,67.57,67.79,4.03200000,1780876799999,275.53600000,5,1.08400000,75.96756000,0
2026-06-08,70.61,80.8,67.29,67.7,3.54800000,1780963199999,260.72579000,15,2.95400000,219.04073000,0
2026-06-09,65.95,71.38,64.88,66.83,19.38100000,1781049599999,1301.68738000,25,9.94000000,686.93402000,0
2026-06-10,67.25,79.0,64.03,64.03,15.04500000,1781135999999,1007.00070000,32,13.70900000,917.21899000,0
2026-06-11,63.39,68.98,63.39,68.98,7.46100000,1781222399999,504.03431000,10,6.46100000,440.64431000,0
2026-06-12,69.37,70.17,64.19,66.57,3.63000000,1781308799999,237.63561000,11,0.23400000,16.03458000,0
2026-06-13,64.4,69.25,64.34,65.83,10.38700000,1781395199999,681.20503000,23,4.34400000,287.87331000,0
2026-06-14,67.24,67.24,66.06,66.07,2.43100000,1781481599999,160.73515000,3,0.00000000,0.00000000,0
2026-06-15,69.26,70.49,66.97,70.49,4.62000000,1781567999999,317.62400000,12,2.37700000,167.36663000,0
2026-06-16,71.99,73.39,68.68,73.39,1.10500000,1781654399999,79.67403000,7,0.71800000,52.30084000,0
2026-06-17,71.51,71.51,71.51,71.51,0.69600000,1781740799999,49.77096000,2,0.69600000,49.77096000,0
2026-06-18,67.93,71.21,65.5,71.21,1.99600000,1781827199999,138.50438000,9,1.34500000,94.59373000,0
2026-06-19,67.81,72.16,67.81,67.82,1.41400000,1781913599999,96.28633000,4,0.08900000,6.42224000,0
2026-06-20,73.35,73.35,73.35,73.35,0.06800000,1781999999999,4.98780000,1,0.06800000,4.98780000,0
2026-06-21,73.35,73.35,73.35,73.35,0.00000000,1782086399999,0.00000000,0,0.00000000,0.00000000,0
2026-06-22,73.35,73.35,73.35,73.35,0.77900000,1782172799999,57.13965000,1,0.77900000,57.13965000,0
2026-06-23,73.11,73.11,67.78,71.0,1.71100000,1782259199999,121.38500000,6,1.48400000,105.99803000,0
2026-06-24,68.44,70.78,67.67,70.26,2.69100000,1782345599999,184.46437000,8,0.42400000,29.93688000,0
2026-06-25,66.47,67.79,65.0,65.0,14.48400000,1782431999999,949.53082000,16,0.07400000,5.01646000,0
2026-06-26,64.14,68.77,63.26,67.78,106.43200000,1782518399999,7206.19636000,65,6.78300000,457.22963000,0
2026-06-27,67.78,67.78,67.78,67.78,0.00000000,1782604799999,0.00000000,0,0.00000000,0.00000000,0
