ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17,0.00574,0.00713,0.00574,0.00593,1415362.50000000,1773791999999,8814.18713000,173,964517.60000000,6029.94804300,0
2026-03-18,0.00586,0.00603,0.00548,0.00548,97100.20000000,1773878399999,556.50567100,57,6800.60000000,40.05005500,0
2026-03-19,0.00558,0.00567,0.00539,0.00539,1893008.40000000,1773964799999,10391.40321000,77,22030.10000000,123.69807400,0
2026-03-20,0.00547,0.00568,0.00526,0.00566,413394.10000000,1774051199999,2273.66274900,77,188301.30000000,1060.01254000,0
2026-03-21,0.00552,0.00588,0.00548,0.0055,366742.10000000,1774137599999,2073.12719700,66,21664.10000000,124.20064000,0
2026-03-22,0.0055,0.00596,0.00537,0.00551,176183.00000000,1774223999999,990.19607000,119,62630.60000000,359.51183800,0
2026-03-23,0.00558,0.00593,0.00529,0.00552,1160011.40000000,1774310399999,6338.55059200,130,165402.80000000,923.50953200,0
2026-03-24,0.00555,0.00583,0.00543,0.00571,139225.50000000,1774396799999,793.00212700,78,80323.70000000,459.72043500,0
2026-03-25,0.00562,0.00574,0.0056,0.00574,3087.60000000,1774483199999,17.56712900,11,2200.60000000,12.59007900,0
2026-03-26,0.00576,0.00577,0.00545,0.00546,996554.40000000,1774569599999,5524.81449900,83,328976.50000000,1835.60283500,0
2026-03-27,0.00546,0.00569,0.00546,0.00547,211944.00000000,1774655999999,1187.61699000,30,172166.80000000,967.30251500,0
2026-03-28,0.00554,0.00572,0.00543,0.00563,387892.80000000,1774742399999,2178.93437600,45,238996.80000000,1346.16906800,0
2026-03-29,0.00563,0.0059,0.00562,0.00575,673160.20000000,1774828799999,3924.87587400,56,566937.20000000,3304.23017100,0
2026-03-30,0.00574,0.00589,0.00566,0.0058,153625.70000000,1774915199999,886.78232500,82,57150.40000000,331.82947900,0
2026-03-31,0.00578,0.00599,0.00575,0.0059,163871.90000000,1775001599999,964.25567500,35,135275.50000000,796.11055300,0
2026-04-01,0.00598,0.00598,0.00583,0.00596,485431.10000000,1775087999999,2864.54215700,85,4502.90000000,26.81814900,0
2026-04-02,0.00589,0.00592,0.00554,0.00565,211501.30000000,1775174399999,1208.24062300,94,136035.10000000,774.68319500,0
2026-04-03,0.00566,0.00581,0.00556,0.00566,82128.70000000,1775260799999,465.29883400,21,14095.90000000,80.15518800,0
2026-04-04,0.00566,0.00589,0.00563,0.00572,324315.30000000,1775347199999,1880.04222600,68,169379.50000000,982.64701700,0
2026-04-05,0.0058,0.00586,0.00551,0.00564,198613.20000000,1775433599999,1129.35335100,44,47960.10000000,274.69747000,0
2026-04-06,0.00569,0.00582,0.00566,0.00566,248944.50000000,1775519999999,1426.64070700,38,41884.40000000,242.77361600,0
2026-04-07,0.00576,0.00581,0.00551,0.00581,193517.00000000,1775606399999,1095.15557600,48,143475.20000000,813.42562200,0
2026-04-08,0.00577,0.00592,0.00571,0.00571,106635.60000000,1775692799999,620.47413600,38,13907.70000000,81.78051400,0
2026-04-09,0.00571,0.00574,0.00565,0.00572,55363.20000000,1775779199999,314.94647200,16,23001.10000000,131.49116100,0
2026-04-10,0.0058,0.00586,0.00566,0.0058,197208.50000000,1775865599999,1139.07199700,35,150270.00000000,873.32120700,0
2026-04-11,0.00578,0.0058,0.00566,0.00567,53481.50000000,1775951999999,304.94451400,50,16642.90000000,96.27296400,0
2026-04-12,0.00579,0.0058,0.00554,0.00554,66531.80000000,1776038399999,375.52272000,25,10289.60000000,59.54308800,0
2026-04-13,0.00565,0.00577,0.00553,0.00577,69662.40000000,1776124799999,394.59359000,23,63509.30000000,360.33962100,0
2026-04-14,0.00581,0.00586,0.0056,0.00571,142070.60000000,1776211199999,808.31440700,52,90053.40000000,514.02519400,0
2026-04-15,0.00571,0.00581,0.00562,0.00581,174572.10000000,1776297599999,999.29263000,33,134765.60000000,770.75419700,0
2026-04-16,0.00574,0.00606,0.00566,0.00603,274652.60000000,1776383999999,1625.88333500,58,213749.80000000,1269.53860500,0
2026-04-17,0.00602,0.0063,0.00593,0.00621,571013.20000000,1776470399999,3508.42291700,91,402140.30000000,2479.60948700,0
2026-04-18,0.00624,0.00624,0.00591,0.00591,170370.70000000,1776556799999,1043.58806200,37,49292.90000000,304.49407500,0
2026-04-19,0.00589,0.00595,0.0057,0.0057,257033.10000000,1776643199999,1509.30240100,33,183149.40000000,1077.05792900,0
2026-04-20,0.00577,0.00609,0.00575,0.00594,244799.60000000,1776729599999,1454.48314600,43,129160.00000000,761.47694100,0
