ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,92.61,97.65,91.23,96.36,6434.34500000,1773705599999,604558.21753000,1105,3455.67900000,324696.57897000,0
2026-03-17,95.82,96.79,93.29,94.75,4883.77600000,1773791999999,462232.65713000,2040,1637.28300000,156118.88587000,0
2026-03-18,94.65,95.5,88.64,89.98,2214.29700000,1773878399999,201426.93175000,710,844.97800000,76741.15631000,0
2026-03-19,89.99,91.39,87.0,88.93,1802.98900000,1773964799999,160613.80582000,667,822.63600000,73556.23127000,0
2026-03-20,88.94,90.44,88.19,89.9,1264.32300000,1774051199999,112759.62563000,578,568.23300000,50682.41701000,0
2026-03-21,89.91,90.73,87.27,87.27,813.65700000,1774137599999,73135.45199000,452,338.66900000,30502.72202000,0
2026-03-22,87.51,89.14,85.3,86.22,2675.19500000,1774223999999,233404.88666000,526,722.27800000,63064.92937000,0
2026-03-23,86.29,92.21,85.15,91.5,4798.74600000,1774310399999,430339.74217000,1311,2094.49000000,188322.78970000,0
2026-03-24,91.45,92.15,88.55,90.89,1622.15400000,1774396799999,146655.11203000,648,979.83600000,88640.31067000,0
2026-03-25,90.85,93.39,90.85,91.73,1448.69200000,1774483199999,133334.93565000,646,954.80200000,87932.46438000,0
2026-03-26,91.7,91.95,85.5,86.48,2449.06500000,1774569599999,214553.94005000,728,888.49200000,78016.95530000,0
2026-03-27,86.5,87.0,81.95,83.08,2002.31900000,1774655999999,168417.30673000,567,595.04800000,49785.81225000,0
2026-03-28,83.05,84.26,81.8,82.08,1007.01500000,1774742399999,83538.86313000,331,514.37700000,42729.28794000,0
2026-03-29,82.14,83.17,79.4,81.4,1181.94700000,1774828799999,95877.81199000,421,652.63500000,52662.44553000,0
2026-03-30,81.46,85.01,81.22,82.55,2074.07100000,1774915199999,171598.54025000,754,901.43400000,75008.14334000,0
2026-03-31,82.49,84.57,80.04,83.17,1023.18600000,1775001599999,83738.54293000,615,448.14000000,36817.91768000,0
2026-04-01,83.2,86.59,80.81,81.13,1774.59000000,1775087999999,147857.52820000,705,822.57400000,68776.86551000,0
2026-04-02,81.11,81.69,76.81,78.9,2564.90900000,1775174399999,201985.59406000,811,1224.31700000,96437.92379000,0
2026-04-03,78.97,80.82,78.96,80.22,1634.14700000,1775260799999,130347.01072000,700,527.92400000,42206.15886000,0
2026-04-04,80.34,81.57,79.65,80.78,812.90500000,1775347199999,65552.08573000,365,390.85700000,31532.11958000,0
2026-04-05,80.73,82.08,78.57,81.94,1518.94400000,1775433599999,121422.83097000,438,739.33400000,59193.26287000,0
2026-04-06,82.0,83.17,79.71,80.05,2230.98100000,1775519999999,183031.81297000,622,983.25600000,80952.20966000,0
2026-04-07,79.97,86.98,78.41,85.58,3377.15000000,1775606399999,277858.51110000,962,1514.39400000,126213.76228000,0
2026-04-08,85.8,85.8,82.35,82.61,1674.98300000,1775692799999,140871.65318000,595,896.68000000,75606.59602000,0
2026-04-09,82.56,85.86,81.46,83.32,1873.55400000,1775779199999,156349.87985000,751,1276.60100000,106801.71087000,0
2026-04-10,83.26,85.6,82.7,84.83,1043.50000000,1775865599999,87871.93999000,696,511.00400000,43115.22624000,0
2026-04-11,84.78,86.22,83.8,84.97,1140.06100000,1775951999999,96860.76176000,763,570.32600000,48541.80148000,0
2026-04-12,84.87,84.98,81.31,81.46,1280.76000000,1776038399999,105396.17650000,666,562.31300000,46286.41250000,0
2026-04-13,81.52,86.77,81.43,86.56,1985.35700000,1776124799999,168069.89253000,821,1216.96900000,103314.28499000,0
2026-04-14,86.65,87.62,83.35,83.84,1857.04400000,1776211199999,158924.66642000,847,717.70800000,61422.70010000,0
2026-04-15,83.8,85.77,82.69,84.87,931.95100000,1776297599999,78420.96807000,545,391.93600000,33013.58440000,0
2026-04-16,84.87,90.47,83.85,89.05,2258.05300000,1776383999999,197609.65519000,947,1503.62700000,131876.70830000,0
2026-04-17,89.09,90.7,87.41,88.83,3396.43400000,1776470399999,302027.08741000,773,1834.66900000,163477.04500000,0
