ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2024-09-11 20:00:00,132.78,133.01,129.0,132.29,1505.64100000,1726099199999,197970.96733000,371,519.09500000,68641.98482000,0
2024-09-12 00:00:00,132.45,135.95,132.32,135.67,1349.25500000,1726113599999,181273.33038000,726,1245.73900000,167283.76320000,0
2024-09-12 04:00:00,135.69,136.0,134.35,134.86,95.78200000,1726127999999,12952.38276000,103,59.71800000,8086.94592000,0
2024-09-12 08:00:00,134.86,134.95,134.26,134.86,41.57000000,1726142399999,5598.92458000,50,19.29900000,2600.39637000,0
2024-09-12 12:00:00,134.95,136.0,133.49,133.5,699.14500000,1726156799999,94748.25122000,472,588.75100000,79884.96094000,0
2024-09-12 16:00:00,133.54,135.66,133.54,135.63,167.61400000,1726171199999,22597.16823000,141,100.34500000,13567.32448000,0
2024-09-12 20:00:00,135.56,136.14,135.04,135.88,1120.09300000,1726185599999,152131.21773000,521,887.34800000,120625.33334000,0
2024-09-13 00:00:00,135.78,136.14,134.35,134.52,161.93000000,1726199999999,21891.45258000,148,107.56900000,14561.76811000,0
2024-09-13 04:00:00,134.49,134.74,133.78,134.35,80.52400000,1726214399999,10814.75517000,85,28.15600000,3781.00470000,0
2024-09-13 08:00:00,134.44,134.46,132.75,132.75,2291.70100000,1726228799999,305346.47857000,301,323.63300000,43297.14953000,0
2024-09-13 12:00:00,132.73,136.53,131.77,136.4,938.96500000,1726243199999,125145.50491000,480,230.35100000,31061.31868000,0
2024-09-13 16:00:00,136.53,137.93,136.03,137.76,2153.06300000,1726257599999,295104.83412000,759,2121.61400000,290798.26498000,0
2024-09-13 20:00:00,137.59,139.51,137.59,138.81,526.31100000,1726271999999,73126.18439000,440,329.10400000,45739.90912000,0
2024-09-14 00:00:00,138.78,139.7,138.4,139.3,421.06300000,1726286399999,58597.11116000,172,382.50000000,53233.90585000,0
2024-09-14 04:00:00,139.5,139.54,137.43,137.48,212.39400000,1726300799999,29318.65508000,145,32.77100000,4532.63671000,0
2024-09-14 08:00:00,137.57,137.57,136.65,136.65,265.53000000,1726315199999,36377.29589000,138,31.24900000,4280.97225000,0
2024-09-14 12:00:00,136.78,137.98,136.64,137.26,94.90700000,1726329599999,13041.81752000,116,48.20000000,6613.81003000,0
2024-09-14 16:00:00,137.44,137.88,135.73,136.58,319.59600000,1726343999999,43684.85942000,223,140.51800000,19234.03628000,0
2024-09-14 20:00:00,136.67,137.25,136.66,137.08,74.04400000,1726358399999,10142.22516000,88,45.25300000,6201.09521000,0
2024-09-15 00:00:00,137.22,137.82,137.04,137.52,74.76500000,1726372799999,10281.85626000,84,33.28200000,4580.31594000,0
2024-09-15 04:00:00,137.48,137.57,136.93,137.0,36.20900000,1726387199999,4966.69737000,53,14.22200000,1950.71040000,0
2024-09-15 08:00:00,137.19,137.19,135.31,135.64,148.54700000,1726401599999,20224.69117000,177,75.41300000,10269.97621000,0
2024-09-15 12:00:00,135.53,136.28,134.76,135.83,229.77900000,1726415999999,31124.33112000,168,137.17800000,18586.28858000,0
2024-09-15 16:00:00,135.63,135.71,133.0,133.46,655.12600000,1726430399999,87663.30925000,372,258.77400000,34616.52642000,0
2024-09-15 20:00:00,133.33,133.59,130.64,131.5,3382.60500000,1726444799999,446878.61309000,478,239.65200000,31631.29531000,0
2024-09-16 00:00:00,131.4,131.68,129.31,130.37,1409.32800000,1726459199999,183445.49809000,474,919.15300000,119645.36779000,0
2024-09-16 04:00:00,130.55,131.31,130.46,131.19,1045.16300000,1726473599999,136581.92954000,246,480.74400000,62851.80592000,0
2024-09-16 08:00:00,131.26,132.31,130.77,131.9,74.00300000,1726487999999,9740.59580000,162,37.45100000,4931.41847000,0
2024-09-16 12:00:00,132.26,132.28,130.11,131.49,126.47800000,1726502399999,16619.30557000,169,49.42100000,6497.78954000,0
2024-09-16 16:00:00,131.49,131.61,129.06,131.0,1323.40900000,1726516799999,172928.37517000,436,1072.73600000,140290.95414000,0
2024-09-16 20:00:00,130.76,131.83,130.05,131.31,550.43400000,1726531199999,71794.06374000,198,90.08000000,11778.99543000,0
2024-09-17 00:00:00,131.48,131.91,130.33,131.32,145.56200000,1726545599999,19055.48092000,135,76.49000000,10027.94790000,0
2024-09-17 04:00:00,131.16,132.71,130.99,132.2,68.04400000,1726559999999,8962.28465000,128,51.22100000,6747.99189000,0
2024-09-17 08:00:00,132.35,133.17,131.72,131.92,101.31900000,1726574399999,13408.34859000,137,51.10700000,6772.44205000,0
2024-09-17 12:00:00,132.04,135.58,131.03,134.7,1404.89500000,1726588799999,189034.12710000,609,367.98900000,49402.19427000,0
2024-09-17 16:00:00,134.65,134.98,131.18,132.12,2804.03400000,1726603199999,370874.25728000,693,2202.50500000,291177.79549000,0
2024-09-17 20:00:00,132.14,132.65,131.16,131.55,279.66600000,1726617599999,36919.53980000,149,182.76500000,24122.09527000,0
2024-09-18 00:00:00,131.46,132.06,130.46,131.79,1137.25600000,1726631999999,149379.18587000,230,660.08700000,86969.70533000,0
2024-09-18 04:00:00,131.75,131.75,130.63,131.07,797.65200000,1726646399999,104338.13470000,185,714.19600000,93409.38509000,0
2024-09-18 08:00:00,131.03,131.1,128.22,129.35,1023.12200000,1726660799999,133085.20193000,413,106.76900000,13836.12114000,0
2024-09-18 12:00:00,129.36,130.25,127.13,127.6,1501.60700000,1726675199999,192795.42673000,423,397.03200000,50915.54567000,0
2024-09-18 16:00:00,127.53,132.85,127.24,129.45,1573.71900000,1726689599999,204563.97603000,789,442.23000000,57526.50894000,0
2024-09-18 20:00:00,129.38,134.01,128.63,134.01,352.47400000,1726703999999,46334.83326000,454,178.83900000,23603.95460000,0
2024-09-19 00:00:00,133.75,138.37,133.75,137.91,4688.65300000,1726718399999,638125.25344000,1191,3427.47600000,467951.96447000,0
2024-09-19 04:00:00,138.12,139.0,137.64,138.46,2199.33700000,1726732799999,304200.66552000,331,1630.83700000,225590.25924000,0
2024-09-19 08:00:00,138.52,139.32,138.29,138.87,424.30300000,1726747199999,58909.34245000,165,336.67400000,46764.73244000,0
2024-09-19 12:00:00,139.14,142.74,139.03,142.69,566.31100000,1726761599999,79906.19085000,842,472.42300000,66690.15095000,0
2024-09-19 16:00:00,142.69,143.71,142.49,143.06,1643.23400000,1726775999999,235171.05810000,543,1384.67500000,198150.20165000,0
2024-09-19 20:00:00,143.15,143.69,141.01,142.24,609.92000000,1726790399999,86941.16325000,359,377.85600000,53891.36862000,0
2024-09-20 00:00:00,142.45,144.43,141.1,144.43,833.65000000,1726804799999,118693.51070000,464,498.21300000,71034.71715000,0
2024-09-20 04:00:00,144.44,152.29,143.85,150.59,3725.82300000,1726819199999,554567.15038000,1538,1952.16300000,290163.12048000,0
2024-09-20 08:00:00,150.93,151.58,150.08,150.56,579.71400000,1726833599999,87572.24033000,204,323.03400000,48801.53741000,0
2024-09-20 12:00:00,150.52,151.11,145.98,147.71,2278.79700000,1726847999999,336450.45005000,1212,1220.36000000,179726.90341000,0
2024-09-20 16:00:00,147.62,148.0,144.85,146.76,653.04500000,1726862399999,95301.83205000,457,428.20600000,62514.51676000,0
2024-09-20 20:00:00,146.84,147.77,146.24,146.5,236.39500000,1726876799999,34764.12892000,244,117.93100000,17368.75517000,0
2024-09-21 00:00:00,146.47,147.91,145.03,146.02,1617.96400000,1726891199999,237581.65686000,490,494.06100000,72598.31292000,0
2024-09-21 04:00:00,145.87,147.6,144.7,147.47,1116.98200000,1726905599999,163303.40726000,436,852.79600000,124585.78345000,0
2024-09-21 08:00:00,147.34,147.72,146.54,147.2,620.91600000,1726919999999,91678.36788000,101,578.95000000,85496.66689000,0
2024-09-21 12:00:00,147.2,149.21,146.79,147.6,612.07700000,1726934399999,90580.60644000,303,534.04100000,79050.72308000,0
2024-09-21 16:00:00,147.68,148.62,147.29,147.34,1272.22600000,1726948799999,188208.69307000,219,554.33400000,82128.43589000,0
2024-09-21 20:00:00,147.42,149.68,147.36,149.32,721.27200000,1726963199999,107262.77759000,234,645.66400000,96073.57782000,0
2024-09-22 00:00:00,149.43,149.81,147.38,148.15,1966.74000000,1726977599999,290700.46975000,267,89.33800000,13262.31664000,0
2024-09-22 04:00:00,148.2,148.94,146.49,147.18,324.49800000,1726991999999,47844.53650000,233,148.37800000,21920.45034000,0
2024-09-22 08:00:00,147.15,147.49,144.24,144.83,443.49300000,1727006399999,64588.76621000,411,224.40500000,32765.83399000,0
2024-09-22 12:00:00,144.74,145.0,142.75,143.1,605.21200000,1727020799999,86896.27387000,373,377.76000000,54273.64683000,0
