ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,0.181,0.19,0.18,0.19,25787.10000000,1773705599999,4775.09560000,38,16597.60000000,3082.46950000,0
2026-03-17,0.19,0.19,0.183,0.188,22016.00000000,1773791999999,4126.80000000,28,12176.80000000,2281.64080000,0
2026-03-18,0.188,0.188,0.177,0.181,4189.10000000,1773878399999,758.93860000,12,3875.10000000,701.39060000,0
2026-03-19,0.179,0.179,0.171,0.171,13939.30000000,1773964799999,2443.93350000,25,13264.50000000,2327.84970000,0
2026-03-20,0.176,0.176,0.169,0.171,9791.50000000,1774051199999,1678.72240000,21,4321.90000000,747.76430000,0
2026-03-21,0.171,0.172,0.161,0.161,10569.70000000,1774137599999,1791.51940000,47,7453.10000000,1272.81040000,0
2026-03-22,0.161,0.166,0.158,0.158,15188.00000000,1774223999999,2449.60630000,30,1656.40000000,273.91790000,0
2026-03-23,0.159,0.167,0.156,0.166,18162.30000000,1774310399999,2887.47070000,22,3619.40000000,598.87280000,0
2026-03-24,0.165,0.165,0.158,0.163,3404.00000000,1774396799999,550.42470000,11,2942.80000000,476.76110000,0
2026-03-25,0.164,0.166,0.163,0.163,8647.40000000,1774483199999,1419.38240000,19,7301.50000000,1199.72850000,0
2026-03-26,0.165,0.167,0.156,0.16,5215.80000000,1774569599999,849.35240000,20,4844.00000000,790.31820000,0
2026-03-27,0.16,0.161,0.152,0.152,7323.50000000,1774655999999,1164.55340000,16,6266.90000000,1001.97140000,0
2026-03-28,0.152,0.156,0.151,0.156,10897.40000000,1774742399999,1676.02570000,14,4524.30000000,699.66800000,0
2026-03-29,0.152,0.156,0.147,0.147,17923.80000000,1774828799999,2713.92670000,22,13041.20000000,1982.11190000,0
2026-03-30,0.152,0.154,0.149,0.149,5917.30000000,1774915199999,898.08560000,13,4648.70000000,708.46900000,0
2026-03-31,0.153,0.153,0.15,0.15,60801.30000000,1775001599999,9133.94150000,30,35161.80000000,5280.71650000,0
2026-04-01,0.151,0.156,0.149,0.154,8260.30000000,1775087999999,1256.23150000,14,7196.10000000,1094.63410000,0
2026-04-02,0.152,0.153,0.142,0.143,63783.10000000,1775174399999,9203.13340000,114,4597.40000000,673.94280000,0
2026-04-03,0.145,0.151,0.145,0.146,18692.10000000,1775260799999,2754.24260000,26,16964.00000000,2501.39820000,0
2026-04-04,0.155,0.175,0.155,0.163,53451.00000000,1775347199999,8771.37980000,47,28057.80000000,4649.76500000,0
2026-04-05,0.157,0.181,0.155,0.156,22283.90000000,1775433599999,3543.81680000,28,21609.30000000,3437.85150000,0
2026-04-06,0.158,0.172,0.156,0.156,23559.30000000,1775519999999,3778.73450000,46,12909.00000000,2090.41810000,0
2026-04-07,0.156,0.171,0.156,0.167,21046.10000000,1775606399999,3357.34910000,34,10016.90000000,1578.67680000,0
2026-04-08,0.167,0.167,0.161,0.163,3615.90000000,1775692799999,590.56990000,12,1997.90000000,327.71440000,0
2026-04-09,0.159,0.18,0.158,0.175,13552.90000000,1775779199999,2314.09690000,23,12604.30000000,2152.94210000,0
2026-04-10,0.179,0.18,0.17,0.176,23345.00000000,1775865599999,4063.89210000,29,10788.80000000,1912.47590000,0
2026-04-11,0.177,0.181,0.173,0.177,7985.40000000,1775951999999,1400.20780000,16,2541.30000000,446.73510000,0
2026-04-12,0.172,0.174,0.165,0.165,7494.80000000,1776038399999,1281.51670000,16,850.60000000,142.75030000,0
2026-04-13,0.166,0.181,0.165,0.181,9178.40000000,1776124799999,1606.12620000,25,7372.50000000,1306.23630000,0
2026-04-14,0.178,0.178,0.174,0.176,4405.60000000,1776211199999,781.74120000,10,348.40000000,61.65500000,0
2026-04-15,0.176,0.183,0.172,0.183,9803.40000000,1776297599999,1750.48480000,26,5475.10000000,983.61210000,0
2026-04-16,0.182,0.206,0.182,0.2,15627.10000000,1776383999999,3073.74990000,62,10440.30000000,2067.09280000,0
2026-04-17,0.198,0.216,0.197,0.216,28380.00000000,1776470399999,6024.16890000,42,21307.10000000,4522.61840000,0
2026-04-18,0.215,0.27,0.214,0.221,34560.20000000,1776556799999,7891.47150000,70,11128.20000000,2547.34550000,0
2026-04-19,0.217,0.236,0.208,0.209,1467.30000000,1776643199999,315.24060000,13,706.90000000,152.39430000,0
2026-04-20,0.212,0.229,0.204,0.228,3061.30000000,1776729599999,665.45430000,10,2519.20000000,552.05160000,0
2026-04-21,0.229,0.236,0.216,0.222,10230.60000000,1776815999999,2259.94340000,13,10118.30000000,2234.99450000,0
2026-04-22,0.218,0.23,0.216,0.22,6276.10000000,1776902399999,1376.96000000,15,5876.60000000,1290.14410000,0
2026-04-23,0.213,0.218,0.21,0.218,3363.60000000,1776988799999,725.54200000,18,1643.00000000,354.04480000,0
2026-04-24,0.221,0.234,0.215,0.216,1598.30000000,1777075199999,350.94020000,14,802.40000000,178.54740000,0
2026-04-25,0.216,0.232,0.216,0.218,7459.60000000,1777161599999,1667.40700000,19,4247.20000000,957.88040000,0
2026-04-26,0.219,0.22,0.217,0.217,2440.40000000,1777247999999,532.81690000,6,2390.90000000,522.07540000,0
2026-04-27,0.219,0.236,0.204,0.213,16064.80000000,1777334399999,3452.47350000,33,1862.10000000,410.57970000,0
2026-04-28,0.212,0.228,0.204,0.209,2117.00000000,1777420799999,446.04080000,12,1546.30000000,329.61800000,0
2026-04-29,0.207,0.207,0.198,0.2,2670.40000000,1777507199999,531.97430000,10,188.50000000,37.89700000,0
2026-04-30,0.202,0.202,0.194,0.194,5743.80000000,1777593599999,1135.85070000,27,1565.20000000,310.49150000,0
2026-05-01,0.195,0.213,0.195,0.202,27020.50000000,1777679999999,5365.54770000,35,3314.70000000,668.29240000,0
2026-05-02,0.202,0.205,0.198,0.204,3257.50000000,1777766399999,654.24770000,18,1275.50000000,256.87230000,0
2026-05-03,0.204,0.22,0.203,0.215,11627.00000000,1777852799999,2465.42450000,27,7586.40000000,1605.35130000,0
2026-05-04,0.212,0.218,0.208,0.208,10969.90000000,1777939199999,2334.74210000,26,4696.40000000,995.39690000,0
2026-05-05,0.212,0.215,0.211,0.214,12434.60000000,1778025599999,2649.47280000,30,9211.30000000,1967.09690000,0
2026-05-06,0.214,0.221,0.205,0.214,11312.40000000,1778111999999,2426.59570000,41,4196.20000000,907.13890000,0
2026-05-07,0.213,0.223,0.21,0.215,4029.90000000,1778198399999,854.76710000,14,3959.80000000,839.83580000,0
2026-05-08,0.215,0.237,0.214,0.234,28457.80000000,1778284799999,6215.09570000,23,5533.50000000,1280.14030000,0
2026-05-09,0.237,0.243,0.233,0.234,6647.00000000,1778371199999,1572.87890000,21,2873.00000000,688.18120000,0
2026-05-10,0.23,0.243,0.227,0.239,19569.90000000,1778457599999,4641.64650000,34,18078.40000000,4286.93610000,0
2026-05-11,0.24,0.246,0.234,0.246,12098.20000000,1778543999999,2887.33110000,13,10442.00000000,2492.28030000,0
2026-05-12,0.25,0.26,0.24,0.24,43575.70000000,1778630399999,10677.74270000,33,5326.30000000,1327.61340000,0
2026-05-13,0.244,0.248,0.223,0.224,2980.50000000,1778716799999,694.67730000,21,1652.30000000,386.66610000,0
2026-05-14,0.224,0.236,0.219,0.229,4246.00000000,1778803199999,964.04580000,21,3777.70000000,857.78730000,0
2026-05-15,0.229,0.229,0.211,0.226,2440.80000000,1778889599999,530.24010000,15,1783.70000000,389.33520000,0
2026-05-16,0.206,0.216,0.202,0.202,949.30000000,1778975999999,198.73010000,8,349.70000000,72.59750000,0
2026-05-17,0.203,0.22,0.192,0.194,5782.50000000,1779062399999,1164.67410000,27,3571.10000000,726.60810000,0
2026-05-18,0.193,0.203,0.19,0.202,4718.70000000,1779148799999,924.22310000,23,3373.50000000,664.29660000,0
2026-05-19,0.2,0.206,0.193,0.198,13196.30000000,1779235199999,2623.05470000,18,6683.50000000,1355.89530000,0
2026-05-20,0.198,0.203,0.198,0.202,10816.00000000,1779321599999,2168.95650000,15,3073.40000000,613.31430000,0
2026-05-21,0.207,0.208,0.2,0.206,30200.90000000,1779407999999,6166.27270000,45,7194.50000000,1480.65160000,0
2026-05-22,0.207,0.211,0.192,0.192,9448.20000000,1779494399999,1924.82210000,27,6916.80000000,1414.51010000,0
2026-05-23,0.198,0.203,0.19,0.201,5336.90000000,1779580799999,1050.21610000,20,3534.50000000,700.75930000,0
2026-05-24,0.204,0.204,0.193,0.194,5999.40000000,1779667199999,1164.17250000,18,5798.00000000,1124.69810000,0
2026-05-25,0.195,0.199,0.193,0.194,6678.70000000,1779753599999,1307.55910000,22,4184.10000000,824.29890000,0
2026-05-26,0.193,0.199,0.19,0.192,12118.00000000,1779839999999,2341.35820000,18,6409.40000000,1235.71110000,0
2026-05-27,0.19,0.193,0.186,0.186,15229.70000000,1779926399999,2881.29710000,20,14486.30000000,2741.92390000,0
2026-05-28,0.187,0.187,0.179,0.185,11832.40000000,1780012799999,2200.81620000,22,7187.20000000,1335.97900000,0
2026-05-29,0.185,0.192,0.182,0.186,1274.10000000,1780099199999,236.13370000,11,960.80000000,178.25500000,0
2026-05-30,0.188,0.192,0.187,0.188,34844.50000000,1780185599999,6642.52920000,25,34675.20000000,6610.70080000,0
2026-05-31,0.188,0.188,0.182,0.187,4398.30000000,1780271999999,819.24040000,15,4094.60000000,763.21200000,0
2026-06-01,0.191,0.199,0.187,0.192,9982.40000000,1780358399999,1905.45350000,28,6575.20000000,1258.85600000,0
2026-06-02,0.193,0.193,0.176,0.178,433514.60000000,1780444799999,78345.03460000,112,200662.90000000,36840.48480000,0
