ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-11-06 08:00:00,0.802,0.808,0.793,0.806,92.46000000,1762430399999,74.56074000,4,88.86000000,71.70594000,0
2025-11-06 12:00:00,0.806,0.812,0.801,0.812,612.99000000,1762444799999,495.42497000,8,392.87000000,318.90385000,0
2025-11-06 16:00:00,0.794,0.798,0.794,0.798,60.55000000,1762459199999,48.08402000,2,60.55000000,48.08402000,0
2025-11-06 20:00:00,0.798,0.798,0.798,0.798,40.00000000,1762473599999,31.92000000,1,40.00000000,31.92000000,0
2025-11-07 00:00:00,0.83,0.831,0.82,0.821,141.14000000,1762487999999,116.51700000,6,70.63000000,58.63489000,0
2025-11-07 04:00:00,0.83,0.83,0.83,0.83,120.11000000,1762502399999,99.69130000,1,120.11000000,99.69130000,0
2025-11-07 08:00:00,0.842,0.846,0.842,0.846,19.09000000,1762516799999,16.14458000,2,17.70000000,14.97420000,0
2025-11-07 12:00:00,0.836,0.836,0.834,0.834,262.08000000,1762531199999,219.08700000,2,262.08000000,219.08700000,0
2025-11-07 16:00:00,0.943,0.948,0.938,0.948,351.37000000,1762545599999,331.79541000,3,234.26000000,221.94623000,0
2025-11-07 20:00:00,1.0,1.158,1.0,1.079,658.30000000,1762559999999,759.04594000,5,658.30000000,759.04594000,0
2025-11-08 00:00:00,1.029,1.041,1.029,1.041,336.64000000,1762574399999,347.20344000,6,66.74000000,69.47634000,0
2025-11-08 04:00:00,0.993,1.024,0.984,1.012,132.03000000,1762588799999,131.74546000,4,98.81000000,98.09214000,0
2025-11-08 08:00:00,1.029,1.056,1.029,1.043,612.62000000,1762603199999,643.60758000,5,545.66000000,574.52428000,0
2025-11-08 12:00:00,1.037,1.04,1.0,1.0,119.78000000,1762617599999,122.58805000,6,60.43000000,62.04061000,0
2025-11-08 16:00:00,0.987,1.019,0.987,1.0,775.08000000,1762631999999,783.81154000,10,522.11000000,529.85707000,0
2025-11-08 20:00:00,1.018,1.059,1.018,1.047,147.36000000,1762646399999,153.64526000,4,116.90000000,122.63698000,0
2025-11-09 00:00:00,1.026,1.039,1.026,1.034,102.61000000,1762660799999,106.08909000,3,99.61000000,103.01109000,0
2025-11-09 04:00:00,1.0,1.0,0.975,0.975,494.60000000,1762675199999,482.34684000,6,0.00000000,0.00000000,0
2025-11-09 08:00:00,0.998,1.002,0.998,1.002,7.19000000,1762689599999,7.18754000,2,2.98000000,2.98596000,0
2025-11-09 12:00:00,1.022,1.022,1.021,1.021,106.20000000,1762703999999,108.52652000,2,106.20000000,108.52652000,0
2025-11-09 16:00:00,1.021,1.021,1.021,1.021,0.00000000,1762718399999,0.00000000,0,0.00000000,0.00000000,0
