ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,0.3295,0.3897,0.3295,0.3477,4662.00000000,1773705599999,1605.46300000,41,4277.00000000,1465.28450000,0
2026-03-17,0.3424,0.3424,0.3424,0.3424,55.00000000,1773791999999,18.83200000,1,0.00000000,0.00000000,0
2026-03-18,0.3372,0.3372,0.3271,0.3271,190.00000000,1773878399999,62.98690000,5,0.00000000,0.00000000,0
2026-03-19,0.3221,0.3221,0.3124,0.3219,156.00000000,1773964799999,49.61740000,4,9.00000000,2.89710000,0
2026-03-20,0.3124,0.3124,0.3077,0.3077,73.00000000,1774051199999,22.54670000,2,0.00000000,0.00000000,0
2026-03-21,0.303,0.3099,0.303,0.3099,1374.00000000,1774137599999,416.69460000,5,1214.00000000,368.21460000,0
2026-03-22,0.303,0.303,0.303,0.303,56.00000000,1774223999999,16.96800000,1,0.00000000,0.00000000,0
2026-03-23,0.3099,0.3099,0.3099,0.3099,54.00000000,1774310399999,16.73460000,1,54.00000000,16.73460000,0
2026-03-24,0.3147,0.3147,0.3032,0.3147,456.00000000,1774396799999,139.84940000,9,108.00000000,33.98760000,0
2026-03-25,0.3195,0.3195,0.3077,0.3077,152.00000000,1774483199999,47.66610000,3,54.00000000,17.25300000,0
2026-03-26,0.3077,0.3077,0.303,0.303,63.00000000,1774569599999,19.14540000,3,0.00000000,0.00000000,0
2026-03-27,0.303,0.303,0.2894,0.2894,170.00000000,1774655999999,49.99940000,4,0.00000000,0.00000000,0
2026-03-28,0.2894,0.2894,0.2894,0.2894,0.00000000,1774742399999,0.00000000,0,0.00000000,0.00000000,0
2026-03-29,0.285,0.285,0.285,0.285,55.00000000,1774828799999,15.67500000,2,0.00000000,0.00000000,0
2026-03-30,0.2807,0.2871,0.2807,0.2871,139.00000000,1774915199999,39.47090000,3,108.00000000,30.76920000,0
2026-03-31,0.2807,0.2807,0.2807,0.2807,55.00000000,1775001599999,15.43850000,3,0.00000000,0.00000000,0
2026-04-01,0.2764,0.2764,0.2764,0.2764,55.00000000,1775087999999,15.20200000,1,0.00000000,0.00000000,0
2026-04-02,0.2364,0.2659,0.2363,0.2659,463.00000000,1775174399999,118.31580000,9,108.00000000,28.49580000,0
2026-04-03,0.27,0.3722,0.27,0.3087,3543.00000000,1775260799999,1185.71140000,66,2697.00000000,902.68880000,0
2026-04-04,0.3077,0.3077,0.2939,0.3006,274.00000000,1775347199999,82.39740000,6,54.00000000,16.23240000,0
2026-04-05,0.2939,0.3244,0.285,0.2939,1699.00000000,1775433599999,529.81240000,27,1161.00000000,367.60770000,0
2026-04-06,0.2939,0.3052,0.2894,0.2894,78.00000000,1775519999999,22.78970000,4,10.00000000,3.05200000,0
2026-04-07,0.285,0.3052,0.285,0.3052,261.00000000,1775606399999,77.06120000,5,206.00000000,61.38620000,0
2026-04-08,0.2984,0.2984,0.2984,0.2984,55.00000000,1775692799999,16.41200000,1,0.00000000,0.00000000,0
2026-04-09,0.2939,0.2939,0.2939,0.2939,55.00000000,1775779199999,16.16450000,1,0.00000000,0.00000000,0
2026-04-10,0.2894,0.2894,0.2894,0.2894,20.00000000,1775865599999,5.78800000,2,0.00000000,0.00000000,0
2026-04-11,0.2894,0.2894,0.2894,0.2894,36.00000000,1775951999999,10.41840000,1,0.00000000,0.00000000,0
2026-04-12,0.296,0.3052,0.2939,0.2939,1104.00000000,1776038399999,329.71990000,12,959.00000000,286.62940000,0
2026-04-13,0.2894,0.296,0.2894,0.296,109.00000000,1776124799999,31.90100000,3,54.00000000,15.98400000,0
2026-04-14,0.3006,0.3052,0.2984,0.2984,164.00000000,1776211199999,49.42360000,6,108.00000000,32.71320000,0
2026-04-15,0.2939,0.3006,0.2939,0.3006,109.00000000,1776297599999,32.39690000,2,54.00000000,16.23240000,0
2026-04-16,0.2939,0.3147,0.2939,0.3147,1802.00000000,1776383999999,551.79050000,20,458.00000000,140.65260000,0
2026-04-17,0.3077,0.3146,0.3077,0.3145,69.00000000,1776470399999,21.32720000,3,14.00000000,4.40370000,0
2026-04-18,0.303,0.303,0.2984,0.2984,110.00000000,1776556799999,33.07700000,2,0.00000000,0.00000000,0
2026-04-19,0.2939,0.3006,0.2937,0.2937,1340.00000000,1776643199999,401.75270000,13,885.00000000,265.71670000,0
2026-04-20,0.3005,0.3005,0.3005,0.3005,299.00000000,1776729599999,89.84950000,2,299.00000000,89.84950000,0
2026-04-21,0.2895,0.2895,0.2894,0.2894,159.00000000,1776815999999,46.02500000,2,0.00000000,0.00000000,0
2026-04-22,0.288,0.296,0.288,0.2883,160.00000000,1776902399999,46.59440000,4,87.00000000,25.48800000,0
2026-04-23,0.285,0.3006,0.2807,0.2807,482.00000000,1776988799999,139.65240000,11,207.00000000,60.78240000,0
2026-04-24,0.2807,0.2807,0.2807,0.2807,0.00000000,1777075199999,0.00000000,0,0.00000000,0.00000000,0
2026-04-25,0.2871,0.296,0.285,0.296,271.00000000,1777161599999,78.64440000,5,216.00000000,62.96940000,0
2026-04-26,0.3006,0.3722,0.2939,0.3424,2150.00000000,1777247999999,711.36490000,46,1407.00000000,463.31880000,0
2026-04-27,0.3372,0.3397,0.2939,0.2939,1066.00000000,1777334399999,345.25190000,24,216.00000000,72.54900000,0
2026-04-28,0.2939,0.3502,0.2897,0.3172,2073.00000000,1777420799999,666.83580000,35,959.00000000,309.23130000,0
2026-04-29,0.3175,0.3175,0.3172,0.3172,796.00000000,1777507199999,252.58400000,8,0.00000000,0.00000000,0
2026-04-30,0.3172,0.3244,0.3172,0.3244,650.00000000,1777593599999,206.56880000,6,54.00000000,17.51760000,0
2026-05-01,0.3295,0.3449,0.3295,0.3321,326.00000000,1777679999999,109.64130000,8,216.00000000,72.82980000,0
2026-05-02,0.3397,0.3502,0.3372,0.3372,272.00000000,1777766399999,93.25720000,5,162.00000000,55.87920000,0
2026-05-03,0.3321,0.3838,0.3321,0.3584,816.00000000,1777852799999,299.27270000,19,432.00000000,159.69420000,0
2026-05-04,0.3666,0.3722,0.3584,0.3584,218.00000000,1777939199999,79.62170000,7,108.00000000,39.89520000,0
2026-05-05,0.3666,0.3838,0.3424,0.3424,520.00000000,1778025599999,191.10290000,11,216.00000000,81.02700000,0
2026-05-06,0.3424,0.3666,0.3424,0.3424,1348.00000000,1778111999999,462.87880000,13,657.00000000,226.04760000,0
2026-05-07,0.3424,0.3502,0.3374,0.3424,141.00000000,1778198399999,48.63730000,6,54.00000000,18.91080000,0
2026-05-08,0.3372,0.3627,0.3372,0.3619,345.00000000,1778284799999,121.99120000,5,290.00000000,103.44520000,0
2026-05-09,0.3619,0.3619,0.3619,0.3619,0.00000000,1778371199999,0.00000000,0,0.00000000,0.00000000,0
2026-05-10,0.3425,0.3432,0.3425,0.3432,35.00000000,1778457599999,11.99170000,2,0.00000000,0.00000000,0
2026-05-11,0.3432,0.3432,0.3424,0.3424,1060.00000000,1778543999999,363.78560000,5,1052.00000000,361.04640000,0
2026-05-12,0.3649,0.3649,0.3649,0.3649,40.00000000,1778630399999,14.59600000,1,40.00000000,14.59600000,0
2026-05-13,0.3424,0.3424,0.3424,0.3424,47.00000000,1778716799999,16.09280000,1,0.00000000,0.00000000,0
2026-05-14,0.3502,0.3502,0.3502,0.3502,54.00000000,1778803199999,18.91080000,1,54.00000000,18.91080000,0
2026-05-15,0.3424,0.3424,0.3321,0.3321,127.00000000,1778889599999,43.02370000,3,0.00000000,0.00000000,0
2026-05-16,0.3321,0.3321,0.3321,0.3321,0.00000000,1778975999999,0.00000000,0,0.00000000,0.00000000,0
2026-05-17,0.3271,0.3271,0.3271,0.3271,55.00000000,1779062399999,17.99050000,1,0.00000000,0.00000000,0
2026-05-18,0.33,0.61,0.33,0.4303,15658.00000000,1779148799999,7319.41880000,297,9295.00000000,4438.59590000,0
2026-05-19,0.4303,0.4303,0.3584,0.3695,2039.00000000,1779235199999,782.35930000,52,625.00000000,240.60600000,0
2026-05-20,0.3639,0.4896,0.3639,0.4334,2809.00000000,1779321599999,1225.57480000,71,1825.00000000,792.87290000,0
2026-05-21,0.4335,0.4962,0.4303,0.4401,1728.00000000,1779407999999,788.17720000,44,958.00000000,440.81920000,0
2026-05-22,0.4469,0.4896,0.4451,0.4678,1098.00000000,1779494399999,513.95700000,30,702.00000000,329.88740000,0
2026-05-23,0.4749,0.4822,0.4238,0.4537,1398.00000000,1779580799999,626.22140000,25,392.00000000,179.43160000,0
2026-05-24,0.4369,0.44,0.4239,0.44,444.00000000,1779667199999,191.56910000,9,19.00000000,8.36000000,0
2026-05-25,0.4239,0.4239,0.3993,0.4141,706.00000000,1779753599999,293.83510000,10,13.00000000,5.38460000,0
2026-05-26,0.4142,0.4142,0.3869,0.3869,300.00000000,1779839999999,119.58730000,9,41.00000000,16.98220000,0
2026-05-27,0.3957,0.4606,0.3957,0.4335,1756.00000000,1779926399999,747.07070000,38,1073.00000000,459.35600000,0
2026-05-28,0.4401,0.4538,0.3928,0.4018,826.00000000,1780012799999,350.44960000,16,190.00000000,82.28480000,0
2026-05-29,0.4079,0.4079,0.3869,0.3869,198.00000000,1780099199999,78.71920000,6,54.00000000,22.02660000,0
2026-05-30,0.3869,0.3869,0.3752,0.3838,189.00000000,1780185599999,71.98870000,5,54.00000000,20.72520000,0
2026-05-31,0.3752,0.3752,0.3695,0.3695,110.00000000,1780271999999,40.95850000,2,0.00000000,0.00000000,0
2026-06-01,0.3639,0.3639,0.3584,0.3584,106.00000000,1780358399999,38.29290000,2,0.00000000,0.00000000,0
2026-06-02,0.3424,0.3502,0.3372,0.3372,219.00000000,1780444799999,75.12080000,4,54.00000000,18.91080000,0
2026-06-03,0.3449,0.3957,0.3449,0.3584,762.00000000,1780531199999,283.89350000,19,432.00000000,160.97400000,0
2026-06-04,0.3666,0.4822,0.3666,0.3869,4785.00000000,1780617599999,1996.88400000,109,2863.00000000,1207.12370000,0
2026-06-05,0.3957,0.4079,0.3321,0.3542,936.00000000,1780703999999,345.69520000,20,299.00000000,112.89880000,0
2026-06-06,0.3666,0.3666,0.3276,0.3448,1046.00000000,1780790399999,358.37940000,27,385.00000000,135.76970000,0
2026-06-07,0.3449,0.3502,0.3391,0.3424,144.00000000,1780876799999,49.83540000,5,108.00000000,37.53540000,0
2026-06-08,0.3666,0.4079,0.36,0.3838,985.00000000,1780963199999,373.72750000,19,655.00000000,248.91600000,0
2026-06-09,0.3897,0.3897,0.3077,0.3502,1712.00000000,1781049599999,582.57020000,31,486.00000000,166.46580000,0
2026-06-10,0.3424,0.3424,0.3372,0.3372,59.00000000,1781135999999,20.18080000,2,0.00000000,0.00000000,0
2026-06-11,0.3372,0.3658,0.3372,0.3658,295.00000000,1781222399999,104.47860000,5,244.00000000,87.28140000,0
2026-06-12,0.3436,0.3568,0.3435,0.3568,166.00000000,1781308799999,57.34710000,5,23.00000000,8.20640000,0
2026-06-13,0.3666,0.3666,0.3666,0.3666,54.00000000,1781395199999,19.79640000,1,54.00000000,19.79640000,0
2026-06-14,0.3666,0.3666,0.3666,0.3666,0.00000000,1781481599999,0.00000000,0,0.00000000,0.00000000,0
2026-06-15,0.3722,0.3897,0.3695,0.3779,476.00000000,1781567999999,180.56810000,12,311.00000000,118.65460000,0
2026-06-16,0.3695,0.3695,0.3639,0.3639,110.00000000,1781654399999,40.33700000,2,0.00000000,0.00000000,0
2026-06-17,0.3584,0.3584,0.3431,0.3432,131.00000000,1781740799999,45.78810000,3,0.00000000,0.00000000,0
2026-06-18,0.3666,0.3897,0.3432,0.3432,567.00000000,1781827199999,211.26120000,11,270.00000000,102.07080000,0
2026-06-19,0.3424,0.3424,0.3424,0.3424,55.00000000,1781913599999,18.83200000,1,0.00000000,0.00000000,0
2026-06-20,0.3424,0.3424,0.3424,0.3424,0.00000000,1781999999999,0.00000000,0,0.00000000,0.00000000,0
2026-06-21,0.3502,0.3502,0.3372,0.3372,164.00000000,1782086399999,56.28880000,3,54.00000000,18.91080000,0
