ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17,4.149,4.149,3.956,3.98,119.02000000,1773791999999,486.21947000,11,70.57000000,292.79493000,0
2026-03-18,3.944,3.944,3.596,3.678,4003.32000000,1773878399999,15137.58398000,87,2479.39000000,9174.75405000,0
2026-03-19,3.699,3.699,3.518,3.587,6336.55000000,1773964799999,22680.24536000,111,4500.94000000,16174.96003000,0
2026-03-20,3.59,3.635,3.534,3.561,1549.24000000,1774051199999,5628.18362000,23,21.78000000,77.69205000,0
2026-03-21,3.611,3.644,3.467,3.486,220.74000000,1774137599999,783.70544000,56,82.16000000,298.66158000,0
2026-03-22,3.444,3.518,3.417,3.481,189.57000000,1774223999999,661.12303000,29,119.80000000,418.87978000,0
2026-03-23,3.48,3.659,3.48,3.573,336.32000000,1774310399999,1193.82754000,24,186.84000000,665.40101000,0
2026-03-24,3.559,3.598,3.509,3.553,1660.88000000,1774396799999,5924.02946000,20,1422.92000000,5082.12433000,0
2026-03-25,3.608,3.739,3.608,3.695,413.67000000,1774483199999,1527.01789000,19,61.64000000,228.37634000,0
2026-03-26,3.658,3.658,3.494,3.521,9049.58000000,1774569599999,32089.13218000,115,8671.40000000,30747.99212000,0
2026-03-27,3.528,3.528,3.353,3.468,776.24000000,1774655999999,2699.56878000,36,191.90000000,664.25892000,0
2026-03-28,3.455,3.455,3.353,3.391,927.93000000,1774742399999,3155.08021000,22,678.55000000,2310.89349000,0
2026-03-29,3.362,3.454,3.264,3.366,2111.51000000,1774828799999,6995.60548000,50,130.15000000,437.92033000,0
2026-03-30,3.371,3.603,3.371,3.479,9595.87000000,1774915199999,33464.46389000,105,1069.37000000,3725.87790000,0
2026-03-31,3.468,3.584,3.458,3.527,10212.66000000,1775001599999,35941.26109000,108,9900.02000000,34839.24325000,0
2026-04-01,3.525,3.659,3.525,3.548,3511.31000000,1775087999999,12681.39688000,49,3386.57000000,12235.00536000,0
2026-04-02,3.541,3.605,3.098,3.16,8074.14000000,1775174399999,26096.84813000,181,1858.35000000,6089.61043000,0
2026-04-03,3.178,3.25,3.154,3.154,6031.22000000,1775260799999,19110.11564000,91,5873.43000000,18607.12864000,0
2026-04-04,3.174,3.174,3.107,3.143,2717.16000000,1775347199999,8534.29945000,52,2629.54000000,8260.01262000,0
2026-04-05,3.108,3.158,3.062,3.158,1081.82000000,1775433599999,3345.43233000,49,432.38000000,1343.87741000,0
2026-04-06,3.168,3.215,3.091,3.099,2306.67000000,1775519999999,7287.82540000,38,953.85000000,3018.30238000,0
2026-04-07,3.094,3.319,3.001,3.294,4631.08000000,1775606399999,14607.77546000,80,1575.98000000,4960.58211000,0
2026-04-08,3.275,3.275,3.114,3.119,20758.60000000,1775692799999,66548.97261000,305,6720.16000000,21189.91746000,0
2026-04-09,3.12,3.215,3.015,3.103,11154.37000000,1775779199999,34819.50194000,317,7662.00000000,23876.68202000,0
2026-04-10,3.102,3.206,3.09,3.193,2395.55000000,1775865599999,7505.61090000,34,1150.90000000,3618.45339000,0
2026-04-11,3.146,3.17,3.124,3.167,698.31000000,1775951999999,2197.33498000,11,16.26000000,51.54420000,0
2026-04-12,3.1,3.1,3.008,3.008,8276.68000000,1776038399999,25196.73920000,127,7345.31000000,22341.96668000,0
2026-04-13,3.064,3.239,3.012,3.239,1623.30000000,1776124799999,5005.17222000,32,1148.40000000,3512.00805000,0
2026-04-14,3.189,3.24,3.097,3.131,15054.39000000,1776211199999,47700.60144000,128,958.20000000,3007.74016000,0
2026-04-15,3.134,3.252,3.118,3.213,26806.70000000,1776297599999,85214.90289000,195,15943.87000000,50202.61914000,0
2026-04-16,3.224,3.464,3.21,3.433,6343.83000000,1776383999999,20963.88143000,83,399.20000000,1332.90724000,0
2026-04-17,3.406,3.566,3.296,3.508,3062.03000000,1776470399999,10747.92909000,63,1292.90000000,4546.96120000,0
2026-04-18,3.475,3.475,3.283,3.354,43.49000000,1776556799999,147.86961000,7,8.70000000,30.23250000,0
2026-04-19,3.447,3.447,3.18,3.199,277.85000000,1776643199999,899.39169000,10,109.38000000,361.21300000,0
2026-04-20,3.199,3.447,3.168,3.183,638.00000000,1776729599999,2043.49645000,8,616.94000000,1976.35909000,0
2026-04-21,3.306,3.474,3.178,3.21,266.80000000,1776815999999,868.38015000,11,34.98000000,115.59140000,0
2026-04-22,3.272,3.554,3.218,3.334,2222.77000000,1776902399999,7413.32342000,30,61.11000000,210.09715000,0
2026-04-23,3.166,3.352,3.166,3.298,2590.11000000,1776988799999,8540.13433000,20,2531.42000000,8351.82036000,0
2026-04-24,3.3,3.3,3.245,3.27,653.97000000,1777075199999,2131.23314000,12,143.81000000,473.55103000,0
2026-04-25,3.232,3.273,3.211,3.216,137.72000000,1777161599999,443.66813000,7,63.71000000,204.97800000,0
2026-04-26,3.22,3.297,3.22,3.288,523.34000000,1777247999999,1713.55818000,12,17.28000000,56.34568000,0
2026-04-27,3.33,3.33,3.167,3.264,373.09000000,1777334399999,1201.72037000,15,297.74000000,959.67969000,0
2026-04-28,3.188,3.278,3.188,3.22,93.96000000,1777420799999,303.38492000,12,56.79000000,184.06261000,0
2026-04-29,3.238,3.276,3.097,3.149,122.77000000,1777507199999,388.89506000,20,1.22000000,3.85886000,0
2026-04-30,3.198,3.236,3.161,3.177,1239.37000000,1777593599999,3962.21513000,47,1121.54000000,3587.82661000,0
2026-05-01,3.204,3.318,3.102,3.208,144.53000000,1777679999999,466.65296000,25,64.02000000,209.55970000,0
2026-05-02,3.232,3.276,3.182,3.276,35.07000000,1777766399999,113.33492000,13,13.45000000,43.96042000,0
2026-05-03,3.214,3.302,3.087,3.302,57.50000000,1777852799999,183.57284000,10,1.86000000,6.14172000,0
2026-05-04,3.122,3.448,3.104,3.273,2295.73000000,1777939199999,7593.83912000,72,1077.03000000,3626.83479000,0
2026-05-05,3.287,3.394,3.287,3.359,209.89000000,1778025599999,704.57054000,9,71.17000000,239.05103000,0
2026-05-06,3.321,3.576,3.1,3.44,974.53000000,1778111999999,3363.73728000,34,536.33000000,1871.31576000,0
2026-05-07,3.537,3.537,3.096,3.405,2492.67000000,1778198399999,8494.54838000,40,98.41000000,340.79443000,0
2026-05-08,3.47,3.855,3.1,3.702,680.39000000,1778284799999,2422.10735000,36,468.37000000,1674.88406000,0
2026-05-09,3.702,3.811,3.611,3.811,3539.24000000,1778371199999,13206.13487000,52,2062.51000000,7714.99125000,0
2026-05-10,3.793,4.157,3.734,3.916,4115.45000000,1778457599999,16575.90390000,88,3274.48000000,13244.12138000,0
2026-05-11,3.964,4.133,3.823,3.903,361.12000000,1778543999999,1421.33669000,39,187.92000000,751.17204000,0
2026-05-12,3.875,3.875,3.576,3.796,358.54000000,1778630399999,1341.42606000,28,154.46000000,579.25080000,0
2026-05-13,3.839,3.839,3.619,3.619,70.00000000,1778716799999,260.60193000,8,56.80000000,211.52449000,0
2026-05-14,3.643,3.818,3.559,3.818,2616.47000000,1778803199999,9646.33540000,28,1228.51000000,4487.84125000,0
2026-05-15,3.72,3.72,3.534,3.653,887.24000000,1778889599999,3246.20819000,19,846.07000000,3097.87141000,0
2026-05-16,3.561,3.728,3.274,3.721,965.28000000,1778975999999,3380.00646000,22,273.29000000,961.39755000,0
2026-05-17,3.284,3.688,3.284,3.567,136.76000000,1779062399999,467.34006000,8,46.78000000,169.60221000,0
2026-05-18,3.471,3.607,3.331,3.331,354.95000000,1779148799999,1214.30558000,20,163.84000000,566.04103000,0
2026-05-19,3.535,3.73,3.335,3.444,576.47000000,1779235199999,2009.72566000,12,286.98000000,1025.40667000,0
2026-05-20,3.261,3.592,3.261,3.429,72.11000000,1779321599999,251.92071000,5,47.96000000,171.41111000,0
2026-05-21,3.631,3.721,3.31,3.646,201.73000000,1779407999999,729.56938000,20,49.53000000,180.33345000,0
2026-05-22,3.58,3.676,3.395,3.395,768.04000000,1779494399999,2721.93016000,22,31.44000000,114.85092000,0
2026-05-23,3.295,3.611,3.295,3.341,340.83000000,1779580799999,1192.20239000,15,254.38000000,898.34172000,0
2026-05-24,3.58,3.58,3.304,3.391,1517.71000000,1779667199999,5150.24872000,42,434.60000000,1474.95610000,0
