ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,0.00059,0.000621,0.00059,0.000618,11961605.00000000,1773705599999,7197.80020200,44,2665560.00000000,1620.84549600,0
2026-03-17,0.000617,0.000638,0.000606,0.000629,11828954.00000000,1773791999999,7330.96472900,31,760926.00000000,480.84811200,0
2026-03-18,0.000615,0.000638,0.000586,0.000599,18988882.00000000,1773878399999,11485.67573700,39,1189466.00000000,725.68050700,0
2026-03-19,0.000597,0.000597,0.000576,0.000586,16247478.00000000,1773964799999,9446.07536400,23,42045.00000000,24.93268500,0
2026-03-20,0.000581,0.0006,0.000577,0.000599,28355352.00000000,1774051199999,16629.56631700,29,773369.00000000,463.84143300,0
2026-03-21,0.00061,0.000633,0.000581,0.000592,6345863.00000000,1774137599999,3860.80079600,89,1353209.00000000,830.52366300,0
2026-03-22,0.000586,0.000597,0.000571,0.000571,21504185.00000000,1774223999999,12469.77804300,42,0.00000000,0.00000000,0
2026-03-23,0.000581,0.000602,0.000571,0.000591,6472472.00000000,1774310399999,3803.66861500,18,814562.00000000,484.45221100,0
2026-03-24,0.000593,0.000603,0.000589,0.000599,4344197.00000000,1774396799999,2574.93753000,22,1864003.00000000,1105.45898900,0
2026-03-25,0.000603,0.000617,0.000569,0.00059,18406130.00000000,1774483199999,10609.82443100,33,566407.00000000,336.34424300,0
2026-03-26,0.000583,0.000609,0.000544,0.000565,13497209.00000000,1774569599999,7605.07143100,36,1497333.00000000,870.39896300,0
2026-03-27,0.000531,0.000574,0.00052,0.00054,7163720.00000000,1774655999999,3851.03096100,28,1959438.00000000,1077.48869900,0
2026-03-28,0.000528,0.000544,0.00052,0.000526,28386554.00000000,1774742399999,14955.32426700,63,2411067.00000000,1304.19254800,0
2026-03-29,0.000539,0.000539,0.000521,0.000521,29104315.00000000,1774828799999,15252.31695800,36,1168402.00000000,625.70770000,0
2026-03-30,0.000523,0.000543,0.000522,0.000523,7127243.00000000,1774915199999,3744.68938100,22,172085.00000000,91.83687700,0
2026-03-31,0.000524,0.000541,0.000524,0.000528,474185.00000000,1775001599999,254.51082600,8,414099.00000000,222.90712400,0
2026-04-01,0.000541,0.000554,0.000533,0.000549,2061214.00000000,1775087999999,1121.49040700,15,1848500.00000000,1006.96901700,0
2026-04-02,0.000551,0.000635,0.00054,0.000553,5585647.00000000,1775174399999,3090.84023300,51,1181785.00000000,686.02796600,0
2026-04-03,0.00057,0.000574,0.000531,0.00054,1831551.00000000,1775260799999,1011.75172700,21,419019.00000000,238.98383400,0
2026-04-04,0.000539,0.000554,0.000533,0.000534,1832542.00000000,1775347199999,998.92209400,14,766410.00000000,424.25298300,0
2026-04-05,0.000523,0.000544,0.000523,0.000539,2147953.00000000,1775433599999,1141.74300900,32,1576591.00000000,840.50592700,0
2026-04-06,0.000543,0.000555,0.000538,0.00054,9094821.00000000,1775519999999,4906.18651800,24,2369788.00000000,1279.39656100,0
2026-04-07,0.00054,0.000563,0.000533,0.000563,2463877.00000000,1775606399999,1342.76693600,49,2208811.00000000,1206.05518700,0
2026-04-08,0.000562,0.000564,0.000552,0.000552,2194946.00000000,1775692799999,1226.76101200,22,652381.00000000,365.79671300,0
2026-04-09,0.000555,0.000567,0.00055,0.000563,11596259.00000000,1775779199999,6406.92399200,35,2161240.00000000,1215.45787100,0
2026-04-10,0.000564,0.000567,0.000559,0.00056,821504.00000000,1775865599999,464.27771600,8,22954.00000000,12.96187500,0
2026-04-11,0.000565,0.000574,0.000558,0.000563,4526432.00000000,1775951999999,2539.43849300,24,946596.00000000,534.28066700,0
2026-04-12,0.000563,0.000563,0.000547,0.000553,12900606.00000000,1776038399999,7123.25834000,71,7166495.00000000,3969.26586400,0
2026-04-13,0.000555,0.00057,0.000543,0.00057,6786143.00000000,1776124799999,3845.78550700,16,6677432.00000000,3786.12733600,0
2026-04-14,0.00057,0.000577,0.000555,0.000562,3587181.00000000,1776211199999,2029.07970500,21,1255201.00000000,710.24619600,0
2026-04-15,0.000569,0.000574,0.000555,0.000571,574208.00000000,1776297599999,323.76596100,8,307197.00000000,174.38397000,0
2026-04-16,0.000568,0.000589,0.000568,0.000589,787203.00000000,1776383999999,461.30906300,12,644455.00000000,378.27422800,0
2026-04-17,0.000596,0.000628,0.000579,0.000605,9994514.00000000,1776470399999,6017.26081700,72,3391960.00000000,2044.01541100,0
2026-04-18,0.000605,0.000611,0.000581,0.000584,2125993.00000000,1776556799999,1271.62167600,32,844971.00000000,504.00471200,0
2026-04-19,0.000575,0.000616,0.000562,0.000571,2600974.00000000,1776643199999,1486.38313500,12,2268866.00000000,1296.49246600,0
2026-04-20,0.00057,0.00059,0.000553,0.000572,1040376.00000000,1776729599999,591.85920900,9,932236.00000000,530.39513100,0
2026-04-21,0.000572,0.000578,0.000561,0.000566,1060095.00000000,1776815999999,603.51863800,9,399093.00000000,228.47499500,0
