ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2024-12-11 08:00:00,3.2,15.0,3.0,5.605,49.00000000,1733918399999,382.09809000,29,16.11000000,196.30539000,0
2024-12-11 12:00:00,5.605,5.605,2.959,3.099,21670.95000000,1733932799999,66768.92629000,232,8257.02000000,25888.38185000,0
2024-12-11 16:00:00,3.099,3.254,3.054,3.077,17452.46000000,1733947199999,54105.08762000,153,2448.27000000,7638.75489000,0
2024-12-11 20:00:00,3.077,3.11,3.05,3.109,30044.32000000,1733961599999,93289.87098000,129,1615.15000000,5016.49701000,0
2024-12-12 00:00:00,3.109,3.254,3.04,3.15,3028.71000000,1733975999999,9421.58441000,68,1136.60000000,3582.02084000,0
2024-12-12 04:00:00,3.227,3.253,3.122,3.142,996.66000000,1733990399999,3163.42101000,38,457.37000000,1456.56761000,0
2024-12-12 08:00:00,3.142,3.143,3.069,3.069,948.70000000,1734004799999,2964.10131000,13,0.00000000,0.00000000,0
2024-12-12 12:00:00,3.069,3.178,3.069,3.072,1805.05000000,1734019199999,5604.71951000,29,1130.31000000,3532.49385000,0
2024-12-12 16:00:00,3.072,3.166,2.901,2.99,14018.69000000,1734033599999,40979.28118000,77,240.50000000,710.80928000,0
2024-12-12 20:00:00,3.0,3.024,2.9,2.931,3122.00000000,1734047999999,9259.70569000,23,1828.86000000,5465.00416000,0
2024-12-13 00:00:00,2.931,2.966,2.918,2.966,343.17000000,1734062399999,1010.45426000,11,3.67000000,10.84222000,0
2024-12-13 04:00:00,2.966,3.026,2.882,2.882,1212.40000000,1734076799999,3536.69649000,28,7.63000000,22.86907000,0
2024-12-13 08:00:00,2.92,2.966,2.881,2.966,180.56000000,1734091199999,530.20169000,18,133.14000000,391.99704000,0
2024-12-13 12:00:00,2.966,3.036,2.88,2.88,246.24000000,1734105599999,726.26110000,22,38.35000000,115.22722000,0
2024-12-13 16:00:00,2.88,3.045,2.866,2.942,610.13000000,1734119999999,1776.22025000,31,542.58000000,1579.98657000,0
