ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17,277.14,286.86,264.46,270.46,818.91700000,1773791999999,223794.51933000,1148,189.77400000,52093.96560000,0
2026-03-18,272.74,284.28,244.09,247.22,567.50400000,1773878399999,147820.16224000,757,191.87800000,51447.00974000,0
2026-03-19,248.49,255.0,230.91,234.22,329.29900000,1773964799999,79492.24602000,771,100.85600000,24235.48664000,0
2026-03-20,235.4,240.61,229.52,234.39,144.60800000,1774051199999,33849.91020000,657,53.80500000,12690.17827000,0
2026-03-21,234.75,237.88,220.0,220.0,154.38300000,1774137599999,35535.03025000,567,36.17500000,8420.00222000,0
2026-03-22,217.92,223.32,214.17,217.58,224.45400000,1774223999999,49293.01031000,828,111.79600000,24551.57135000,0
2026-03-23,220.0,234.28,215.75,228.32,304.17200000,1774310399999,69593.26099000,695,229.02600000,52347.03830000,0
2026-03-24,229.07,242.5,222.94,242.5,491.40200000,1774396799999,114717.71191000,3561,424.10500000,99213.28756000,0
2026-03-25,243.45,247.12,229.11,231.71,272.13300000,1774483199999,64501.02992000,807,85.62300000,20211.08024000,0
2026-03-26,231.68,234.0,219.0,221.76,252.02800000,1774569599999,57329.20302000,811,88.18000000,19700.55463000,0
2026-03-27,223.0,226.19,213.0,215.0,140.23500000,1774655999999,30691.02948000,546,70.12700000,15319.94798000,0
2026-03-28,215.88,224.71,209.31,213.82,993.95600000,1774742399999,212607.87718000,867,702.38000000,149751.95800000,0
2026-03-29,213.64,220.23,208.49,214.76,307.12200000,1774828799999,65596.73728000,765,173.09300000,37012.83125000,0
2026-03-30,214.76,231.98,214.76,226.05,1199.86500000,1774915199999,271077.79367000,1802,649.68400000,146654.73233000,0
2026-03-31,225.88,257.53,223.8,248.9,730.60400000,1775001599999,179230.40414000,2570,632.25400000,155205.81599000,0
2026-04-01,248.43,258.62,239.0,250.25,404.77600000,1775087999999,100058.28256000,1301,237.66100000,58968.41488000,0
2026-04-02,252.86,255.31,231.54,240.28,364.98100000,1775174399999,88561.55690000,1604,237.84200000,57949.55804000,0
2026-04-03,239.2,243.19,232.37,234.31,184.68700000,1775260799999,43577.25618000,783,56.63200000,13350.54628000,0
2026-04-04,234.3,253.4,233.65,250.69,301.70500000,1775347199999,74779.84225000,1876,159.19500000,39580.46055000,0
2026-04-05,251.22,251.29,237.1,244.36,347.73500000,1775433599999,84417.95369000,1782,140.43500000,34319.28439000,0
2026-04-06,245.36,260.35,245.17,251.21,563.35700000,1775519999999,142771.21056000,1944,319.03200000,81535.20736000,0
2026-04-07,251.48,324.26,250.79,320.39,783.22900000,1775606399999,215702.03129000,3517,527.24800000,146441.40816000,0
2026-04-08,321.38,339.69,312.58,321.58,1538.78900000,1775692799999,502898.16513000,4501,1304.26000000,426477.65459000,0
2026-04-09,321.96,388.98,308.29,366.65,1102.10100000,1775779199999,392854.27271000,3099,670.98900000,239753.20035000,0
2026-04-10,367.67,392.77,363.0,374.62,289.05000000,1775865599999,108761.87882000,1390,189.32600000,71391.70934000,0
2026-04-11,374.17,381.39,365.02,370.91,215.82600000,1775951999999,80517.34426000,1246,80.85800000,30281.63274000,0
2026-04-12,370.17,373.89,352.04,362.5,259.38100000,1776038399999,93968.00228000,1657,87.72400000,32053.65280000,0
2026-04-13,363.0,385.0,342.96,368.6,247.70600000,1776124799999,90184.38322000,1317,150.15800000,54219.93101000,0
2026-04-14,368.0,379.95,345.56,352.64,211.83200000,1776211199999,76542.49079000,1414,55.14600000,19991.49600000,0
2026-04-15,355.02,363.48,343.73,343.73,212.53100000,1776297599999,75626.23466000,1421,112.25400000,39956.87166000,0
2026-04-16,346.62,348.72,333.99,339.98,266.08400000,1776383999999,91014.54789000,734,54.22200000,18556.17391000,0
2026-04-17,340.0,355.02,324.0,328.48,205.99100000,1776470399999,69522.09659000,833,102.47500000,34400.62957000,0
2026-04-18,329.46,340.59,317.11,323.32,165.22000000,1776556799999,54690.77255000,678,64.09800000,21028.00006000,0
2026-04-19,323.01,337.01,300.0,301.61,243.27600000,1776643199999,78236.03592000,491,129.17500000,41766.83520000,0
2026-04-20,303.17,322.4,303.16,312.97,173.16700000,1776729599999,54411.62625000,482,139.02000000,43855.23933000,0
2026-04-21,313.11,334.43,306.91,315.3,252.98500000,1776815999999,81371.46199000,790,173.94100000,56274.08191000,0
2026-04-22,318.57,330.45,314.58,318.19,175.48700000,1776902399999,56298.12372000,510,101.60300000,32641.36675000,0
2026-04-23,316.0,348.87,311.64,342.46,347.99100000,1776988799999,115489.59950000,815,221.17400000,73095.88512000,0
2026-04-24,343.07,367.13,335.93,358.39,233.65200000,1777075199999,82898.87389000,582,176.29900000,62657.29002000,0
2026-04-25,358.34,361.03,351.75,359.1,232.65700000,1777161599999,82985.13066000,392,150.31600000,53630.93810000,0
2026-04-26,357.15,362.56,349.59,355.8,208.38000000,1777247999999,74220.25660000,313,158.47600000,56464.65120000,0
2026-04-27,356.15,364.43,349.0,355.99,296.32500000,1777334399999,105672.00299000,618,74.06300000,26447.45701000,0
