ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16,0.00428,0.00438,0.00412,0.00429,222198.10000000,1773705599999,957.00001000,77,187903.20000000,812.87686900,0
2026-03-17,0.00445,0.00449,0.00411,0.00437,1498265.80000000,1773791999999,6399.19270000,110,497624.80000000,2170.10122800,0
2026-03-18,0.00437,0.00471,0.0041,0.00425,2972983.90000000,1773878399999,13237.02909100,192,1739657.70000000,7824.84593600,0
2026-03-19,0.00424,0.00428,0.0041,0.0041,109905.40000000,1773964799999,464.40788400,62,86000.90000000,366.39943400,0
2026-03-20,0.00427,0.00428,0.00407,0.00417,733909.60000000,1774051199999,3059.59227100,94,323335.30000000,1360.20904200,0
2026-03-21,0.0042,0.00428,0.00403,0.00403,256491.60000000,1774137599999,1068.68300500,52,104587.30000000,443.26387400,0
2026-03-22,0.00403,0.00412,0.00383,0.00383,1152933.10000000,1774223999999,4456.16383300,68,1011870.80000000,3894.57694400,0
2026-03-23,0.00398,0.00412,0.00378,0.00404,853415.50000000,1774310399999,3469.63346500,65,237268.00000000,965.88670800,0
2026-03-24,0.00394,0.00408,0.00394,0.00395,50293.80000000,1774396799999,198.40184000,35,546.90000000,2.23135200,0
2026-03-25,0.00395,0.00411,0.00393,0.00393,235944.10000000,1774483199999,932.28042500,11,108590.20000000,429.02403400,0
2026-03-26,0.00404,0.00412,0.00383,0.00399,1586561.80000000,1774569599999,6246.01839500,110,996221.80000000,3923.68203900,0
2026-03-27,0.00381,0.00399,0.00377,0.00377,84555.90000000,1774655999999,320.96368200,56,0.00000000,0.00000000,0
2026-03-28,0.00388,0.00388,0.00367,0.00371,57067.20000000,1774742399999,216.08894500,27,34852.40000000,134.02269300,0
2026-03-29,0.00381,0.00381,0.00351,0.00351,77702.50000000,1774828799999,291.68113400,39,63386.70000000,240.24832700,0
2026-03-30,0.00353,0.00381,0.00351,0.00359,431536.20000000,1774915199999,1572.27115900,31,35917.70000000,136.82288700,0
2026-03-31,0.00382,0.00382,0.00354,0.00363,67928.80000000,1775001599999,256.34368800,56,56178.60000000,214.60225200,0
2026-04-01,0.00382,0.00393,0.00366,0.00393,181579.90000000,1775087999999,700.95643800,42,130653.80000000,506.89172600,0
2026-04-02,0.00382,0.00393,0.00374,0.00386,198967.70000000,1775174399999,759.53057700,36,45460.60000000,176.51632500,0
2026-04-03,0.00375,0.00393,0.00373,0.00393,206976.00000000,1775260799999,798.42868500,34,137273.30000000,533.72810000,0
2026-04-04,0.00383,0.00393,0.00379,0.00388,252228.10000000,1775347199999,983.68843900,25,202005.30000000,791.33161800,0
2026-04-05,0.00379,0.00397,0.00372,0.00397,790608.00000000,1775433599999,3036.29044600,75,601145.10000000,2318.35670300,0
2026-04-06,0.00379,0.00396,0.00376,0.00379,174970.50000000,1775519999999,672.53340300,44,98367.60000000,382.62989800,0
2026-04-07,0.00379,0.00412,0.00376,0.00404,1238961.70000000,1775606399999,4900.49386700,118,839844.30000000,3331.32917300,0
2026-04-08,0.00396,0.00409,0.00394,0.00394,134325.30000000,1775692799999,532.62233000,37,21251.20000000,86.83178600,0
2026-04-09,0.00389,0.00403,0.00382,0.0039,709479.20000000,1775779199999,2760.88240900,84,136296.50000000,543.00287700,0
2026-04-10,0.00403,0.00404,0.00401,0.00404,152090.10000000,1775865599999,612.59706900,21,152090.10000000,612.59706900,0
2026-04-11,0.00389,0.00403,0.00387,0.00388,41476.20000000,1775951999999,164.56340300,38,24347.70000000,98.10423000,0
2026-04-12,0.00388,0.00403,0.00379,0.00379,116097.80000000,1776038399999,449.36393100,20,5420.60000000,21.84501800,0
2026-04-13,0.0039,0.00397,0.00379,0.00397,143777.60000000,1776124799999,566.19425400,12,122602.70000000,485.71625400,0
2026-04-14,0.00397,0.00403,0.00387,0.00387,210319.10000000,1776211199999,825.38768400,20,28007.10000000,112.55243700,0
2026-04-15,0.00401,0.00403,0.00381,0.00403,188076.30000000,1776297599999,741.15610200,21,107983.10000000,428.62505100,0
2026-04-16,0.00403,0.0041,0.00388,0.0041,1347508.70000000,1776383999999,5405.86691600,66,134924.50000000,546.10011400,0
2026-04-17,0.00412,0.00427,0.00404,0.00423,657484.60000000,1776470399999,2743.08097000,69,481735.60000000,2021.24334100,0
2026-04-18,0.00411,0.00423,0.00402,0.00421,464696.10000000,1776556799999,1914.88744500,59,293597.80000000,1217.79417000,0
2026-04-19,0.00402,0.00411,0.00395,0.00406,97698.20000000,1776643199999,393.81042000,14,42962.20000000,174.45904400,0
2026-04-20,0.00398,0.00421,0.00379,0.0041,1667140.20000000,1776729599999,6503.18172600,38,1104342.80000000,4313.83502600,0
2026-04-21,0.00402,0.00419,0.00394,0.00394,124401.90000000,1776815999999,498.60636300,16,444.70000000,1.86329300,0
